outs_when_up,base_state,base_state_label,run_expectancy,plate_appearances
0,0,---,0.559513,26507
0,1,1--,0.988857,7718
0,2,-2-,1.235552,1367
0,3,12-,1.594675,2028
0,4,--3,1.542553,188
0,5,1-3,1.901813,662
0,6,-23,2.177019,322
0,7,123,2.420035,569
1,0,---,0.287503,17965
1,1,1--,0.56763,8724
1,2,-2-,0.778595,2990
1,3,12-,1.04463,3585
1,4,--3,1.019451,874
1,5,1-3,1.268276,1450
1,6,-23,1.580533,863
1,7,123,1.78355,1386
2,0,---,0.111711,13705
2,1,1--,0.243446,8659
2,2,-2-,0.384347,3437
2,3,12-,0.50435,4483
2,4,--3,0.41343,1519
2,5,1-3,0.557779,1999
2,6,-23,0.64142,845
2,7,123,0.898075,1766
