선수,연도,팀,보직,나이,키,몸무게,날짜,구장,온도,ERA,WHIP,이닝,누적이닝,총이닝,투구수,실점,자책점,피안타,피홈런,탈삼진,볼넷,사구,K/BB,연투여부,휴식일수,연투일수,연투횟수,WBC_2023,올림픽_2021,아시안게임_2023,아시아챔피언십_2023,아시아선수권_2023,프리미어12_2019,PS_KS,PS_PO,PS_SP,PS_V,PS_WC,이동거리,총이동거리,누적이동거리,직구_피안타율,직구_구사율,변화구_구사율,FIP,FIP_변화량,평균_FIP,GS,평균_GS,GS_변화량,평균_ERA,ERA_변화량,구속,평균_구속,구속_변화량,부상위험도,피쳐타입,NP/IP,NP/IP_roll3,투구수_roll3,이닝_roll3,변화구_구사율_roll3,직구_구사율_roll3,연투여부_prev,휴식일수_prev,연투일수_prev,연투횟수_prev,누적연투일수,휴식_log,연투_log,휴식대연투비율,연투횟수_roll3,연투일수_roll3,휴식_inv,피로도지수,피로도지수_점수,혹사정도,회복실패여부,휴식_그룹
고영표,2021,KT,SP,34,187,88,2021-04-07,Home,16.7,1.5,0.83,6.0,6.0,166.6666667,88,1,1,2,0,5,3,2,1.666666667,False,0,1,0,True,True,False,False,False,False,False,False,False,False,False,0,9390,0,0.254,28.0,72.0,4.003,0.847230769,3.155769231,72,72.96153846,-0.961538462,3.343846154,-1.843846154,134.8,137.3565217,-2.556521739,,변화구,14.66666667,14.66666667,88,6.0,72.0,28.0,,,,,1,,,,,,,-0.3292238591724188,34.322227293473304,2.941926509,1,회복실패
고영표,2021,KT,SP,34,187,88,2021-04-13,Away,10.2,4.5,1.17,6.0,12.0,166.6666667,95,3,3,6,0,7,1,0,7.0,False,5,1,0,True,True,False,False,False,False,False,False,False,False,False,294,9390,570,0.254,28.0,72.0,1.337,-1.818769231,3.155769231,72,72.96153846,-0.961538462,3.343846154,1.156153846,136.1,137.3565217,-1.256521739,,변화구,15.83333333,30.5,183,12.0,72.0,28.0,False,0.0,1.0,0.0,1,0.0,0.693147181,0.0,,,0.0,-0.2305089823255852,43.19374714742127,2.125445657,0,회복실패
고영표,2021,KT,SP,34,187,88,2021-04-18,Home,13.2,3.0,0.83,6.0,18.0,166.6666667,91,2,2,5,1,5,0,0,inf,False,4,1,0,True,True,False,False,False,False,False,False,False,False,False,0,9390,601,0.254,28.0,72.0,3.67,0.514230769,3.155769231,72,72.96153846,-0.961538462,3.343846154,-0.343846154,137.3,137.3565217,-0.0565217391,,변화구,15.16666667,45.66666667,274,18.0,72.0,28.0,False,5.0,1.0,0.0,1,1.791759469,0.693147181,2.5,,,-5.0,-0.3296530276563438,34.27658603377453,4.132816631,1,회복실패
고영표,2021,KT,SP,34,187,88,2021-04-24,Home,22.8,4.5,1.83,6.0,24.0,166.6666667,86,3,3,11,0,2,0,0,inf,False,5,1,0,True,True,False,False,False,False,False,False,False,False,False,0,9390,1261,0.254,28.0,72.0,2.503,-0.652769231,3.155769231,64,72.96153846,-8.961538462,3.343846154,1.156153846,136.3,137.3565217,-1.056521739,,변화구,14.33333333,45.33333333,272,18.0,72.0,28.0,False,4.0,1.0,0.0,1,1.609437912,0.693147181,2.0,0.0,1.0,-4.0,-0.3916165460390783,28.719762665449565,3.078075877,0,회복실패
고영표,2021,KT,SP,34,187,88,2021-04-30,Home,12.0,3.86,1.14,7.0,31.0,166.6666667,97,3,3,7,1,8,1,1,8.0,False,5,1,0,True,True,False,False,False,False,False,False,False,False,False,39,9390,1339,0.254,28.0,72.0,3.599,0.443230769,3.155769231,76,72.96153846,3.038461538,3.343846154,0.516153846,136.5,137.3565217,-0.856521739,,변화구,13.85714286,43.35714286,274,19.0,72.0,28.0,False,5.0,1.0,0.0,1,1.791759469,0.693147181,2.5,0.0,1.0,-5.0,-0.4404554411170543,24.657690552259243,3.099483297,0,회복실패
고영표,2021,KT,SP,34,187,88,2021-05-06,Away,25.5,4.5,1.33,6.0,37.0,166.6666667,90,4,3,7,0,3,1,2,3.0,False,5,1,0,True,True,False,False,False,False,False,False,False,False,False,0,9390,1367,0.254,28.0,72.0,3.67,0.514230769,3.155769231,67,72.96153846,-5.961538462,3.343846154,1.156153846,135.8,137.3565217,-1.556521739,,변화구,15.0,43.19047619,273,19.0,72.0,28.0,False,5.0,1.0,0.0,1,1.791759469,0.693147181,2.5,0.0,1.0,-5.0,-0.3437551532828032,32.94728434504792,3.088779587,0,회복실패
고영표,2021,KT,SP,34,187,88,2021-05-12,Home,26.3,9.0,1.17,6.0,43.0,166.6666667,84,6,6,7,1,3,0,2,inf,False,5,1,0,True,True,False,False,False,False,False,False,False,False,False,0,9390,1395,0.254,28.0,72.0,5.337,2.181230769,3.155769231,64,72.96153846,-8.961538462,3.343846154,5.656153846,135.2,137.3565217,-2.156521739,,변화구,14.0,42.85714286,271,19.0,72.0,28.0,False,5.0,1.0,0.0,1,1.791759469,0.693147181,2.5,0.0,1.0,-5.0,-0.4283679053493048,25.6332724783204,3.067372166,0,회복실패
고영표,2021,KT,SP,34,187,88,2021-05-26,Home,21.9,1.29,0.71,7.0,50.0,166.6666667,100,1,1,4,1,8,1,0,8.0,False,13,1,0,True,True,False,False,False,False,False,False,False,False,False,0,9390,2409,0.254,28.0,72.0,3.17,0.0142307692,3.155769231,81,72.96153846,8.038461538,3.343846154,-2.053846154,134.7,137.3565217,-2.656521739,,변화구,14.28571429,43.28571429,274,19.0,72.0,28.0,False,5.0,1.0,0.0,1,1.791759469,0.693147181,2.5,0.0,1.0,-5.0,-0.4041928329676783,27.52167959835691,3.004245202,0,회복충분
고영표,2021,KT,SP,34,187,88,2021-06-01,Away,23.5,1.35,0.75,6.666666667,56.66666667,166.6666667,98,1,1,3,0,6,2,1,3.0,False,5,1,0,True,True,False,False,False,False,False,False,False,False,False,291,9390,2972,0.254,28.0,72.0,2.72,-0.435769231,3.155769231,78,72.96153846,5.038461538,3.343846154,-1.993846154,136.4,137.3565217,-0.956521739,,변화구,14.7,42.98571428,282,19.66666667,72.0,28.0,False,13.0,1.0,0.0,1,2.63905733,0.693147181,6.5,0.0,1.0,-13.0,-0.4375158501302349,24.851665905979008,3.18511298,0,회복실패
고영표,2021,KT,SP,34,187,88,2021-06-08,Away,24.2,0.0,0.83,6.0,62.66666667,166.6666667,95,0,0,4,0,5,1,2,5.0,False,6,1,0,True,True,False,False,False,False,False,False,False,False,False,39,9390,3042,0.254,28.0,72.0,3.003,-0.152769231,3.155769231,75,72.96153846,2.038461538,3.343846154,-3.343846154,137.6,137.3565217,0.243478261,,변화구,15.83333333,44.81904762,293,19.66666667,72.0,28.0,False,5.0,1.0,0.0,1,1.791759469,0.693147181,2.5,0.0,1.0,-5.0,-0.273244526842761,39.39981743496121,3.27904427,0,회복충분
고영표,2021,KT,SP,34,187,88,2021-06-16,Away,23.1,4.5,1.0,6.0,68.66666667,166.6666667,97,3,3,5,1,7,1,0,7.0,False,7,1,0,True,True,False,False,False,False,False,False,False,False,False,0,9390,3411,0.254,28.0,72.0,3.503,0.347230769,3.155769231,71,72.96153846,-1.961538462,3.343846154,1.156153846,137.1,137.3565217,-0.256521739,,변화구,16.16666667,46.7,290,18.66666667,72.0,28.0,False,6.0,1.0,0.0,1,1.945910149,0.693147181,3.0,0.0,1.0,-6.0,-0.2535873844932771,41.12277498858968,3.229075996,0,회복충분
