Name,Team,Year,Date,Opp,Role,Dec,ERA,WHIP,IP,NP,R,ER,H,HR,SO,BB,HB,GS,Venue,Stadium,Time,Temp,연투 여부,휴식일 수,연투일,Height,Weight,BirthYear,투심_구사율,포심_구사율,커터_구사율,커브_구사율,슬라_구사율,첸접_구사율,싱커_구사율,포크_구사율,너클_구사율,기타_구사율,투심_피안타율,포심_피안타율,커터_피안타율,커브_피안타율,슬라_피안타율,첸접_피안타율,싱커_피안타율,포크_피안타율,너클_피안타율,기타_피안타율
고영표,KT,2025,2025-03-25,vs. Doosan,SP,,5.79,1.93,4.666666667,94,3,3,8,0,5,1,1,39.0,Home,수원 KT 위즈파크,18:30,12.6,False,0,1,187cm,88kg,1991,31.7,6.7,1.7,7.5,1.8,50.2,0.0,0.0,0.0,0.0,0.344,0.409,0.167,0.455,0.25,0.23,0.0,0.0,0.0,0.0
고영표,KT,2025,2025-03-30,@ Lotte,SP,,3.0,1.5,6.0,102,2,2,7,1,6,2,0,54.0,Away,사직 야구장,14:00,10.2,False,4,1,187cm,88kg,1991,31.7,6.7,1.7,7.5,1.8,50.2,0.0,0.0,0.0,0.0,0.344,0.409,0.167,0.455,0.25,0.23,0.0,0.0,0.0,0.0
고영표,KT,2025,2025-04-08,vs. NC,SP,W,1.29,0.43,7.0,99,1,1,3,0,10,0,0,77.0,Home,수원 KT 위즈파크,18:30,14.8,False,8,1,187cm,88kg,1991,31.7,6.7,1.7,7.5,1.8,50.2,0.0,0.0,0.0,0.0,0.344,0.409,0.167,0.455,0.25,0.23,0.0,0.0,0.0,0.0
고영표,KT,2025,2025-04-15,@ Kia,SP,,0.0,0.83,6.0,99,0,0,3,0,11,2,1,74.0,Away,광주 기아 챔피언스 필드,18:30,13.2,False,6,1,187cm,88kg,1991,31.7,6.7,1.7,7.5,1.8,50.2,0.0,0.0,0.0,0.0,0.344,0.409,0.167,0.455,0.25,0.23,0.0,0.0,0.0,0.0
고영표,KT,2025,2025-04-20,@ Kiwoom,SP,W,0.0,0.33,9.0,100,0,0,3,0,7,0,0,88.0,Away,고척 스카이돔,14:00,25.5,False,4,1,187cm,88kg,1991,31.7,6.7,1.7,7.5,1.8,50.2,0.0,0.0,0.0,0.0,0.344,0.409,0.167,0.455,0.25,0.23,0.0,0.0,0.0,0.0
고영표,KT,2025,2025-04-26,@ Hanwha,SP,L,3.0,1.33,6.0,83,2,2,6,0,4,2,0,54.0,Away,대전 한화생명 볼파크,17:00,20.4,False,5,1,187cm,88kg,1991,31.7,6.7,1.7,7.5,1.8,50.2,0.0,0.0,0.0,0.0,0.344,0.409,0.167,0.455,0.25,0.23,0.0,0.0,0.0,0.0
고영표,KT,2025,2025-05-02,vs. Kiwoom,SP,L,4.5,3.0,6.0,103,5,3,16,0,6,2,0,28.0,Home,수원 KT 위즈파크,18:30,14.5,False,5,1,187cm,88kg,1991,31.7,6.7,1.7,7.5,1.8,50.2,0.0,0.0,0.0,0.0,0.344,0.409,0.167,0.455,0.25,0.23,0.0,0.0,0.0,0.0
고영표,KT,2025,2025-05-10,vs. Lotte,SP,L,11.57,2.79,4.666666667,93,8,6,11,1,3,2,0,15.0,Home,수원 KT 위즈파크,17:00,11.8,False,7,1,187cm,88kg,1991,31.7,6.7,1.7,7.5,1.8,50.2,0.0,0.0,0.0,0.0,0.344,0.409,0.167,0.455,0.25,0.23,0.0,0.0,0.0,0.0
고영표,KT,2025,2025-05-15,@ Samsung,SP,L,9.0,1.75,4.0,78,5,4,6,0,5,1,0,36.0,Away,대구 삼성 라이온즈 파크,18:30,19.0,False,4,1,187cm,88kg,1991,31.7,6.7,1.7,7.5,1.8,50.2,0.0,0.0,0.0,0.0,0.344,0.409,0.167,0.455,0.25,0.23,0.0,0.0,0.0,0.0
고영표,KT,2025,2025-05-21,vs. Kia,SP,W,1.29,1.29,7.0,94,1,1,8,0,4,1,0,60.0,Home,수원 KT 위즈파크,18:30,26.8,False,5,1,187cm,88kg,1991,31.7,6.7,1.7,7.5,1.8,50.2,0.0,0.0,0.0,0.0,0.344,0.409,0.167,0.455,0.25,0.23,0.0,0.0,0.0,0.0
고영표,KT,2025,2025-05-27,vs. Doosan,SP,W,1.17,0.39,7.666666667,92,1,1,3,0,9,0,2,76.0,Home,수원 KT 위즈파크,18:30,22.9,False,5,1,187cm,88kg,1991,31.7,6.7,1.7,7.5,1.8,50.2,0.0,0.0,0.0,0.0,0.344,0.409,0.167,0.455,0.25,0.23,0.0,0.0,0.0,0.0
고영표,KT,2025,2025-06-07,vs. SSG,SP,W,1.5,1.33,6.0,98,1,1,7,0,7,1,1,61.0,Home,수원 KT 위즈파크,17:00,26.6,False,10,1,187cm,88kg,1991,31.7,6.7,1.7,7.5,1.8,50.2,0.0,0.0,0.0,0.0,0.344,0.409,0.167,0.455,0.25,0.23,0.0,0.0,0.0,0.0
고영표,KT,2025,2025-06-15,@ Samsung,SP,W,3.0,2.0,6.0,114,3,2,10,0,4,2,0,44.0,Away,대구 삼성 라이온즈 파크,17:00,25.2,False,7,1,187cm,88kg,1991,31.7,6.7,1.7,7.5,1.8,50.2,0.0,0.0,0.0,0.0,0.344,0.409,0.167,0.455,0.25,0.23,0.0,0.0,0.0,0.0
고영표,KT,2025,2025-06-27,@ Lotte,SP,,23.63,3.75,2.666666667,60,7,7,9,1,3,1,0,14.0,Away,사직 야구장,18:30,25.9,False,11,1,187cm,88kg,1991,31.7,6.7,1.7,7.5,1.8,50.2,0.0,0.0,0.0,0.0,0.344,0.409,0.167,0.455,0.25,0.23,0.0,0.0,0.0,0.0
고영표,KT,2025,2025-07-03,vs. Kiwoom,SP,W,1.5,0.5,6.0,95,1,1,3,1,6,0,1,67.0,Home,수원 KT 위즈파크,18:30,30.9,False,5,1,187cm,88kg,1991,31.7,6.7,1.7,7.5,1.8,50.2,0.0,0.0,0.0,0.0,0.344,0.409,0.167,0.455,0.25,0.23,0.0,0.0,0.0,0.0
고영표,KT,2025,2025-07-10,@ SSG,SP,W,1.5,1.17,6.0,111,2,1,4,1,7,3,0,62.0,Away,인천 SSG 랜더스필드,18:30,33.4,False,6,1,187cm,88kg,1991,31.7,6.7,1.7,7.5,1.8,50.2,0.0,0.0,0.0,0.0,0.344,0.409,0.167,0.455,0.25,0.23,0.0,0.0,0.0,0.0
곽빈,두산,2025,2025-06-03,vs. Kia,SP,L,9.0,1.67,3.0,66,3,3,1,0,6,4,1,46.0,Home,잠실 야구장,18:30,22.8,False,0,1,187cm,95kg,1999,0.0,45.1,0.0,14.8,25.1,14.7,0.0,0.0,0.0,0.0,0.0,0.269,0.0,0.2,0.22,0.129,0.0,0.0,0.0,0.0
