Name,Year,투심_구사율,포심_구사율,커터_구사율,커브_구사율,슬라_구사율,첸접_구사율,싱커_구사율,포크_구사율,너클_구사율,기타_구사율,투심_피안타율,포심_피안타율,커터_피안타율,커브_피안타율,슬라_피안타율,첸접_피안타율,싱커_피안타율,포크_피안타율,너클_피안타율,기타_피안타율
조상우,2020,0,68.8,0,0.1,25.2,5.2,0,0.6,0,0,0,0.278,0,0,0.152,0.188,0,0,0,0
조상우,2021,1.3,62.3,0,1.5,25.7,0.5,0,8.7,0,0,0,0.242,0,0,0.111,0,0,0.063,0,0
조상우,2024,0,60.6,0,0.9,37.9,0,0.2,0.5,0,0,0,0.299,0,0.333,0.196,0,1,0,0,0
최지민,2022,0,54.9,0,0,25.4,19.7,0,0,0,0,0,0.308,0,0,0.429,0.5,0,0,0,0
최지민,2023,0,63.5,0,0,26.3,9.8,0,0,0,0,0,0.23,0,0,0.188,0.19,0,0,0,0
최지민,2024,0,61.2,0,0,27.8,11,0,0,0,0,0,0.269,0,0,0.154,0.438,0,0,0,0
황동하,2023,0,50,0,4.2,31.3,0,0,13.2,0,0,0,0.305,0,0.167,0.256,0,0,0.316,0,0
황동하,2024,0,40.5,0,7.9,30.3,0,0,21.3,0,0,0,0.299,0,0.241,0.244,0,0,0.247,0,0
임기영,2020,0.3,36.5,0,1,20.1,31.7,10.5,0,0,0,0.5,0.27,0,0.5,0.373,0.274,0.372,0,0,0
임기영,2021,0,44.3,0,0.9,17.8,31.6,5.5,0,0,0,0,0.269,0,0,0.348,0.188,0.483,0,0,0
임기영,2022,0,28.1,0,1,16,38.5,16.5,0,0,0,0,0.27,0,0.25,0.321,0.243,0.325,0,0,0
임기영,2023,0,29.9,0,0.1,17.8,39.4,12.7,0,0,0,0,0.2,0,0,0.267,0.18,0.111,0,0,0
임기영,2024,3,35.1,0,0.1,24.8,36.8,0,0,0,0,0.5,0.391,0,0,0.214,0.3,0,0,0,0
장재혁,2022,0,46.2,0,0,50.8,0,0,3.1,0,0,0,0.75,0,0,0,0,0,0,0,0
장재혁,2024,0,85.2,0,0,11.1,0,0,3.7,0,0,0,0.2,0,0,1,0,0,0,0,0
전상현,2020,0,62.1,0,3.5,29.5,1.9,0,2.9,0,0,0,0.2,0,0,0.204,0.5,0,0.273,0,0
전상현,2021,0,57.9,0,8.1,32.4,0,0,1.6,0,0,0,0.343,0,0.5,0.143,0,0,0,0,0
전상현,2022,0,57.4,0,2.7,32.6,1.4,0,5.9,0,0,0,0.266,0,0,0.21,0.5,0,0.25,0,0
전상현,2023,0,47.2,0,4.6,41.7,0.3,0.1,6.1,0,0,0,0.308,0,0.429,0.153,0,0,0.063,0,0
전상현,2024,0,47.3,0,6.2,32.5,0.4,0,13.5,0,0,0,0.255,0,0,0.236,0,0,0.158,0,0
정해영,2020,0,59.9,0,0.3,35.8,0,0,4,0,0,0,0.349,0,0,0.222,0,0,0.167,0,0
정해영,2021,0,68.5,0,0.3,22.8,0,0,8.5,0,0,0,0.194,0,0,0.283,0,0,0.176,0,0
정해영,2022,0,64.1,0,0.7,21.6,0,0,13.3,0,0,0,0.248,0,0,0.211,0,0,0.294,0,0
정해영,2023,0,64.1,0,0.1,17.7,0,0,18.1,0,0,0,0.288,0,0,0.3,0,0,0.233,0,0
정해영,2024,0,57.7,0,0,33.6,0,0,8.7,0,0,0,0.347,0,0,0.145,0,0,0.105,0,0
김대유,2020,3.6,49.1,0,18.2,29.1,0,0,0,0,0,0,0.4,0,0.5,0.4,0,0,0,0,0
김대유,2021,0.2,55.8,0,25.1,17,1.8,0,0,0,0,0,0.15,0,0.156,0.3,0.167,0,0,0,0
김대유,2022,0.1,54.3,0,21.2,20.7,3.3,0,0,0,0,0,0.274,0,0.171,0.227,0.273,0,0,0,0
김대유,2023,3.1,49.1,0,17.2,27.7,2.6,0,0,0,0,0.5,0.356,0,0.154,0.25,0,0,0,0,0
김대유,2024,0,40.9,0,13.8,28.4,16.8,0,0,0,0,0,0.429,0,0.357,0.308,0.19,0,0,0,0
김도현,2020,0.2,49.3,0,9.5,17,24.1,0,0,0,0,0,0.313,0,0.211,0.281,0.279,0,0,0,0
김도현,2021,0.4,58.4,0,8.6,9.7,23,0,0,0,0,0,0.299,0,0.6,0.3,0.273,0,0,0,0
김도현,2022,0,61.1,0,5.6,11.1,22.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
김도현,2024,6.9,38.6,0,18.6,26.4,9.4,0,0,0,0,0.429,0.325,0,0.159,0.28,0.286,0,0,0,0
김현수,2020,0,59.8,0,15.4,18.8,5.9,0,0,0,0,0,0.361,0,0.219,0.364,0,0,0,0,0
김현수,2021,0,62.7,0,11.7,19.4,6.2,0,0,0,0,0,0.321,0,0.25,0.263,0.3,0,0,0,0
김현수,2022,0,43.3,0,30,13.3,13.3,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
김현수,2024,0,65.7,0,21.9,9.5,1.9,0,0,0,0,0,0.385,0,0.5,0,0,0,0,0,0
박세웅,2020,7.3,34.5,0,15.6,20.6,5.1,0,16.9,0,0,0.458,0.321,0,0.26,0.306,0.273,0,0.192,0,0
박세웅,2021,0.3,47.3,0,19.6,21.3,0.2,0,11.1,0,0,0.333,0.289,0,0.139,0.203,0.5,0,0.181,0,0
박세웅,2022,0,42.2,0,19.1,27.9,0,0,10.5,0,0,0,0.343,0,0.213,0.244,0,0,0.261,0,0
박세웅,2023,0,40,0,22.2,23.6,0,0,14,0,0,0,0.306,0,0.197,0.221,0,0,0.176,0,0
박세웅,2024,0.2,37.9,0.3,17.1,31.6,2.8,0,10.1,0,0,1,0.308,0.5,0.173,0.317,0.364,0,0.13,0,0
박시영,2020,0,38.4,0,9.8,19.5,0,0,32.3,0,0,0,0.255,0,0.333,0.333,0,0,0.275,0,0
박시영,2021,0,28,0,1.3,54.3,0,0,16.4,0,0,0,0.233,0,1,0.125,0,0,0.296,0,0
박시영,2022,0.4,25.8,0,2.6,47.2,1.3,0,22.7,0,0,0,0.462,0,1,0.2,0,0,0.357,0,0
박시영,2024,0,40.3,0,0.2,54.2,0,0,5.3,0,0,0,0.27,0,0,0.276,0,0,0.2,0,0
심재민,2021,0,45.3,0,5.4,19.9,29.2,0,0,0,0,0,0.273,0,0.273,0.27,0.167,0,0,0,0
심재민,2022,0,45.5,0,14.1,23.9,16.4,0,0,0,0,0,0.293,0,0.139,0.195,0.379,0,0,0,0
심재민,2023,0,53.1,0,17.2,28.1,1.6,0,0,0,0,0,0.625,0,0.5,0.5,0,0,0,0,0
송재영,2021,0,57.4,0,16,21.2,0.3,0,5.2,0,0,0,0.382,0,0.417,0.417,0,0,0.167,0,0
송재영,2024,0,55.6,0,3.7,40.1,0,0,0.6,0,0,0,0.15,0,0,0.545,0,0,0,0,0
윤성빈,2021,0,91.3,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0
윤성빈,2024,0,82.9,0,0,2.9,0,0,14.3,0,0,0,0.667,0,0,0,0,0,0,0,0
김건국,2020,0.4,35.2,0,11.2,37,0,0,16.3,0,0,0,0.19,0,0.182,0.319,0,0,0.192,0,0
김건국,2021,4.3,33.6,1.9,7.6,35.2,0,0,17.1,0,0,0,0.345,0.667,0.333,0.257,0,0,0.278,0,0
김건국,2023,0,40.1,0,8.9,38.1,0,0,12.8,0,0,0,0.357,0,0,0.238,0,0,0.3,0,0
김건국,2024,0,39.7,34.5,13,0,0,0,12.6,0,0,0,0.31,0.353,0.304,0,0,0,0.333,0,0
김기훈,2020,0,60.4,0,0.7,18,20.9,0,0,0,0,0,0.311,0,0,0.333,0.232,0,0,0,0
김기훈,2022,0,56.4,0,8.1,20.3,15.1,0,0,0,0,0,0.2,0,1,0,0,0,0,0,0
김기훈,2023,0,74.1,0,0.4,18.6,6.6,0,0,0,0,0,0.22,0,0,0.333,0.333,0,0,0,0
김기훈,2024,0,55.7,0,0.8,16.1,27.5,0,0,0,0,0,0.237,0,0,0.333,0.115,0,0,0,0
김민재,2024,0,63.5,0,4.7,4.7,2.4,0,24.7,0,0,0,0.529,0,0,0,0,0,0,0,0
김민주,2024,0,63.3,0,0,16.7,20,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0
김사윤,2020,0,73.8,0,0.5,12.4,13.3,0,0,0,0,0,0.265,0,0,0.286,0.029,0,0,0,0
김사윤,2021,0,61.8,0,2.7,14,21.4,0,0,0,0,0,0.297,0,0.5,0.154,0.429,0,0,0,0
김사윤,2022,0,63.9,0,8.3,17.5,10,0,0.2,0,0,0,0.237,0,0.375,0.067,0.417,0,0,0,0
김사윤,2024,48.6,9.9,0,1,21.7,18.7,0,0.1,0,0,0.288,0.455,0,0,0.333,0.182,0,0,0,0
김승현,2022,0,71.7,0,0,27.4,0,0,0,0,0,0,0.222,0,0,0.364,0,0,0,0,0
김승현,2023,0,64.1,11.1,0.4,23.5,0,0,0,0,0,0,0.25,0.25,0,0.222,0,0,0,0,0
김승현,2024,0,49.1,0,0,50.9,0,0,0,0,0,0,0.415,0,0,0.162,0,0,0,0,0
곽도규,2023,66.1,10.9,0,16.1,6.5,0,0,0,0,0,0.258,0.5,0,0.556,0,0,0,0,0,0
곽도규,2024,61.6,0.9,0,8.6,24.6,1.2,0,2.9,0,0,0.237,0,0,0.154,0.188,0,0,0,0,0
이의리,2021,0,55,0,4.7,15.5,24.8,0,0,0,0,0,0.238,0,0.222,0.238,0.122,0,0,0,0
이의리,2022,0,63.5,0,14,12.7,9.6,0,0,0,0,0,0.238,0,0.172,0.167,0.265,0,0,0,0
이의리,2023,0,59.2,0,7.8,21.2,11.5,0,0,0,0,0,0.239,0,0.227,0.162,0.183,0,0,0,0
이의리,2024,0,51.4,0,16,21.5,11.1,0,0,0,0,0,0.333,0,0.3,0.444,0,0,0,0,0
이형범,2020,65.3,0.5,0.2,3.4,19.6,11,0,0,0,0,0.315,0,0,0.25,0.294,0.111,0,0,0,0
이형범,2021,67.6,0,0,2.9,17.6,11.8,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0
