Name,Height,Weight,BirthYear,Age
최동환,184,83,1989,36
쿠에바스,188,98,1990,35
헤이수스,192,104,1996,29
김민수,188,80,1992,33
고영표,187,88,1991,34
이채호,185,85,1998,27
이상동,181,88,1995,30
문용익,178,93,1995,30
오원석,182,80,2001,24
박영현,183,91,2003,22
소형준,189,92,2001,24
원상현,183,83,2004,21
우규민,184,75,1985,40
배재준,188,85,1994,31
백승현,183,90,1995,30
임찬규,185,80,1992,33
김진성,186,90,1985,40
김유영,180,83,1994,31
이우찬,185,97,1992,33
박명근,174,75,2004,21
손주영,191,95,1998,27
송승기,181,90,2002,23
함덕주,181,78,1995,30
김대현,188,100,1997,28
정우영,193,99,1999,26
이상영,193,95,2000,25
김영준,185,90,1999,26
이믿음,188,80,2000,25
이종준,191,93,2001,24
김진수,179,82,1998,27
진우영,188,97,2001,24
정지헌,180,85,2003,22
이지강,183,85,1999,26
유영찬,185,90,1997,28
성동현,189,108,1999,26
장현식,181,91,1995,30
최채흥,186,97,1995,30
김강률,187,95,1988,37
에르난데스,185,97,1995,30
김주온,187,89,1996,29
심창민,185,86,1993,32
우강훈,183,88,2002,23
임준형,180,87,2000,25
허준혁,180,85,1999,26
배재환,186,95,1995,30
최성영,180,85,1997,28
최우석,190,90,2005,20
전사민,194,85,1999,26
한재승,180,90,2001,24
전루건,185,80,2000,25
김재열,183,97,1996,29
김진호,183,90,1998,27
김민규,183,84,2001,24
김시훈,188,95,1999,26
김태경,188,95,2001,24
김영규,188,86,2000,25
이재학,181,84,1990,35
이용찬,185,85,1989,36
임정호,188,90,1990,35
임상현,184,89,2005,20
목지훈,181,83,2004,21
류진욱,189,88,1996,29
신민혁,184,95,1999,26
백승건,183,85,2000,25
윤태현,189,93,2003,22
이건욱,182,85,1995,30
조병현,182,90,2002,23
장지훈,177,78,1998,27
서진용,184,88,1992,33
송영진,185,90,2004,21
김광현,188,88,1988,37
최민준,178,83,1999,26
앤더슨,194,83,1994,31
한두솔,177,86,1997,28
노경은,187,100,1984,41
김건우,185,88,2002,23
최현석,185,90,2003,22
김민,185,88,1999,26
문승원,180,88,1989,36
김택형,185,90,1996,29
이승훈,186,81,2004,21
안현서,185,83,2004,21
박종훈,186,90,1991,34
정동윤,193,103,1997,28
화이트,190,95,1994,31
박시후,182,88,2001,24
신지환,180,81,2006,19
최수호,183,78,2000,25
임성준,183,93,2001,24
전영준,190,100,2002,23
박기호,184,80,2005,20
천범석,183,86,2006,19
이로운,185,105,2004,21
김현재,177,78,2006,19
이도우,191,96,2006,19
조요한,191,102,2000,25
박성빈,187,92,2003,22
한지헌,183,86,2004,21
도재현,193,103,2001,24
김준영,178,83,2003,22
조상우,186,97,1994,31
최지민,185,100,2003,22
황동하,183,96,2002,23
임기영,184,86,1993,32
장재혁,180,86,2001,24
전상현,182,88,1996,29
정해영,189,98,2001,24
김대유,187,92,1991,34
김도현,183,87,2000,25
김현수,185,90,2000,25
김건국,183,86,1988,37
김기훈,184,93,2000,25
김민재,188,85,2003,22
김민주,182,85,2002,23
김사윤,182,90,1994,31
김승현,180,105,1992,33
곽도규,185,90,2004,21
이의리,185,90,2002,23
이형범,181,80,1994,31
이준영,177,85,1992,33
네일,193,83,1993,32
올러,193,102,1994,31
박준표,181,93,1992,33
양현종,183,91,1988,37
유승철,184,87,1998,27
윤중현,180,84,1995,30
윤영철,187,87,2004,21
유지성,189,94,2000,25
최지강,180,88,2001,24
최원준,182,91,1994,31
홍민규,183,87,2006,19
김명신,178,90,1993,32
김택연,181,88,2005,20
고효준,179,81,1983,42
이영하,192,91,1997,28
박치국,177,78,1998,27
박정수,178,74,1996,29
박신지,185,75,1999,26
반즈,189,91,1995,30
최준용,185,85,2001,24
한현희,182,98,1993,32
홍민기,185,85,2001,24
현도훈,188,95,1993,32
정철원,192,95,1999,26
정현수,180,84,2001,24
정우준,180,82,2000,25
진해수,187,85,1986,39
진승현,184,108,2003,22
김도규,192,118,1998,27
김강현,177,84,1995,30
김진욱,185,90,2002,23
김상수,180,88,1988,37
김원중,192,96,1993,32
구승민,182,86,1990,35
이민석,189,95,2003,22
나균안,186,109,1998,27
박진,182,106,1999,26
박진형,181,77,1994,31
박세웅,182,85,1995,30
박시영,181,92,1989,36
심재민,182,92,1994,31
송재영,181,84,2002,23
윤성빈,197,90,1999,26
이호성,184,87,2004,21
최원태,184,104,1997,28
육선엽,190,90,2005,20
최지광,173,85,1998,27
이상민,180,85,1990,35
김대우,183,85,1988,37
원태인,183,92,2000,25
양현,189,104,1992,33
이승현_우,181,92,1991,34
오승환,178,93,1982,43
이재익,180,76,1994,31
김태훈,187,101,1992,33
이승민,174,79,2000,25
백정현,184,80,1987,38
최하늘,190,99,1999,26
권현우,190,93,2006,19
양창섭,182,85,1999,26
레예스,198,113,1996,29
김대호,185,100,2001,24
임창민,183,94,1985,40
송은범,182,93,1984,41
김무신,185,95,1999,26
정민성,184,98,2005,20
최충연,190,85,1997,28
최성훈,178,75,1989,36
배찬승,180,85,2006,19
이승현_좌,183,102,2002,23
이재희,187,100,2001,24
황동재,191,97,2001,24
김재윤,185,91,1990,35
홍원표,183,86,2001,24
후라도,188,109,1996,29
조영건,180,85,1999,26
하영민,183,74,1995,30
주승우,180,82,2000,25
김선기,187,98,1991,34
김성민,181,90,1994,31
김연주,175,75,2004,21
이준우,183,93,2001,24
이강준,180,80,2001,24
오석주,180,74,1998,27
박주성,180,90,2000,25
로젠버그,186,90,1995,30
원종현,182,88,1987,38
양지율,185,103,1998,27
윤석원,185,81,2003,22
조동욱,190,82,2004,21
한승혁,185,100,1993,32
김범수,181,92,1995,30
김종수,180,88,1994,31
김서현,188,86,2004,21
이상규,185,77,1996,29
문동주,188,97,2003,22
박상원,187,98,1994,31
류현진,190,113,1987,38
엄상백,187,72,1996,29
와이스,193,95,1996,29
윤대경,179,81,1994,31
김기중,186,96,2002,23
이충호,182,82,1994,31
이민우,185,104,1993,32
장시환,184,97,1987,38
황준서,185,78,2005,20
장민재,184,106,1990,35
배민서,184,90,1999,26
장지수,179,80,2000,25
이태양,192,97,1990,35
김민우,186,123,1995,30
배동현,183,83,1998,27
김도빈,190,95,2001,24
박성웅,178,109,1999,26
주현상,177,92,1992,33
김승일,183,85,2001,24
박준영,190,103,2003,22
