Name,Year,Team,Date,Opp,Role,Dec,ERA,WHIP,IP,NP,R,ER,H,HR,SO,BB,HB,GS,Venue,Stadium,Time,Temp,연투 여부,휴식일 수,연투일,2023WBC,2021올림픽,2023아시안게임,2023아시아프로야구챔피언십,2023 아시아 야구 선수권 대회,2019프리미어12,PS_KS,PS_PO,PS_SP,PS_V,PS_WC
고영표,2021,KT,2021-04-07,vs. LG,SP,,1.5,0.83,6,88,1,1,2,0,5,3,2,64,Home,수원 KT 위즈파크,18:30,16.7,FALSE,0,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
고영표,2021,KT,2021-04-13,@ Doosan,SP,W,4.5,1.17,6,95,3,3,6,0,7,1,0,54,Away,잠실 야구장,18:30,10.2,FALSE,5,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
고영표,2021,KT,2021-04-18,vs. Kiwoom,SP,W,3,0.83,6,91,2,2,5,1,5,0,0,59,Home,수원 KT 위즈파크,14:00,13.2,FALSE,4,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
고영표,2021,KT,2021-04-24,vs. Lotte,SP,L,4.5,1.83,6,86,3,3,11,0,2,0,0,40,Home,수원 KT 위즈파크,17:00,22.8,FALSE,5,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
고영표,2021,KT,2021-04-30,vs. Kia,SP,W,3.86,1.14,7,97,3,3,7,1,8,1,1,57,Home,수원 KT 위즈파크,18:30,12,FALSE,5,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
고영표,2021,KT,2021-05-06,@ Kiwoom,SP,,4.5,1.33,6,90,4,3,7,0,3,1,2,44,Away,고척 스카이돔,18:30,25.5,FALSE,5,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
고영표,2021,KT,2021-05-12,vs. Samsung,SP,L,9,1.17,6,84,6,6,7,1,3,0,2,35,Home,수원 KT 위즈파크,18:30,26.3,FALSE,5,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
고영표,2021,KT,2021-05-26,vs. SSG,SP,,1.29,0.71,7,100,1,1,4,1,8,1,0,72,Home,수원 KT 위즈파크,18:30,21.9,FALSE,13,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
고영표,2021,KT,2021-06-01,@ LG,SP,W,1.35,0.75,6 ⅔,98,1,1,3,0,6,2,1,67,Away,잠실 야구장,18:30,23.5,FALSE,5,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
고영표,2021,KT,2021-06-08,@ SSG,SP,W,0,0.83,6,95,0,0,4,0,5,1,2,66,Away,인천 SSG 랜더스필드,18:30,24.2,FALSE,6,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
