이름,연도,팀,보직,나이,키,몸무게,날짜,구장,온도,ERA,WHIP,이닝,누적이닝,총이닝,투구수,실점,자책점,피안타,피홈런,탈삼진,볼넷,사구,K/BB,연투여부,휴식일수,연투일수,연투횟수,WBC_2023,올림픽_2021,아시안게임_2023,아시아챔피언십_2023,아시아선수권_2023,프리미어12_2019,PS_KS,PS_PO,PS_SP,PS_V,PS_WC,이동거리,총이동거리,누적이동거리,직구_피안타율,직구_구사율,변화구_구사율,FIP,FIP_변화량,평균_FIP,GS,평균_GS,GS_변화량,평균_ERA,ERA_변화량,구속,평균_구속,구속_변화량,부상위험도
고영표,2021,KT,SP,34,187,88,2021-04-07,Home,16.7,1.5,0.83,6,6,166.6666667,88,1,1,2,0,5,3,2,1.666666667,FALSE,0,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,9390,0,0.254,28,72,4.003,0.847230769,3.155769231,72,72.96153846,-0.961538462,3.343846154,-1.843846154,134.8,137.3565217,-2.556521739,
고영표,2021,KT,SP,34,187,88,2021-04-13,Away,10.2,4.5,1.17,6,12,166.6666667,95,3,3,6,0,7,1,0,7,FALSE,5,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,294,9390,570,0.254,28,72,1.337,-1.818769231,3.155769231,72,72.96153846,-0.961538462,3.343846154,1.156153846,136.1,137.3565217,-1.256521739,
고영표,2021,KT,SP,34,187,88,2021-04-18,Home,13.2,3,0.83,6,18,166.6666667,91,2,2,5,1,5,0,0,inf,FALSE,4,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,9390,601,0.254,28,72,3.67,0.514230769,3.155769231,72,72.96153846,-0.961538462,3.343846154,-0.343846154,137.3,137.3565217,-0.0565217391,
고영표,2021,KT,SP,34,187,88,2021-04-24,Home,22.8,4.5,1.83,6,24,166.6666667,86,3,3,11,0,2,0,0,inf,FALSE,5,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,9390,1261,0.254,28,72,2.503,-0.652769231,3.155769231,64,72.96153846,-8.961538462,3.343846154,1.156153846,136.3,137.3565217,-1.056521739,
고영표,2021,KT,SP,34,187,88,2021-04-30,Home,12,3.86,1.14,7,31,166.6666667,97,3,3,7,1,8,1,1,8,FALSE,5,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,9390,1339,0.254,28,72,3.599,0.443230769,3.155769231,76,72.96153846,3.038461538,3.343846154,0.516153846,136.5,137.3565217,-0.856521739,
고영표,2021,KT,SP,34,187,88,2021-05-06,Away,25.5,4.5,1.33,6,37,166.6666667,90,4,3,7,0,3,1,2,3,FALSE,5,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,9390,1367,0.254,28,72,3.67,0.514230769,3.155769231,67,72.96153846,-5.961538462,3.343846154,1.156153846,135.8,137.3565217,-1.556521739,
고영표,2021,KT,SP,34,187,88,2021-05-12,Home,26.3,9,1.17,6,43,166.6666667,84,6,6,7,1,3,0,2,inf,FALSE,5,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,9390,1395,0.254,28,72,5.337,2.181230769,3.155769231,64,72.96153846,-8.961538462,3.343846154,5.656153846,135.2,137.3565217,-2.156521739,
고영표,2021,KT,SP,34,187,88,2021-05-26,Home,21.9,1.29,0.71,7,50,166.6666667,100,1,1,4,1,8,1,0,8,FALSE,13,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,9390,2409,0.254,28,72,3.17,0.0142307692,3.155769231,81,72.96153846,8.038461538,3.343846154,-2.053846154,134.7,137.3565217,-2.656521739,
고영표,2021,KT,SP,34,187,88,2021-06-01,Away,23.5,1.35,0.75,6.666666667,56.66666667,166.6666667,98,1,1,3,0,6,2,1,3,FALSE,5,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,291,9390,2972,0.254,28,72,2.72,-0.435769231,3.155769231,78,72.96153846,5.038461538,3.343846154,-1.993846154,136.4,137.3565217,-0.956521739,
고영표,2021,KT,SP,34,187,88,2021-06-08,Away,24.2,0,0.83,6,62.66666667,166.6666667,95,0,0,4,0,5,1,2,5,FALSE,6,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,9390,3042,0.254,28,72,3.003,-0.152769231,3.155769231,75,72.96153846,2.038461538,3.343846154,-3.343846154,137.6,137.3565217,0.243478261,
