Name,Team,Year,Date,Opp,Role,Dec,ERA,WHIP,IP,NP,R,ER,H,HR,SO,BB,HB,GS,Venue,Stadium,Time,Temp
배찬승,Samsung,2025,2025-07-08,@ NC,RP,,0.0,6.0,0 ⅓,9,0,0,1,0,0,1,0,,Away,창원 NC 파크,18:30,32.8
배찬승,Samsung,2025,2025-07-06,vs. LG,RP,,27.0,3.0,0 ⅓,7,1,1,1,0,0,0,0,,Home,대구 삼성 라이온즈 파크,17:00,29.9
배찬승,Samsung,2025,2025-07-05,vs. LG,RP,,0.0,,0,15,0,0,0,0,0,3,0,,Home,대구 삼성 라이온즈 파크,18:00,30.5
배찬승,Samsung,2025,2025-07-02,@ Doosan,RP,,0.0,0.0,1,13,0,0,0,0,2,0,0,,Away,잠실 야구장,18:30,31.3
배찬승,Samsung,2025,2025-06-29,@ Kiwoom,RP,,0.0,0.0,1,15,0,0,0,0,2,0,0,,Away,고척 스카이돔,14:00,25.5
배찬승,Samsung,2025,2025-06-26,vs. Hanwha,RP,,0.0,3.0,0 ⅓,9,0,0,1,0,1,0,0,,Home,대구 삼성 라이온즈 파크,18:30,24.9
배찬승,Samsung,2025,2025-06-25,vs. Hanwha,RP,,0.0,1.0,1,7,0,0,1,0,0,0,0,,Home,대구 삼성 라이온즈 파크,18:30,24.9
배찬승,Samsung,2025,2025-06-22,@ Lotte,RP,,0.0,1.0,1,17,0,0,1,0,3,0,0,,Away,사직 야구장,17:00,23.3
배찬승,Samsung,2025,2025-06-19,vs. Doosan,RP,L,27.0,4.5,0 ⅔,23,2,2,2,0,0,1,1,,Home,대구 삼성 라이온즈 파크,18:30,27.6
배찬승,Samsung,2025,2025-06-18,vs. Doosan,RP,,0.0,1.0,1,12,0,0,0,0,1,1,0,,Home,대구 삼성 라이온즈 파크,18:30,23.1
배찬승,Samsung,2025,2025-06-12,@ Kia,RP,H,0.0,1.0,1,13,0,0,1,0,1,0,0,,Away,광주 기아 챔피언스 필드,18:30,26.3
배찬승,Samsung,2025,2025-06-11,@ Kia,RP,,0.0,6.0,0 ⅓,16,2,0,1,0,0,1,0,,Away,광주 기아 챔피언스 필드,18:30,27.1
배찬승,Samsung,2025,2025-06-06,vs. NC,RP,H,0.0,1.0,1,19,0,0,1,0,1,0,0,,Home,대구 삼성 라이온즈 파크,18:30,21.7
배찬승,Samsung,2025,2025-06-05,@ SSG,RP,H,13.5,4.5,0 ⅔,24,1,1,2,0,1,1,0,,Away,인천 SSG 랜더스필드,18:30,20.8
배찬승,Samsung,2025,2025-05-30,@ LG,RP,H,0.0,0.0,1,12,0,0,0,0,0,0,0,,Away,잠실 야구장,18:30,27.4
배찬승,Samsung,2025,2025-05-29,vs. Lotte,RP,H,6.75,2.25,1 ⅓,20,1,1,3,0,1,0,0,,Home,대구 삼성 라이온즈 파크,18:30,19.2
배찬승,Samsung,2025,2025-05-27,vs. Lotte,RP,,27.0,3.0,0 ⅔,21,2,2,2,0,2,0,0,,Home,대구 삼성 라이온즈 파크,18:30,20.1
배찬승,Samsung,2025,2025-05-25,vs. Kia,RP,,0.0,0.0,1,14,0,0,0,0,1,0,0,,Home,대구 삼성 라이온즈 파크,14:00,19.3
배찬승,Samsung,2025,2025-05-23,vs. Kia,RP,,0.0,2.4,1 ⅔,31,0,0,2,0,2,2,0,,Home,대구 삼성 라이온즈 파크,18:30,18.4
배찬승,Samsung,2025,2025-05-22,@ Kiwoom,RP,H,0.0,0.0,0 ⅓,9,0,0,0,0,0,0,0,,Away,고척 스카이돔,18:30,25.5
배찬승,Samsung,2025,2025-05-18,@ Lotte,RP,,0.0,0.0,1,9,0,0,0,0,0,0,0,,Away,사직 야구장,14:00,20.8
배찬승,Samsung,2025,2025-05-17,@ Lotte,RP,,0.0,1.0,1,13,0,0,1,0,0,0,0,,Away,사직 야구장,17:00,20.9
배찬승,Samsung,2025,2025-05-13,vs. KT,RP,,18.0,2.0,1,19,2,2,2,1,2,0,0,,Home,대구 삼성 라이온즈 파크,18:30,19.5
배찬승,Samsung,2025,2025-05-11,vs. LG,RP,,0.0,4.5,0 ⅔,16,0,0,1,0,0,2,0,,Home,대구 삼성 라이온즈 파크,14:00,17.9
배찬승,Samsung,2025,2025-05-10,vs. LG,RP,,0.0,1.5,1 ⅓,32,0,0,2,0,1,0,1,,Home,대구 삼성 라이온즈 파크,17:00,17.6
배찬승,Samsung,2025,2025-05-07,@ Hanwha,RP,,0.0,0.0,1,12,0,0,0,0,2,0,0,,Away,대전 한화생명 볼파크,18:30,19.5
배찬승,Samsung,2025,2025-05-06,@ Hanwha,RP,,0.0,1.0,1,17,0,0,1,0,2,0,0,,Away,대전 한화생명 볼파크,18:30,16.9
배찬승,Samsung,2025,2025-05-04,vs. Doosan,RP,,18.0,3.0,1,26,2,2,3,1,1,0,0,,Home,대구 삼성 라이온즈 파크,14:00,20.7
배찬승,Samsung,2025,2025-04-29,@ SSG,RP,,0.0,,0,4,0,0,0,0,0,1,0,,Away,인천 SSG 랜더스필드,18:30,14.9
배찬승,Samsung,2025,2025-04-27,vs. NC,RP,,54.0,9.0,0 ⅓,19,2,2,3,0,0,0,0,,Home,대구 삼성 라이온즈 파크,14:00,20.2
배찬승,Samsung,2025,2025-04-25,vs. NC,RP,H,0.0,1.5,0 ⅔,12,0,0,0,0,1,1,0,,Home,대구 삼성 라이온즈 파크,18:30,16.8
배찬승,Samsung,2025,2025-04-23,vs. Kia,RP,H,0.0,0.0,0 ⅔,6,0,0,0,0,2,0,0,,Home,대구 삼성 라이온즈 파크,18:30,13.9
배찬승,Samsung,2025,2025-04-19,vs. Lotte,RP,,0.0,2.0,1,16,0,0,1,0,0,1,0,,Home,대구 삼성 라이온즈 파크,17:00,18.4
배찬승,Samsung,2025,2025-04-15,@ LG,RP,,54.0,15.0,0 ⅓,21,2,2,2,0,0,3,0,,Away,잠실 야구장,18:30,11.5
배찬승,Samsung,2025,2025-04-13,@ KT,RP,,0.0,1.0,1,13,0,0,0,0,0,1,0,,Away,수원 KT 위즈파크,14:00,3.6
배찬승,Samsung,2025,2025-04-10,vs. SSG,RP,,0.0,0.0,1,15,0,0,0,0,0,0,0,,Home,대구 삼성 라이온즈 파크,18:30,14.9
배찬승,Samsung,2025,2025-04-08,vs. SSG,RP,,0.0,0.0,1,14,0,0,0,0,1,0,0,,Home,대구 삼성 라이온즈 파크,18:30,17.3
배찬승,Samsung,2025,2025-04-05,vs. Hanwha,RP,,0.0,3.0,0 ⅓,6,0,0,1,0,1,0,0,,Home,대구 삼성 라이온즈 파크,17:00,13.4
배찬승,Samsung,2025,2025-03-30,@ Doosan,RP,H,0.0,0.0,1,10,0,0,0,0,1,0,0,,Away,잠실 야구장,14:00,3.4
배찬승,Samsung,2025,2025-03-29,@ Doosan,RP,,0.0,1.5,0 ⅔,15,0,0,0,0,1,1,0,,Away,잠실 야구장,17:00,1.5
배찬승,Samsung,2025,2025-03-27,vs. NC,RP,,13.5,6.0,0 ⅔,24,1,1,2,0,1,2,0,,Home,대구 삼성 라이온즈 파크,18:30,17.1
배찬승,Samsung,2025,2025-03-23,vs. Kiwoom,RP,H,0.0,0.0,1,8,0,0,0,0,1,0,0,,Home,대구 삼성 라이온즈 파크,14:00,18.7
최원태,Samsung,2025,2025-07-09,@ NC,SP,L,3.0,1.17,6,94,3,2,5,0,3,2,1,52.0,Away,창원 NC 파크,18:30,30.8
최원태,Samsung,2025,2025-07-03,@ Doosan,SP,,4.5,1.67,6,98,3,3,9,0,3,1,0,46.0,Away,잠실 야구장,18:30,31.2
최원태,Samsung,2025,2025-06-27,@ Kiwoom,SP,,1.8,1.8,5,105,1,1,4,0,7,5,0,57.0,Away,고척 스카이돔,18:30,25.5
최원태,Samsung,2025,2025-06-15,vs. KT,SP,L,13.5,1.75,4,79,6,6,6,2,3,1,0,28.0,Home,대구 삼성 라이온즈 파크,17:00,25.2
최원태,Samsung,2025,2025-06-10,@ Kia,SP,W,0.0,0.83,6,96,0,0,2,0,7,3,0,72.0,Away,광주 기아 챔피언스 필드,18:30,25.4
최원태,Samsung,2025,2025-06-04,@ SSG,SP,L,6.75,1.5,5 ⅓,93,4,4,7,0,6,1,0,43.0,Away,인천 SSG 랜더스필드,18:30,21.5
