Name,Year,투심_구사율,포심_구사율,커터_구사율,커브_구사율,슬라_구사율,첸접_구사율,싱커_구사율,포크_구사율,너클_구사율,기타_구사율,투심_피안타율,포심_피안타율,커터_피안타율,커브_피안타율,슬라_피안타율,첸접_피안타율,싱커_피안타율,포크_피안타율,너클_피안타율,기타_피안타율
조상우,2025,20.5,36.8,0,0,31.5,0,0,11.2,0,0,0.385,0.189,0,0,0.291,0,0,0.188,0,0
최지민,2025,0,67.7,0,0,21.6,10,0,0,0,0,0,0.296,0,0,0.125,0.2,0,0,0,0
전상현,2025,0,45.7,0,3.7,31,0,0,19.4,0,0,0,0.306,0,0.286,0.207,0,0,0.237,0,0
정해영,2025,0,54.8,0,0.4,29.6,0,0,14.9,0,0,0,0.326,0,1,0.258,0,0,0.24,0,0
김대유,2025,0,48.1,0,11.4,35.4,5.1,0,0,0,0,0,0.25,0,0.25,0.2,1,0,0,0,0
김현수,2025,0,51.8,0,16.4,25.1,6.7,0,0,0,0,0,0.292,0,0.25,0.1,0.333,0,0,0,0
이형범,2025,53.6,1.5,0,1.5,26,16.8,0,0,0,0,0.52,0,0,0,0.417,0.333,0,0,0,0
이준영,2025,0,28.1,0,1.4,70.5,0,0,0,0,0,0,0.471,0,0,0.25,0,0,0,0,0
네일,2025,39.7,2,6.2,1.1,31.9,19.1,0,0,0,0,0.25,0.2,0.381,0.143,0.16,0.25,0,0,0,0
성영탁,2025,42.6,0,0,17,40.3,0,0,0,0,0,0.222,0,0,0.2,0.158,0,0,0,0,0
배제성,2025,0,48.1,0,1.2,39,11.6,0,0,0,0,0,0.217,0,0,0.269,0,0,0,0,0
주권,2025,17.3,29.1,0,0.3,8.4,44.9,0,0,0,0,0.333,0.25,0,0,0.333,0.324,0,0,0,0
김재원,2025,0,65.7,0,33.3,0,0,0,0,0,0,0,0.25,0,0.167,0,0,0,0,0,0
김민수,2025,0,38.8,1.9,1.7,48.5,8.7,0,0,0,0,0,0.277,0.25,0.25,0.338,0.286,0,0,0,0
고영표,2025,31.7,6.7,1.7,7.5,1.8,50.2,0,0,0,0,0.344,0.409,0.167,0.455,0.25,0.23,0,0,0,0
이상동,2025,0,57.4,0,0,16.8,0,0,25.8,0,0,0,0.214,0,0,0,0,0,0.071,0,0
박영현,2025,0,70.2,0,0,5.4,22.9,0,0,0,0,0,0.25,0,0,0.143,0.229,0,0,0,1
소형준,2025,51.4,0,27.4,3.2,0,17.7,0,0,0,0,0.259,0,0.207,0.333,0,0.254,0,0,0,0
원상현,2025,0,45.8,0,15.6,0.5,37.6,0,0,0,0,0,0.292,0,0.143,0,0.203,0,0,0,0
우규민,2025,0,38.3,0,30.2,26,5.1,0,0,0,0,0,0.25,0,0.27,0.192,0.333,0,0,0,0
백승현,2025,0,64.5,0,0,25.9,0,0,9.4,0,0,0,0.278,0,0,0.214,0,0,0,0,0
함덕주,2025,0,60.9,0,0,26.1,13,0,0,0,0,0,0.333,0,0,0.25,0,0,0,0,0
임찬규,2025,0,35.6,0.2,28.1,8.2,27.5,0,0,0,0,0,0.28,0,0.264,0.194,0.211,0,0,0,0
장현식,2025,0,45.7,0,0,30.9,0,0,23.4,0,0,0,0.32,0,0,0.216,0,0,0.3,0,0
김진성,2025,0,44.9,0,0,3.2,0,0,51.4,0,0,0,0.234,0,0,0.333,0,0,0.207,0,0
김영우,2025,0,66.6,0,21.4,7.1,0,0,4.9,0,0,0,0.313,0,0.261,0.182,0,0,0.1,0,0
이지강,2025,0,50.5,0.9,14.5,10.9,11.5,0,11.2,0,0,0,0.31,0.5,0.19,0.313,0.25,0,0.059,0,0
박명근,2025,0,57.6,0,21.4,0,20.8,0,0,0,0,0,0.254,0,0.176,0,0.273,0,0,0,0
손주영,2025,0,51.2,6.4,23.5,12.5,0.4,0,5.4,0,0,0,0.264,0.3,0.266,0.258,0.5,0,0.35,0,0
송승기,2025,0,54.4,0,7.6,18.9,12.7,0,6,0,0,0,0.264,0,0.24,0.211,0.149,0,0.172,0,0
이정용,2025,0,38.6,0,19.9,18.7,0,0,22.9,0,0,0,0.357,0,0.143,0,0,0,0.167,0,0
유영찬,2025,0,41.8,0,0,34.7,0.4,0,23.1,0,0,0,0.273,0,0,0.105,0,0,0.083,0,0
배재환,2025,0,50.2,0,0,26.1,0,0,23.2,0,0,0,0.2,0,0,0.192,0,0,0.135,0,0.5
최성영,2025,0,38.4,0,1.3,45.9,0.3,0,14.1,0,0,0,0.404,0,0.5,0.27,0,0,0.308,0,0
전사민,2025,56,9.9,0,1.7,14.3,0,0,17.8,0,0,0.435,0.143,0,0,0.167,0,0,0.037,0,0
김진호,2025,0.2,51.9,0,0,3.9,43.8,0,0,0,0,0,0.181,0,0,0,0.192,0,0,0,0
김영규,2025,0,53,0,0,41.6,0,0,5.4,0,0,0,0.217,0,0,0.333,0,0,0,0,0
이준혁,2025,0,34.5,0,14.4,44.2,6.1,0,0,0,0,0,0.36,0,0.333,0.32,0,0,0,0,0
류진욱,2025,0,58.3,0,0,16.4,0,0,25.2,0,0,0,0.291,0,0,0.115,0,0,0.185,0,0
신민혁,2025,0,17.5,31.1,2,0,44.1,0,4.9,0,0,0,0.364,0.244,0,0,0.24,0,0.333,0,0
앤더슨,2025,0,53,2.9,21,3.2,19.8,0,0,0,0,0,0.207,0.273,0.169,0.25,0.16,0,0,0,0
최민준,2025,0,39,5.6,24.9,18.4,0,0,11.9,0,0,0,0.2,0,0.259,0.391,0,0,0.045,0,0
정동윤,2025,46.6,7.1,0,25.6,10.9,0,0,8.8,0,0,0.333,0.5,0,0.182,0.571,0,0,0.2,0,1
전영준,2025,1.4,61,0,7.4,18.7,0,0,11.1,0,0,0,0.237,0,0.4,0.318,0,0,0.304,0,0
조병현,2025,0,72.5,0.3,4.5,0.5,0,0,21.9,0,0,0,0.165,0,0,0,0,0,0.195,0,0
김광현,2025,0,27.4,0,16.1,42.3,0.2,0,13.7,0,0,0,0.283,0,0.212,0.231,0,0,0.405,0,0
김민,2025,52.1,0.2,0,0,45.1,1.9,0,0.5,0,0,0.324,0,0,0,0.247,0.667,0,0,0,0
김택형,2025,0,48.7,0,0,48.7,0,0,2.6,0,0,0,0.333,0,0,0,0,0,0,0,0
이로운,2025,0,45.7,0,9,19.5,25.5,0,0,0,0,0,0.237,0,0.222,0.316,0.15,0,0,0,0
노경은,2025,8.8,33.1,0,8.1,21,0,0,28.2,0.7,0,0.235,0.236,0,0.4,0.278,0,0,0.164,0,0
박시후,2025,41.8,1.5,0,5.2,48.5,3.1,0,0,0,0,0.309,0,0,0.2,0.188,0.5,0,0,0,0
곽빈,2025,0,45.1,0,14.8,25.1,14.7,0,0,0,0,0,0.269,0,0.2,0.22,0.129,0,0,0,0
어빈,2025,22,35,8.4,17.6,3.4,13.1,0,0,0,0,0.367,0.233,0.5,0.197,0.2,0.22,0,0,0,0
김택연,2025,0,73.6,0,0.5,23.4,0,0,2.4,0,0,0,0.16,0,0,0.195,0,0,0.667,0,0
이영하,2025,0,48.6,0,7.5,42.9,0,0,0.9,0,0,0,0.286,0,0.136,0.183,0,0,1,0,0
로그,2025,25,28.1,13.9,0,20.4,12.2,0,0,0,0,0.236,0.194,0.319,0,0.117,0.286,0,0,0,0
박치국,2025,28,40,0,0,28.3,2.5,0,0.4,0,0,0.306,0.221,0,0,0.213,0.167,0,0,0,0
박정수,2025,3.3,30.6,0,16.6,29,19.9,0,0,0,0,0,0.421,0,0.333,0.381,0.278,0,0,0,0
박신지,2025,0,46.3,0,8.8,28.2,16.7,0,0,0,0,0,0.275,0,0.2,0.189,0.28,0,0,0,0
최준용,2025,0,62,0,7.8,23.8,5.8,0,0,0,0,0,0.222,0,0.143,0.273,0.2,0,0,0,0
홍민기,2025,0,64.2,0,0,35.5,0,0,0,0,0,0,0.237,0,0,0.1,0,0,0,0,0
정철원,2025,0,45.7,0,0.1,44.3,0,0,9.6,0,0,0,0.313,0,0,0.205,0,0,0.294,0,0
정현수,2025,0,38.8,0,6.9,51.3,2,0,0,0,0,0,0.179,0,0.455,0.18,0,0,0,0,1
김원중,2025,0,42,0,1.2,6,0,0,50.4,0,0,0,0.214,0,1,0,0,0,0.176,0,0
이민석,2025,0,50.9,0,3.2,39.3,6.1,0,0,0,0,0,0.281,0,0.333,0.307,0,0,0,0,1
나균안,2025,0,39.9,14.7,6.8,0,0,0,38.4,0,0,0,0.314,0.395,0.471,0,0,0,0.229,0,0
배찬승,2025,0,66,0,0,33,0.5,0,0,0,0,0,0.308,0,0,0.269,0,0,0,0,0
최원태,2025,4.8,46.2,2.2,8.5,22.5,15.9,0,0,0,0,0.357,0.278,0.2,0.222,0.279,0.146,0,0,0,0
김대호,2025,0,45.2,0,3.6,39.9,1.4,0,9.6,0,0,0,0.273,0,0,0.222,0,0,0.25,0,0
김재윤,2025,0,55.2,0,0.9,25.2,0,0,17.9,0,0,0,0.303,0,0,0.229,0,0,0.304,0,0
김태훈,2025,0.7,48.2,0.1,15.7,2.3,0,0,32.1,0,0,0.333,0.304,0,0.188,0.4,0,0,0.194,0,0
이호성,2025,0,56.5,0,12.5,30.3,0.3,0,0,0,0,0,0.256,0,0,0.195,0,0,0,0,0
이승현_좌,2025,0,35.1,19.5,16.4,15.7,13.1,0,0,0,0,0,0.32,0.333,0.154,0.182,0.308,0,0,0,0
이승현_우,2025,0,56.4,0,0,26.2,14.2,0,1.8,0,0,0,0.393,0,0,0.353,0.25,0,0,0,1
이승민,2025,0.2,54.2,0,5,29.7,10.7,0,0,0,0,0,0.26,0,0.5,0.295,0.273,0,0,0,0
양창섭,2025,0.2,48.4,0,7.4,39.1,0.2,0,4.7,0,0,0,0.393,0,0.222,0.275,0,0,0,0,0
육선엽,2025,0,45.2,0,6.9,31.7,14.7,0,0.3,0,0,0,0.25,0,0,0.071,0.222,0,0,0,0
알칸타라,2025,0,51.4,0,0,19,0,0,29.5,0,0,0,0.301,0,0,0.3,0,0,0.278,0,0
조영건,2025,0,59.2,0,9.9,15.3,0,0,15.5,0,0,0,0.3,0,0.467,0.154,0,0,0.231,0,0
