Name,Team,Height,Weight,BirthYear
조동욱,한화,190cm,82kg,2004
한승혁,한화,185cm,100kg,1993
황준서,한화,185cm,78kg,2005
정우주,한화,184cm,88kg,2006
주현상,한화,177cm,92kg,1992
김범수,한화,181cm,92kg,1995
김종수,한화,180cm,88kg,1994
김기중,한화,186cm,96kg,2002
김서현,한화,188cm,86kg,2004
박상원,한화,187cm,98kg,1994
백승현,LG,183cm,90kg,1995
함덕주,LG,181cm,78kg,1995
임찬규,LG,185cm,80kg,1992
장현식,LG,181cm,91kg,1995
김진성,LG,186cm,90kg,1985
김영우,LG,185cm,90kg,2005
이지강,LG,183cm,85kg,1999
박명근,LG,174cm,75kg,2004
손주영,LG,191cm,95kg,1998
송승기,LG,181cm,90kg,2002
이정용,LG,185cm,83kg,1996
유영찬,LG,185cm,90kg,1997
배찬승,삼성,180cm,85kg,2006
최원태,삼성,184cm,104kg,1997
김대호,삼성,185cm,100kg,2001
김재윤,삼성,185cm,91kg,1990
김태훈,삼성,187cm,101kg,1992
이호성,삼성,184cm,87kg,2004
이승현_우,삼성,181cm,92kg,1991
이승현_좌,삼성,183cm,102kg,2002
이승민,삼성,174cm,79kg,2000
양창섭,삼성,182cm,85kg,1999
육선엽,삼성,190cm,90kg,2005
최준용,롯데,185cm,85kg,2001
홍민기,롯데,185cm,85kg,2001
정철원,롯데,192cm,95kg,1999
정현수,롯데,180cm,84kg,2001
김원중,롯데,192cm,96kg,1993
이민석,롯데,189cm,95kg,2003
나균안,롯데,186cm,109kg,1998
조상우,KIA,186cm,97kg,1994
최지민,KIA,185cm,100kg,2003
전상현,KIA,182cm,88kg,1996
정해영,KIA,189cm,98kg,2001
김대유,KIA,187cm,92kg,1991
김현수,KIA,185cm,90kg,2000
이형범,KIA,181cm,80kg,1994
이준영,KIA,177cm,85kg,1992
네일,KIA,193cm,83kg,1993
성영탁,KIA,180cm,89kg,2004
배제성,KT,190cm,90kg,1996
주권,KT,181cm,82kg,1995
김재원,KT,190cm,90kg,2006
김민수,KT,188cm,80kg,1992
고영표,KT,187cm,88kg,1991
이상동,KT,181cm,88kg,1995
박영현,KT,183cm,91kg,2003
소형준,KT,189cm,92kg,2001
원상현,KT,183cm,83kg,2004
우규민,KT,184cm,75kg,1985
앤더슨,SSG,194cm,83kg,1994
최민준,SSG,178cm,83kg,1999
정동윤,SSG,193cm,103kg,1997
전영준,SSG,190cm,100kg,2002
조병현,SSG,182cm,90kg,2002
김광현,SSG,188cm,88kg,1988
김민,SSG,185cm,88kg,1999
김택형,SSG,185cm,90kg,1996
이로운,SSG,185cm,105kg,2004
노경은,SSG,187cm,100kg,1984
박시후,SSG,182cm,88kg,2001
로건,NC,186cm,105kg,1997
배재환,NC,186cm,95kg,1995
최성영,NC,180cm,85kg,1997
전사민,NC,194cm,85kg,1999
김진호,NC,183cm,90kg,1998
김영규,NC,188cm,86kg,2000
이준혁,NC,184cm,87kg,2003
류진욱,NC,189cm,88kg,1996
신민혁,NC,184cm,95kg,1999
곽빈,두산,187cm,95kg,1999
어빈,두산,193cm,102kg,1994
김택연,두산,181cm,88kg,2005
이영하,두산,192cm,91kg,1997
로그,두산,183cm,84kg,1996
박치국,두산,177cm,78kg,1998
박정수,두산,178cm,74kg,1996
박신지,두산,185cm,75kg,1999
알칸타라,키움,193cm,100kg,1992
조영건,키움,180cm,85kg,1999
주승우,키움,180cm,82kg,2000
정현우,키움,181cm,91kg,2006
김선기,키움,187cm,98kg,1991
이준우,키움,183cm,93kg,2001
오석주,키움,180cm,74kg,1998
박정훈,키움,192cm,103kg,2006
박윤성,키움,183cm,96kg,2004
원종현,키움,182cm,88kg,1987
윤석원,키움,185cm,81kg,2003
