선수명,연도,투심_구사율,포심_구사율,커터_구사율,커브_구사율,슬라_구사율,첸접_구사율,싱커_구사율,포크_구사율,너클_구사율,기타_구사율,투심_피안타율,포심_피안타율,커터_피안타율,커브_피안타율,슬라_피안타율,첸접_피안타율,싱커_피안타율,포크_피안타율,너클_피안타율,기타_피안타율
조상우,2025,20.5,36.8,0,0,31.5,0,0,11.2,0,0,0.385,0.189,0,0,0.291,0,0,0.188,0,0
최지민,2025,0,67.7,0,0,21.6,10,0,0,0,0,0,0.296,0,0,0.125,0.2,0,0,0,0
전상현,2025,0,45.7,0,3.7,31,0,0,19.4,0,0,0,0.306,0,0.286,0.207,0,0,0.237,0,0
정해영,2025,0,54.8,0,0.4,29.6,0,0,14.9,0,0,0,0.326,0,1,0.258,0,0,0.24,0,0
김대유,2025,0,48.1,0,11.4,35.4,5.1,0,0,0,0,0,0.25,0,0.25,0.2,1,0,0,0,0
김현수,2025,0,51.8,0,16.4,25.1,6.7,0,0,0,0,0,0.292,0,0.25,0.1,0.333,0,0,0,0
이형범,2025,53.6,1.5,0,1.5,26,16.8,0,0,0,0,0.52,0,0,0,0.417,0.333,0,0,0,0
이준영,2025,0,28.1,0,1.4,70.5,0,0,0,0,0,0,0.471,0,0,0.25,0,0,0,0,0
네일,2025,39.7,2,6.2,1.1,31.9,19.1,0,0,0,0,0.25,0.2,0.381,0.143,0.16,0.25,0,0,0,0
성영탁,2025,42.6,0,0,17,40.3,0,0,0,0,0,0.222,0,0,0.2,0.158,0,0,0,0,0
