선수명,연도,투심_구사율,포심_구사율,커터_구사율,커브_구사율,슬라_구사율,첸접_구사율,싱커_구사율,포크_구사율,너클_구사율,기타_구사율,투심_피안타율,포심_피안타율,커터_피안타율,커브_피안타율,슬라_피안타율,첸접_피안타율,싱커_피안타율,포크_피안타율,너클_피안타율,기타_피안타율
배제성,2025,0.0,48.1,0.0,1.2,39.0,11.6,0.0,0.0,0.0,0.0,0.0,0.217,0.0,0.0,0.269,0.0,0.0,0.0,0.0,0.0
주권,2025,17.3,29.1,0.0,0.3,8.4,44.9,0.0,0.0,0.0,0.0,0.333,0.25,0.0,0.0,0.333,0.324,0.0,0.0,0.0,0.0
김재원,2025,0.0,65.7,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0
김민수,2025,0.0,38.8,1.9,1.7,48.5,8.7,0.0,0.0,0.0,0.0,0.0,0.277,0.25,0.25,0.338,0.286,0.0,0.0,0.0,0.0
고영표,2025,31.7,6.7,1.7,7.5,1.8,50.2,0.0,0.0,0.0,0.0,0.344,0.409,0.167,0.455,0.25,0.23,0.0,0.0,0.0,0.0
이상동,2025,0.0,57.4,0.0,0.0,16.8,0.0,0.0,25.8,0.0,0.0,0.0,0.214,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.0
박영현,2025,0.0,70.2,0.0,0.0,5.4,22.9,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.143,0.229,0.0,0.0,0.0,1.0
소형준,2025,51.4,0.0,27.4,3.2,0.0,17.7,0.0,0.0,0.0,0.0,0.259,0.0,0.207,0.333,0.0,0.254,0.0,0.0,0.0,0.0
원상현,2025,0.0,45.8,0.0,15.6,0.5,37.6,0.0,0.0,0.0,0.0,0.0,0.292,0.0,0.143,0.0,0.203,0.0,0.0,0.0,0.0
우규민,2025,0.0,38.3,0.0,30.2,26.0,5.1,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.27,0.192,0.333,0.0,0.0,0.0,0.0
