선수명,연도,투심_구사율,포심_구사율,커터_구사율,커브_구사율,슬라_구사율,첸접_구사율,싱커_구사율,포크_구사율,너클_구사율,기타_구사율,투심_피안타율,포심_피안타율,커터_피안타율,커브_피안타율,슬라_피안타율,첸접_피안타율,싱커_피안타율,포크_피안타율,너클_피안타율,기타_피안타율
백승현,2025,0.0,64.5,0.0,0.0,25.9,0.0,0.0,9.4,0.0,0.0,0.0,0.278,0.0,0.0,0.214,0.0,0.0,0.0,0.0,0.0
함덕주,2025,0.0,60.9,0.0,0.0,26.1,13.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
임찬규,2025,0.0,35.6,0.2,28.1,8.2,27.5,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.264,0.194,0.211,0.0,0.0,0.0,0.0
장현식,2025,0.0,45.7,0.0,0.0,30.9,0.0,0.0,23.4,0.0,0.0,0.0,0.32,0.0,0.0,0.216,0.0,0.0,0.3,0.0,0.0
김진성,2025,0.0,44.9,0.0,0.0,3.2,0.0,0.0,51.4,0.0,0.0,0.0,0.234,0.0,0.0,0.333,0.0,0.0,0.207,0.0,0.0
김영우,2025,0.0,66.6,0.0,21.4,7.1,0.0,0.0,4.9,0.0,0.0,0.0,0.313,0.0,0.261,0.182,0.0,0.0,0.1,0.0,0.0
이지강,2025,0.0,50.5,0.9,14.5,10.9,11.5,0.0,11.2,0.0,0.0,0.0,0.31,0.5,0.19,0.313,0.25,0.0,0.059,0.0,0.0
박명근,2025,0.0,57.6,0.0,21.4,0.0,20.8,0.0,0.0,0.0,0.0,0.0,0.254,0.0,0.176,0.0,0.273,0.0,0.0,0.0,0.0
손주영,2025,0.0,51.2,6.4,23.5,12.5,0.4,0.0,5.4,0.0,0.0,0.0,0.264,0.3,0.266,0.258,0.5,0.0,0.35,0.0,0.0
송승기,2025,0.0,54.4,0.0,7.6,18.9,12.7,0.0,6.0,0.0,0.0,0.0,0.264,0.0,0.24,0.211,0.149,0.0,0.172,0.0,0.0
이정용,2025,0.0,38.6,0.0,19.9,18.7,0.0,0.0,22.9,0.0,0.0,0.0,0.357,0.0,0.143,0.0,0.0,0.0,0.167,0.0,0.0
유영찬,2025,0.0,41.8,0.0,0.0,34.7,0.4,0.0,23.1,0.0,0.0,0.0,0.273,0.0,0.0,0.105,0.0,0.0,0.083,0.0,0.0
