선수명,연도,투심_구사율,포심_구사율,커터_구사율,커브_구사율,슬라_구사율,첸접_구사율,싱커_구사율,포크_구사율,너클_구사율,기타_구사율,투심_피안타율,포심_피안타율,커터_피안타율,커브_피안타율,슬라_피안타율,첸접_피안타율,싱커_피안타율,포크_피안타율,너클_피안타율,기타_피안타율
앤더슨,2025,0.0,53.0,2.9,21.0,3.2,19.8,0.0,0.0,0.0,0.0,0.0,0.207,0.273,0.169,0.25,0.16,0.0,0.0,0.0,0.0
최민준,2025,0.0,39.0,5.6,24.9,18.4,0.0,0.0,11.9,0.0,0.0,0.0,0.2,0.0,0.259,0.391,0.0,0.0,0.045,0.0,0.0
정동윤,2025,46.6,7.1,0.0,25.6,10.9,0.0,0.0,8.8,0.0,0.0,0.333,0.5,0.0,0.182,0.571,0.0,0.0,0.2,0.0,1.0
전영준,2025,1.4,61.0,0.0,7.4,18.7,0.0,0.0,11.1,0.0,0.0,0.0,0.237,0.0,0.4,0.318,0.0,0.0,0.304,0.0,0.0
조병현,2025,0.0,72.5,0.3,4.5,0.5,0.0,0.0,21.9,0.0,0.0,0.0,0.165,0.0,0.0,0.0,0.0,0.0,0.195,0.0,0.0
김광현,2025,0.0,27.4,0.0,16.1,42.3,0.2,0.0,13.7,0.0,0.0,0.0,0.283,0.0,0.212,0.231,0.0,0.0,0.405,0.0,0.0
김민,2025,52.1,0.2,0.0,0.0,45.1,1.9,0.0,0.5,0.0,0.0,0.324,0.0,0.0,0.0,0.247,0.667,0.0,0.0,0.0,0.0
김택형,2025,0.0,48.7,0.0,0.0,48.7,0.0,0.0,2.6,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
이로운,2025,0.0,45.7,0.0,9.0,19.5,25.5,0.0,0.0,0.0,0.0,0.0,0.237,0.0,0.222,0.316,0.15,0.0,0.0,0.0,0.0
노경은,2025,8.8,33.1,0.0,8.1,21.0,0.0,0.0,28.2,0.7,0.0,0.235,0.236,0.0,0.4,0.278,0.0,0.0,0.164,0.0,0.0
박시후,2025,41.8,1.5,0.0,5.2,48.5,3.1,0.0,0.0,0.0,0.0,0.309,0.0,0.0,0.2,0.188,0.5,0.0,0.0,0.0,0.0
