선수명,연도,투심_구사율,포심_구사율,커터_구사율,커브_구사율,슬라_구사율,첸접_구사율,싱커_구사율,포크_구사율,너클_구사율,기타_구사율,투심_피안타율,포심_피안타율,커터_피안타율,커브_피안타율,슬라_피안타율,첸접_피안타율,싱커_피안타율,포크_피안타율,너클_피안타율,기타_피안타율
배찬승,2025,0,66,0,0,33,0.5,0,0,0,0,0,0.308,0,0,0.269,0,0,0,0,0
최원태,2025,4.8,46.2,2.2,8.5,22.5,15.9,0,0,0,0,0.357,0.278,0.2,0.222,0.279,0.146,0,0,0,0
김대호,2025,0,45.2,0,3.6,39.9,1.4,0,9.6,0,0,0,0.273,0,0,0.222,0,0,0.25,0,0
김재윤,2025,0,55.2,0,0.9,25.2,0,0,17.9,0,0,0,0.303,0,0,0.229,0,0,0.304,0,0
김태훈,2025,0.7,48.2,0.1,15.7,2.3,0,0,32.1,0,0,0.333,0.304,0,0.188,0.4,0,0,0.194,0,0
이호성,2025,0,56.5,0,12.5,30.3,0.3,0,0,0,0,0,0.256,0,0,0.195,0,0,0,0,0
이승현_좌,2025,0,35.1,19.5,16.4,15.7,13.1,0,0,0,0,0,0.32,0.333,0.154,0.182,0.308,0,0,0,0
이승현_우,2025,0,56.4,0,0,26.2,14.2,0,1.8,0,0,0,0.393,0,0,0.353,0.25,0,0,0,1
이승민,2025,0.2,54.2,0,5,29.7,10.7,0,0,0,0,0,0.26,0,0.5,0.295,0.273,0,0,0,0
양창섭,2025,0.2,48.4,0,7.4,39.1,0.2,0,4.7,0,0,0,0.393,0,0.222,0.275,0,0,0,0,0
육선엽,2025,0,45.2,0,6.9,31.7,14.7,0,0.3,0,0,0,0.25,0,0,0.071,0.222,0,0,0,0
