선수명,연도,투심_구사율,포심_구사율,커터_구사율,커브_구사율,슬라_구사율,첸접_구사율,싱커_구사율,포크_구사율,너클_구사율,기타_구사율,투심_피안타율,포심_피안타율,커터_피안타율,커브_피안타율,슬라_피안타율,첸접_피안타율,싱커_피안타율,포크_피안타율,너클_피안타율,기타_피안타율
알칸타라,2025,0,51.4,0,0,19,0,0,29.5,0,0,0,0.301,0,0,0.3,0,0,0.278,0,0
조영건,2025,0,59.2,0,9.9,15.3,0,0,15.5,0,0,0,0.3,0,0.467,0.154,0,0,0.231,0,0
주승우,2025,37.5,22.2,0,0.4,28,0,0,11.8,0,0,0.22,0.167,0,0,0.276,0,0,0.25,0,0
정현우,2025,0,52.6,0,10.3,24.1,0.9,0,11.8,0,0,0,0.289,0,0.313,0.343,0.5,0,0.059,0,0
김선기,2025,5,45.2,0,7.4,35.9,0,0,6.3,0,0,0.182,0.319,0,0.25,0.338,0,0,0.2,0,0
이준우,2025,0,48.7,0,22.2,28.1,0.2,0,0,0,0,0,0.395,0,0.238,0.31,0,0,0,0,0
오석주,2025,0,47,0,40.9,8.1,2,0,1.7,0,0,0,0.349,0,0.324,0.25,0,0,0,0,0
박정훈,2025,70.2,2.9,0,0,19.2,7.7,0,0,0,0,0.353,0.5,0,0,0,0,0,0,0,0
박윤성,2025,0,61.8,0,17.9,17.9,0.6,0,1.7,0,0,0,0.333,0,0.154,0.167,0,0,0,0,0
원종현,2025,17.3,45,0.2,0,28,0,0,9.2,0,0,0.429,0.314,1,0,0.244,0,0,0.222,0,0
윤석원,2025,0,57.5,0,4.7,33.6,4.2,0,0,0,0,0,0.345,0,1,0.286,0,0,0,0,0
