선수명,연도,투심_구사율,포심_구사율,커터_구사율,커브_구사율,슬라_구사율,첸접_구사율,싱커_구사율,포크_구사율,너클_구사율,기타_구사율,투심_피안타율,포심_피안타율,커터_피안타율,커브_피안타율,슬라_피안타율,첸접_피안타율,싱커_피안타율,포크_피안타율,너클_피안타율,기타_피안타율
조동욱,2025,0.0,50.9,0.0,0.8,35.0,13.1,0.0,0.0,0.0,0.0,0.0,0.395,0.0,0.0,0.196,0.2,0.0,0.0,0.0,0.0
한승혁,2025,9.5,37.7,0.0,9.1,29.3,0.0,0.0,14.5,0.0,0.0,0.313,0.254,0.0,0.0,0.25,0.0,0.0,0.063,0.0,0.0
황준서,2025,0.0,53.0,0.0,3.2,1.4,0.0,0.0,42.4,0.0,0.0,0.0,0.207,0.0,0.2,0.0,0.0,0.0,0.185,0.0,0.0
정우주,2025,0.0,82.8,0.0,3.6,12.6,1.0,0.0,0.0,0.0,0.0,0.0,0.162,0.0,0.167,0.286,0.0,0.0,0.0,0.0,0.0
주현상,2025,0.0,47.5,0.0,9.4,23.6,19.5,0.0,0.0,0.0,0.0,0.0,0.321,0.0,0.3,0.273,0.348,0.0,0.0,0.0,0.0
김범수,2025,0.0,35.2,0.0,8.9,43.9,0.0,0.0,11.5,0.0,0.0,0.0,0.259,0.0,0.2,0.167,0.0,0.0,0.0,0.0,0.0
김종수,2025,0.0,56.6,0.0,14.6,25.2,1.1,0.0,1.8,0.0,0.0,0.0,0.296,0.0,0.231,0.2,0.0,0.0,0.0,0.0,0.0
김기중,2025,0.0,48.8,0.0,14.6,19.5,17.1,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0
김서현,2025,0.3,59.0,0.0,0.0,35.2,5.5,0.0,0.0,0.0,0.0,1.0,0.275,0.0,0.0,0.061,0.222,0.0,0.0,0.0,0.0
박상원,2025,0.0,49.3,0.0,0.0,25.5,0.0,0.0,24.9,0.0,0.0,0.0,0.225,0.0,0.0,0.278,0.0,0.0,0.229,0.0,0.0
