선수명,연도,날짜,상대팀,전체구속,2Seam,4Seam,Cutter,Curve,Slider,Changeup,Sinker,Forkball,Knuckle,Other
김대유,2025,2025-04-13,SSG,134.6,,137.3,,,126.3,,,,,
김대유,2025,2025-04-24,삼성,130.3,,136.0,,120.5,128.0,,,,,
김대유,2025,2025-04-26,LG,131.0,,137.0,,,126.0,127.5,,,,
김대유,2025,2025-06-21,SSG,126.0,,138.0,,117.0,123.0,,,,,
김대유,2025,2025-06-26,키움,128.1,,137.0,,118.0,126.6,,,,,
김대유,2025,2025-06-27,LG,128.1,,135.8,,115.0,126.0,,,,,
김대유,2025,2025-06-28,LG,130.3,,135.4,,113.0,125.8,,,,,
김대유,2025,2025-07-02,SSG,131.6,,137.7,,117.0,128.0,,,,,
김대유,2025,2025-07-06,롯데,127.0,,,,,127.0,,,,,
김대유,2025,2025-07-08,한화,124.0,,135.0,,113.0,,,,,,
김현수,2025,2025-05-11,SSG,133.0,,141.1,,122.2,131.5,,,,,
김현수,2025,2025-05-20,KT,136.8,,142.6,,123.0,133.3,,,,,
김현수,2025,2025-05-28,키움,139.6,,142.6,,124.0,133.5,,,,,
김현수,2025,2025-05-30,KT,137.6,,143.3,,124.3,,,,,,
김현수,2025,2025-05-31,KT,135.5,,141.6,,122.3,132.0,,,,,
김현수,2025,2025-06-04,두산,136.6,,141.6,,119.0,130.6,127.5,,,,
김현수,2025,2025-06-10,삼성,133.8,,142.0,,122.2,132.3,129.0,,,,
김현수,2025,2025-06-24,키움,135.6,,142.5,,125.2,134.4,131.5,,,,
김현수,2025,2025-06-26,키움,134.3,,140.5,,123.0,132.6,127.0,,,,
김현수,2025,2025-07-08,한화,136.2,,142.9,,124.0,131.7,129.5,,,,
네일,2025,2025-03-22,NC,138.7,150.1,,,124.0,134.2,138.6,,,,
네일,2025,2025-03-28,한화,141.3,148.6,,,124.3,134.9,139.3,,,,
네일,2025,2025-04-03,삼성,142.3,148.3,,142.9,127.0,135.2,139.8,,,,
네일,2025,2025-04-09,롯데,141.7,147.8,,140.8,120.5,134.4,139.0,,,,
네일,2025,2025-04-15,KT,141.4,148.0,148.0,,123.0,134.2,139.3,,,,
네일,2025,2025-04-20,두산,140.4,147.6,148.6,142.0,,134.7,138.9,,,,
네일,2025,2025-04-27,LG,141.9,148.5,149.3,,,134.5,140.6,,,,
네일,2025,2025-05-04,한화,142.3,148.3,150.5,,122.0,134.2,139.7,,,,
네일,2025,2025-05-11,SSG,143.4,147.3,146.6,,,134.7,141.9,,,,
네일,2025,2025-05-17,두산,141.2,148.2,,141.9,,134.3,140.6,,,,
네일,2025,2025-05-23,삼성,142.1,149.0,149.0,144.8,,136.5,140.2,,,,
네일,2025,2025-05-29,키움,141.9,148.2,148.0,143.0,,134.8,139.7,,,,
네일,2025,2025-06-04,두산,142.0,148.4,150.0,142.3,,134.3,140.1,,,,
네일,2025,2025-06-10,삼성,142.3,148.9,148.0,143.8,,136.6,140.5,,,,
네일,2025,2025-06-15,NC,142.3,148.5,150.3,144.0,,133.7,140.1,,,,
네일,2025,2025-06-22,SSG,142.4,147.6,,,,132.9,138.7,,,,
네일,2025,2025-07-04,롯데,140.5,148.0,147.2,141.5,125.0,133.9,139.7,,,,
네일,2025,2025-07-10,한화,141.2,148.1,149.0,142.8,,134.1,138.8,,,,
성영탁,2025,2025-05-20,KT,136.8,144.1,,,125.1,135.7,,,,,
성영탁,2025,2025-05-24,삼성,134.3,141.3,,,124.0,133.0,,,,,
성영탁,2025,2025-05-28,키움,135.4,140.7,,,124.0,134.2,,,,,
성영탁,2025,2025-05-30,KT,138.5,143.5,,,126.2,138.0,,,,,
성영탁,2025,2025-06-03,두산,137.0,141.9,,,125.5,135.2,,,,,
성영탁,2025,2025-06-04,두산,138.7,143.7,,,,135.0,,,,,
성영탁,2025,2025-06-07,한화,140.5,144.0,,,,137.0,,,,,
성영탁,2025,2025-06-08,한화,137.0,143.6,,,126.3,136.8,,,,,
성영탁,2025,2025-06-12,삼성,134.9,143.0,,,126.0,135.4,,,,,
성영탁,2025,2025-06-14,NC,137.0,142.4,,,125.8,134.5,,,,,
성영탁,2025,2025-06-17,KT,135.3,141.6,,,123.0,133.4,,,,,
성영탁,2025,2025-06-19,KT,136.8,143.0,,,124.7,135.1,,,,,
성영탁,2025,2025-06-21,SSG,134.1,142.0,,,125.0,133.8,,,,,
성영탁,2025,2025-06-24,키움,135.0,142.0,,,122.0,134.0,,,,,
성영탁,2025,2025-06-26,키움,138.1,142.1,,,123.3,135.0,,,,,
성영탁,2025,2025-06-28,LG,137.1,142.0,,,124.0,135.0,,,,,
성영탁,2025,2025-06-29,LG,135.3,141.5,,,123.0,,,,,,
성영탁,2025,2025-07-02,SSG,137.4,142.8,,,125.0,135.6,,,,,
성영탁,2025,2025-07-04,롯데,141.3,144.5,,,,137.0,,,,,
성영탁,2025,2025-07-06,롯데,133.1,143.0,,,123.0,134.4,,,,,
성영탁,2025,2025-07-09,한화,138.8,142.2,,,125.0,136.8,,,,,
이준영,2025,2025-03-23,NC,133.1,,141.8,,120.0,132.1,,,,,
이준영,2025,2025-03-25,키움,134.8,,142.2,,,129.9,,,,,
이준영,2025,2025-03-26,키움,136.9,,141.1,,,129.5,,,,,
이준영,2025,2025-03-28,한화,130.8,,140.0,,118.0,128.0,,,,,
이준영,2025,2025-04-04,LG,132.5,,142.4,,117.0,128.8,,,,,
이준영,2025,2025-04-10,롯데,133.2,,142.0,,,129.2,,,,,
이준영,2025,2025-04-11,SSG,132.5,,140.5,,118.0,129.5,,,,,
이준영,2025,2025-04-16,KT,136.0,,143.5,,,131.7,,,,,
이준영,2025,2025-04-18,두산,134.7,,142.3,,,131.4,,,,,
이준영,2025,2025-04-23,삼성,135.5,,142.0,,,130.0,,,,,
이준영,2025,2025-04-25,LG,133.3,,144.0,,,131.2,,,,,
이준영,2025,2025-04-26,LG,135.5,,145.4,,,131.1,,,,,
이준영,2025,2025-04-30,NC,133.0,,,,,133.0,,,,,
이준영,2025,2025-05-04,한화,129.5,,,,,129.5,,,,,
이준영,2025,2025-05-06,키움,131.5,,,,,131.5,,,,,
이준영,2025,2025-05-07,키움,136.1,,141.8,,,128.7,,,,,
이준영,2025,2025-05-10,SSG,131.6,,142.0,,,129.0,,,,,
이준영,2025,2025-05-11,SSG,134.9,,141.5,,,129.6,,,,,
이준영,2025,2025-05-13,롯데,131.0,,,,,131.0,,,,,
이준영,2025,2025-05-15,롯데,137.3,,144.0,,,130.5,,,,,
이준영,2025,2025-05-17,두산,135.1,,142.3,,,131.5,,,,,
이준영,2025,2025-05-21,KT,134.8,,142.0,,,132.0,,,,,
이준영,2025,2025-05-24,삼성,133.8,,143.3,,,130.4,,,,,
이준영,2025,2025-05-25,삼성,132.7,,143.0,,,131.0,,,,,
이준영,2025,2025-05-27,키움,133.2,,141.0,,,131.2,,,,,
이준영,2025,2025-05-28,키움,134.3,,143.4,,,129.7,,,,,
이준영,2025,2025-05-30,KT,132.7,,144.0,,,130.4,,,,,
이준영,2025,2025-05-31,KT,135.4,,143.0,,,130.3,,,,,
이준영,2025,2025-06-04,두산,130.4,,140.0,,,129.8,,,,,
이준영,2025,2025-06-06,한화,130.5,,,,,130.5,,,,,
이준영,2025,2025-06-07,한화,133.2,,141.5,,,131.9,,,,,
이준영,2025,2025-06-11,삼성,134.3,,142.0,,,131.7,,,,,
이준영,2025,2025-06-12,삼성,133.4,,143.0,,,131.0,,,,,
이준영,2025,2025-06-15,NC,133.1,,143.0,,,131.5,,,,,
이준영,2025,2025-07-09,한화,133.2,,142.0,,,130.2,,,,,
이형범,2025,2025-03-28,한화,137.0,142.0,,,,132.9,126.7,,,,
이형범,2025,2025-04-04,LG,135.9,142.6,,,,131.0,127.5,,,,
이형범,2025,2025-04-10,롯데,132.5,141.7,,,,131.0,128.3,,,,
이형범,2025,2025-04-11,SSG,135.3,138.4,,,,133.0,127.0,,,,
이형범,2025,2025-04-18,두산,137.1,141.8,144.0,,,130.4,129.5,,,,
이형범,2025,2025-04-24,삼성,137.8,144.0,,,,131.8,127.8,,,,
이형범,2025,2025-07-05,롯데,141.6,145.3,,,122.0,135.7,,,,,
이형범,2025,2025-07-06,롯데,140.3,143.7,,,120.0,137.5,131.0,,,,
이형범,2025,2025-07-08,한화,140.8,144.2,,,,135.2,,,,,
이형범,2025,2025-07-09,한화,141.9,145.6,,,122.0,136.0,,,,,
전상현,2025,2025-03-22,NC,135.9,,145.0,,125.0,136.8,,,,,
전상현,2025,2025-03-27,키움,143.5,,145.8,,,137.7,,,,,
전상현,2025,2025-03-28,한화,137.6,,142.5,,123.0,135.2,,,134.0,,
전상현,2025,2025-04-02,삼성,143.1,,144.1,,,136.5,,,,,
전상현,2025,2025-04-08,롯데,138.7,,144.6,,126.0,135.7,,,135.0,,
전상현,2025,2025-04-13,SSG,139.5,,143.8,,125.0,136.0,,,,,
전상현,2025,2025-04-16,KT,137.4,,144.0,,124.5,135.5,,,,,
전상현,2025,2025-04-17,KT,136.5,,143.4,,125.7,136.5,,,135.5,,
