선수명,연도,날짜,상대팀,전체구속,2Seam,4Seam,Cutter,Curve,Slider,Changeup,Sinker,Forkball,Knuckle,Other
김기중,2025,2025-06-11,두산,136.1,,144.9,,114.0,126.3,131.5,,,,
김기중,2025,2025-06-18,롯데,133.4,,143.5,,118.0,125.0,130.2,,,,
김기중,2025,2025-06-25,삼성,133.9,,142.8,,118.9,125.7,128.2,,,,
김범수,2025,2025-03-25,LG,137.4,,144.8,,,134.2,,,133.0,,
김범수,2025,2025-04-05,삼성,134.4,,,,,134.4,,,,,
김범수,2025,2025-04-06,삼성,139.2,,144.0,,,134.0,,,130.0,,
김범수,2025,2025-04-08,두산,137.6,,147.0,,,132.8,,,,,
김범수,2025,2025-04-10,두산,137.2,,148.7,,123.0,134.6,,,,,
김범수,2025,2025-04-12,키움,137.4,,146.0,,,132.7,,,,,
김범수,2025,2025-04-13,키움,140.7,,146.1,,,133.0,,,,,
김범수,2025,2025-04-16,SSG,139.9,,146.8,,,133.0,,,,,
김범수,2025,2025-04-18,NC,138.2,,145.3,,,136.2,,,134.8,,
김범수,2025,2025-04-24,롯데,140.7,,148.3,,,135.0,,,,,
김범수,2025,2025-04-27,KT,136.0,,,,,136.0,,,,,
김범수,2025,2025-05-02,KIA,141.5,,147.0,,,136.0,,,,,
김범수,2025,2025-05-06,삼성,138.6,,147.0,,,136.1,,,139.0,,
김범수,2025,2025-05-07,삼성,141.5,,146.7,,,137.7,,,133.5,,
김범수,2025,2025-05-10,키움,144.2,,148.7,,,137.5,,,,,
김범수,2025,2025-05-13,두산,148.0,,148.0,,,,,,,,
김범수,2025,2025-05-15,두산,136.3,,147.0,,117.5,135.9,,,134.0,,
김범수,2025,2025-05-18,SSG,133.8,,146.5,,108.0,133.9,,,,,
김범수,2025,2025-05-21,NC,146.8,,149.3,,,139.0,,,,,
김범수,2025,2025-05-22,NC,140.6,,150.0,,,139.0,,,138.0,,
김범수,2025,2025-05-24,롯데,137.5,,146.0,,,134.7,,,,,
김범수,2025,2025-05-27,LG,134.7,,148.7,,117.7,136.0,,,,,
김범수,2025,2025-05-29,LG,142.5,,146.2,,,135.0,,,,,
김범수,2025,2025-06-01,NC,138.2,,146.6,,,133.3,,,133.7,,
김범수,2025,2025-06-03,KT,134.9,,148.0,,117.7,134.8,,,134.8,,
김범수,2025,2025-06-05,KT,139.5,,147.9,,114.5,137.5,,,135.0,,
김범수,2025,2025-06-06,KIA,132.7,,147.5,,120.2,135.6,,,,,
김범수,2025,2025-06-07,KIA,143.3,,149.0,,,137.7,,,,,
김범수,2025,2025-06-10,두산,135.0,,149.0,,113.5,136.0,,,,,
김범수,2025,2025-06-12,두산,132.2,,,,114.0,135.8,,,,,
김범수,2025,2025-06-14,LG,140.6,,147.7,,,136.3,,,136.5,,
김범수,2025,2025-06-15,LG,148.3,,148.2,,,,,,,,
김범수,2025,2025-06-18,롯데,136.3,,147.8,,112.0,139.0,,,,,
김범수,2025,2025-06-22,키움,133.1,,148.7,,119.5,135.7,,,,,
김범수,2025,2025-06-29,SSG,136.0,,148.3,,117.0,137.0,,,,,
