선수명,연도,투심_구사율,포심_구사율,커터_구사율,커브_구사율,슬라_구사율,첸접_구사율,싱커_구사율,포크_구사율,너클_구사율,기타_구사율,투심_피안타율,포심_피안타율,커터_피안타율,커브_피안타율,슬라_피안타율,첸접_피안타율,싱커_피안타율,포크_피안타율,너클_피안타율,기타_피안타율
최동환,2020,0.0,62.5,0.0,0.1,20.0,0.1,0.0,17.2,0.0,0.0,0.0,0.236,0.0,0.0,0.37,0.0,0.0,0.206,0.0,0.0
최동환,2021,0.0,78.3,0.0,0.0,13.9,0.0,0.0,7.8,0.0,0.0,0.0,0.278,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
최동환,2022,0.6,67.3,0.0,5.7,24.9,0.0,0.0,1.4,0.0,0.0,0.667,0.25,0.0,0.286,0.183,0.0,0.0,0.5,0.0,0.0
최동환,2023,0.0,59.0,0.0,1.8,4.6,0.0,0.0,34.3,0.0,0.0,0.0,0.256,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0
최동환,2024,0.0,52.0,0.0,8.7,8.2,0.0,0.0,30.9,0.0,0.0,0.0,0.375,0.0,0.571,0.333,0.0,0.0,0.333,0.0,0.0
쿠에바스,2020,18.1,28.2,15.0,11.9,8.7,18.1,0.0,0.0,0.0,0.0,0.266,0.298,0.222,0.09,0.24,0.297,0.0,0.0,0.0,0.0
쿠에바스,2021,17.9,25.5,23.4,15.6,2.8,14.7,0.0,0.0,0.0,0.0,0.263,0.273,0.272,0.124,0.211,0.391,0.0,0.0,0.0,0.0
쿠에바스,2022,18.0,25.1,0.0,1.8,30.5,22.8,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.0
쿠에바스,2023,3.1,32.4,21.7,12.1,13.7,15.6,0.0,0.0,0.0,0.0,0.333,0.25,0.273,0.15,0.183,0.188,0.0,0.0,0.0,0.667
쿠에바스,2024,14.0,29.4,23.3,1.1,18.6,13.1,0.0,0.0,0.0,0.0,0.34,0.272,0.222,0.125,0.148,0.277,0.0,0.0,0.0,0.0
헤이수스,2024,14.0,42.4,4.8,6.4,13.4,18.9,0.0,0.0,0.0,0.0,0.355,0.239,0.1,0.333,0.286,0.25,0.0,0.0,0.0,0.0
김민수,2020,0.0,49.3,0.0,1.4,34.2,15.0,0.0,0.0,0.0,0.0,0.0,0.367,0.0,0.0,0.296,0.377,0.0,0.0,0.0,0.0
김민수,2021,0.0,51.0,0.0,5.2,37.9,6.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.273,0.222,0.462,0.0,0.0,0.0,0.0
김민수,2022,0.0,43.0,0.0,11.8,30.9,14.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.333,0.173,0.136,0.0,0.0,0.0,0.0
김민수,2023,0.0,45.3,0.0,24.6,18.7,5.9,0.0,4.9,0.0,0.0,0.0,0.429,0.0,0.444,0.222,0.4,0.0,0.0,0.0,0.0
김민수,2024,0.0,43.9,0.0,2.7,33.4,19.3,0.1,0.4,0.0,0.0,0.0,0.313,0.0,0.5,0.169,0.319,0.0,0.5,0.0,1.0
고영표,2021,0.0,28.0,0.0,13.3,6.5,40.5,11.6,0.0,0.0,0.0,0.0,0.254,0.0,0.186,0.276,0.188,0.39,0.0,0.0,0.0
고영표,2022,0.0,0.6,0.0,12.6,2.9,45.7,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.198,0.429,0.22,0.346,0.0,0.0,0.2
고영표,2023,0.1,25.2,0.0,13.5,2.5,38.1,20.4,0.0,0.0,0.0,0.0,0.333,0.0,0.293,0.353,0.179,0.331,0.0,0.0,0.0
고영표,2024,18.1,22.6,0.0,17.5,6.0,35.5,0.0,0.0,0.0,0.0,0.296,0.432,0.0,0.369,0.31,0.288,0.0,0.0,0.0,0.0
이채호,2021,0.0,57.0,0.0,29.8,0.0,13.2,0.0,0.0,0.0,0.0,0.0,0.385,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0
이채호,2022,0.0,49.5,0.0,34.2,0.0,15.4,0.8,0.0,0.0,0.0,0.0,0.259,0.0,0.151,0.0,0.19,1.0,0.0,0.0,0.0
이채호,2023,0.0,56.7,0.0,35.6,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.323,0.0,0.143,0.0,0.4,0.0,0.0,0.0,0.0
이채호,2024,0.0,55.6,0.0,34.4,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.474,0.0,0.25,0.0,0.4,0.0,0.0,0.0,0.0
이상동,2020,6.2,67.3,0.0,0.0,14.2,9.7,0.0,2.7,0.0,0.0,1.0,0.438,0.0,0.0,0.4,0.333,0.0,0.0,0.0,0.0
이상동,2021,0.0,49.2,0.0,1.7,0.0,8.5,0.0,40.7,0.0,0.0,0.0,0.444,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.0
이상동,2023,0.0,54.5,0.0,0.3,3.0,0.0,0.0,42.0,0.0,0.0,0.0,0.354,0.0,0.0,0.0,0.0,0.0,0.213,0.0,0.0
이상동,2024,0.0,51.9,0.0,0.0,0.0,0.0,0.0,47.7,0.0,0.0,0.0,0.407,0.0,0.0,0.0,0.0,0.0,0.261,0.0,0.0
문용익,2021,0.0,55.1,0.0,9.5,35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.302,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.0
문용익,2022,0.0,60.8,0.0,1.2,37.3,0.5,0.0,0.0,0.0,0.0,0.0,0.205,0.0,0.0,0.258,0.0,0.0,0.0,0.0,0.0
문용익,2023,0.0,60.8,0.0,5.9,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.0,0.133,0.0,0.0,0.0,0.0,0.0
문용익,2024,0.0,54.9,0.0,1.1,11.1,0.0,0.0,32.1,0.0,0.0,0.0,0.361,0.0,1.0,0.125,0.0,0.0,0.286,0.0,0.0
오원석,2020,0.0,55.1,0.0,9.6,27.8,7.5,0.0,0.0,0.0,0.0,0.0,0.269,0.0,1.0,0.167,0.5,0.0,0.0,0.0,0.0
오원석,2021,0.0,47.3,0.0,2.8,36.4,13.5,0.0,0.0,0.0,0.0,0.0,0.299,0.0,0.1,0.301,0.211,0.0,0.0,0.0,0.0
오원석,2022,0.0,46.7,0.0,9.1,30.5,13.6,0.0,0.0,0.0,0.0,0.0,0.289,0.0,0.288,0.262,0.292,0.0,0.0,0.0,0.0
오원석,2023,0.1,48.9,0.0,8.0,29.5,13.1,0.0,0.0,0.0,0.0,0.0,0.297,0.0,0.268,0.283,0.226,0.0,0.0,0.0,0.0
오원석,2024,0.0,57.2,0.0,19.4,16.6,6.6,0.0,0.0,0.0,0.0,0.0,0.266,0.0,0.209,0.31,0.217,0.0,0.0,0.0,0.0
박영현,2022,0.0,63.3,0.3,0.0,14.1,22.0,0.0,0.1,0.0,0.0,0.0,0.248,1.0,0.0,0.143,0.238,0.0,0.0,0.0,0.0
박영현,2023,0.0,60.1,0.0,0.0,12.1,27.6,0.0,0.0,0.0,0.0,0.0,0.187,0.0,0.0,0.326,0.277,0.0,0.0,0.0,0.0
박영현,2024,0.0,68.7,0.0,0.0,6.1,25.0,0.0,0.0,0.0,0.0,0.0,0.246,0.0,0.0,0.235,0.136,0.0,0.0,0.0,0.0
