선수명,연도,투심_구사율,포심_구사율,커터_구사율,커브_구사율,슬라_구사율,첸접_구사율,싱커_구사율,포크_구사율,너클_구사율,기타_구사율,투심_피안타율,포심_피안타율,커터_피안타율,커브_피안타율,슬라_피안타율,첸접_피안타율,싱커_피안타율,포크_피안타율,너클_피안타율,기타_피안타율
김시훈,2022,0.0,47.3,0.0,21.6,17.9,0.0,0.0,13.0,0.0,0.0,0.0,0.302,0.0,0.143,0.24,0.0,0.0,0.231,0.0,0.0
김시훈,2023,0.0,41.7,0.0,20.2,13.9,0.0,0.0,24.3,0.0,0.0,0.0,0.303,0.0,0.243,0.348,0.0,0.0,0.246,0.0,0.0
김시훈,2024,0.0,41.2,0.0,18.4,14.6,0.0,0.0,25.7,0.0,0.0,0.0,0.293,0.0,0.286,0.286,0.0,0.0,0.22,0.0,0.0
김영규,2020,0.1,43.2,0.0,4.2,41.6,10.8,0.0,0.0,0.0,0.0,0.0,0.395,0.0,0.25,0.218,0.292,0.0,0.0,0.0,0.0
김영규,2021,0.0,39.2,0.0,0.6,44.0,0.1,0.0,16.1,0.0,0.0,0.0,0.295,0.0,1.0,0.273,0.0,0.0,0.194,0.0,0.0
김영규,2022,0.0,46.1,0.0,0.6,46.2,0.0,0.1,6.7,0.0,0.0,0.0,0.273,0.0,0.0,0.248,0.0,0.0,0.063,0.0,0.0
김영규,2023,0.0,47.4,0.0,0.2,36.5,0.0,0.0,15.9,0.0,0.0,0.0,0.206,0.0,0.0,0.208,0.0,0.0,0.185,0.0,0.0
김영규,2024,0.0,43.3,0.0,0.3,45.8,0.0,0.0,10.6,0.0,0.0,0.0,0.224,0.0,0.0,0.247,0.0,0.0,0.333,0.0,0.0
이재학,2020,0.1,48.2,0.0,0.0,1.7,50.1,0.0,0.0,0.0,0.0,0.0,0.308,0.0,0.0,1.0,0.276,0.0,0.0,0.0,0.0
이재학,2021,0.0,43.1,0.0,0.0,4.7,50.7,1.5,0.0,0.0,0.0,0.0,0.254,0.0,0.0,0.1,0.224,1.0,0.0,0.0,0.0
이재학,2022,0.0,47.7,0.0,0.1,4.3,47.7,0.2,0.0,0.0,0.0,0.0,0.285,0.0,0.0,0.273,0.186,0.0,0.0,0.0,0.0
이재학,2023,0.0,42.8,0.2,1.4,8.5,47.0,0.0,0.0,0.0,0.0,0.0,0.259,0.0,0.333,0.333,0.171,0.0,0.0,0.0,0.0
이재학,2024,0.0,43.5,6.1,0.6,1.2,48.6,0.0,0.0,0.0,0.0,0.0,0.283,0.235,0.5,0.75,0.24,0.0,0.0,0.0,0.0
이용찬,2020,1.1,41.8,0.0,18.8,12.2,1.5,0.0,24.6,0.0,0.0,0.0,0.5,0.0,0.273,0.0,0.0,0.0,0.303,0.0,0.0
이용찬,2021,0.0,50.7,0.0,14.3,2.0,0.0,0.0,33.1,0.0,0.0,0.0,0.227,0.0,0.333,0.333,0.0,0.0,0.135,0.0,0.0
이용찬,2022,0.0,41.3,0.0,6.5,4.9,0.0,0.0,47.3,0.0,0.0,0.0,0.261,0.0,0.455,0.182,0.0,0.0,0.208,0.0,0.0
이용찬,2023,0.0,48.2,0.0,4.9,1.8,0.0,0.0,45.2,0.0,0.0,0.0,0.189,0.0,0.222,0.5,0.0,0.0,0.275,0.0,0.0
이용찬,2024,0.0,44.0,0.0,3.3,6.9,0.0,0.0,45.8,0.0,0.0,0.0,0.32,0.0,0.714,0.188,0.0,0.0,0.387,0.0,0.0
임정호,2020,21.0,13.9,0.0,19.1,45.1,0.7,0.1,0.0,0.0,0.0,0.333,0.154,0.0,0.128,0.25,0.0,0.0,0.0,0.0,0.0
임정호,2021,37.1,1.1,0.0,13.0,47.4,1.4,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.273,0.299,0.0,0.0,0.0,0.0,0.0
임정호,2022,40.3,0.9,0.0,18.2,38.7,0.9,0.0,0.7,0.0,0.0,0.235,1.0,0.0,0.16,0.235,0.0,0.0,0.0,0.0,0.0
임정호,2023,43.0,0.7,0.0,11.8,38.6,3.9,0.0,1.4,0.0,0.0,0.361,1.0,0.0,0.12,0.235,0.143,0.0,0.143,0.0,0.0
임정호,2024,31.5,0.0,0.0,16.7,46.0,5.7,0.0,0.0,0.0,0.0,0.233,0.0,0.0,0.182,0.326,0.222,0.0,0.0,0.0,0.0
임상현,2024,0.0,55.5,0.0,10.5,27.4,0.0,0.0,6.6,0.0,0.0,0.0,0.367,0.0,0.25,0.256,0.0,0.0,0.143,0.0,0.0
목지훈,2024,27.4,34.4,0.0,7.0,22.8,8.4,0.0,0.0,0.0,0.0,0.3,0.444,0.0,0.5,0.143,0.667,0.0,0.0,0.0,0.0
류진욱,2020,0.0,70.9,0.0,0.0,21.8,5.5,0.0,1.8,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
류진욱,2021,0.0,59.6,1.0,0.0,23.3,9.1,0.0,7.0,0.0,0.0,0.0,0.222,0.5,0.0,0.361,0.2,0.0,0.077,0.0,0.0
류진욱,2022,0.0,59.1,1.0,0.0,23.0,0.0,0.0,16.9,0.0,0.0,0.0,0.247,0.0,0.0,0.333,0.0,0.0,0.289,0.0,0.0
