선수명,연도,투심_구사율,포심_구사율,커터_구사율,커브_구사율,슬라_구사율,첸접_구사율,싱커_구사율,포크_구사율,너클_구사율,기타_구사율,투심_피안타율,포심_피안타율,커터_피안타율,커브_피안타율,슬라_피안타율,첸접_피안타율,싱커_피안타율,포크_피안타율,너클_피안타율,기타_피안타율
이로운,2023,0.1,54.5,1.4,0.5,27.3,15.7,0.0,0.2,0.0,0.0,1.0,0.326,0.333,0.0,0.299,0.074,0.0,0.0,0.0,0.0
이로운,2024,0.0,61.0,0.0,2.8,12.2,23.1,0.0,0.8,0.0,0.0,0.0,0.296,0.0,0.6,0.529,0.234,0.0,0.0,0.0,0.0
조요한,2021,0.0,76.4,0.0,7.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
조요한,2022,0.0,55.8,4.3,3.4,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.343,0.5,0.0,0.103,0.0,0.0,0.0,0.0,0.0
박성빈,2024,0.0,82.1,0.0,0.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한두솔,2022,0.0,58.9,0.0,0.0,41.1,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.0,0.0,0.714,0.0,0.0,0.0,0.0,0.0
한두솔,2023,0.0,23.1,0.0,3.8,73.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
한두솔,2024,0.0,45.0,0.0,3.3,51.4,0.2,0.1,0.0,0.0,0.0,0.0,0.349,0.0,0.231,0.196,0.0,0.0,0.0,0.0,0.0
노경은,2020,18.4,17.9,0.0,16.4,22.7,18.8,0.0,0.0,5.8,0.0,0.323,0.25,0.0,0.29,0.286,0.221,0.0,0.0,0.179,0.0
노경은,2021,17.0,26.3,0.0,8.5,27.2,18.7,0.0,0.8,1.4,0.0,0.324,0.364,0.0,0.357,0.338,0.233,0.0,0.667,0.667,0.0
노경은,2022,12.6,28.7,0.3,10.5,27.1,1.9,0.0,17.9,0.8,0.0,0.273,0.25,0.0,0.158,0.243,0.571,0.0,0.194,0.0,0.0
노경은,2023,13.5,28.2,0.4,4.2,25.8,0.1,0.0,27.3,0.5,0.0,0.265,0.276,0.0,0.25,0.247,0.0,0.0,0.226,0.5,0.0
노경은,2024,2.7,39.2,0.4,6.1,25.0,0.0,0.0,26.0,0.4,0.0,0.6,0.196,0.0,0.077,0.397,0.0,0.0,0.171,0.0,0.0
김건우,2021,0.0,70.7,0.0,1.7,14.6,12.6,0.0,0.0,0.0,0.0,0.0,0.154,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0
김건우,2022,0.0,53.2,0.0,3.2,16.1,27.4,0.0,0.0,0.0,0.0,0.0,0.286,0.0,0.0,0.5,0.667,0.0,0.0,0.0,0.0
최현석,2024,0.0,68.8,0.0,2.1,22.9,6.3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
김민,2020,25.8,31.1,0.0,0.4,38.9,2.3,0.0,1.6,0.0,0.0,0.419,0.288,0.0,0.0,0.141,0.333,0.0,1.0,0.0,0.0
김민,2022,0.0,73.9,0.0,0.0,25.0,1.1,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.154,0.0,0.0,0.0,0.0,0.0
김민,2023,14.4,38.5,0.0,0.2,43.3,2.5,0.0,0.6,0.0,0.0,0.417,0.442,0.0,0.0,0.22,0.429,0.0,0.0,0.0,0.0
김민,2024,45.7,8.2,0.0,0.2,44.5,1.0,0.0,0.2,0.0,0.0,0.377,0.263,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0
정동윤,2021,0.0,65.6,0.0,0.0,6.3,28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
정동윤,2024,0.0,46.9,0.0,50.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0
박시후,2022,0.0,63.6,0.0,4.5,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
박시후,2024,0.0,36.3,0.0,4.2,59.1,0.0,0.0,0.0,0.0,0.0,0.0,0.526,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
전영준,2022,0.0,66.4,0.0,8.2,17.3,3.6,0.0,4.5,0.0,0.0,0.0,0.333,0.0,0.0,0.286,1.0,0.0,0.0,0.0,0.0
서진용,2020,0.0,58.8,0.0,0.1,4.8,0.0,0.0,36.3,0.0,0.0,0.0,0.277,0.0,0.0,0.25,0.0,0.0,0.167,0.0,0.0
서진용,2021,0.0,54.0,0.0,0.0,4.9,0.0,0.0,41.2,0.0,0.0,0.0,0.286,0.0,0.0,0.462,0.0,0.0,0.14,0.0,0.0
서진용,2022,0.0,52.5,0.0,0.0,3.7,0.0,0.0,43.7,0.0,0.0,0.0,0.276,0.0,0.0,0.571,0.0,0.0,0.214,0.0,0.0
서진용,2023,0.0,50.2,0.0,0.1,0.3,0.0,0.0,49.3,0.1,0.0,0.0,0.266,0.0,0.0,0.0,0.0,0.0,0.213,0.0,0.0
서진용,2024,0.0,49.9,0.0,0.0,1.0,0.0,0.0,49.1,0.0,0.0,0.0,0.333,0.0,0.0,1.0,0.0,0.0,0.233,0.0,0.0
송영진,2023,1.4,52.8,0.6,13.9,26.6,0.0,0.0,4.4,0.0,0.0,0.0,0.276,0.0,0.263,0.244,0.0,0.0,0.214,0.0,0.0
송영진,2024,0.0,46.4,3.4,17.9,23.2,0.0,0.0,9.0,0.0,0.0,0.0,0.28,0.214,0.275,0.286,0.0,0.0,0.333,0.0,0.0
김광현,2022,0.2,26.7,0.0,12.5,37.9,1.8,0.0,20.8,0.0,0.0,0.5,0.313,0.0,0.179,0.211,0.333,0.0,0.155,0.0,0.0
김광현,2023,0.0,29.6,0.0,12.0,33.9,1.0,0.0,23.1,0.0,0.0,0.0,0.263,0.0,0.196,0.269,0.167,0.0,0.295,0.0,0.0
김광현,2024,0.0,32.1,0.0,15.8,36.7,0.1,0.0,14.8,0.0,0.0,0.0,0.349,0.0,0.147,0.25,0.5,0.0,0.299,0.0,0.0
최민준,2021,0.0,44.5,0.0,16.0,32.4,7.1,0.0,0.0,0.0,0.0,0.0,0.301,0.0,0.259,0.246,0.333,0.0,0.0,0.0,0.0
최민준,2022,0.0,31.5,0.0,23.6,43.2,1.4,0.0,0.3,0.0,0.0,0.0,0.2,0.0,0.207,0.223,0.0,0.0,0.0,0.0,0.0
최민준,2023,0.1,36.0,0.2,27.0,34.1,0.7,0.0,1.7,0.0,0.0,0.0,0.305,1.0,0.293,0.348,0.0,0.0,0.2,0.0,0.0
최민준,2024,0.0,36.6,11.1,21.7,17.8,0.0,0.0,12.5,0.1,0.0,0.0,0.345,0.556,0.344,0.306,0.0,0.0,0.323,0.0,0.0
앤더슨,2024,0.0,53.5,8.8,17.8,13.9,5.9,0.0,0.0,0.0,0.0,0.0,0.211,0.259,0.193,0.255,0.45,0.0,0.0,0.0,0.0
문승원,2020,0.0,46.2,0.0,12.4,28.5,12.9,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.267,0.227,0.239,0.0,0.0,0.0,0.0
문승원,2021,12.6,30.0,0.0,9.9,33.6,14.0,0.0,0.0,0.0,0.0,0.389,0.222,0.0,0.278,0.176,0.167,0.0,0.0,0.0,0.0
문승원,2022,0.0,41.8,0.0,9.8,38.4,10.0,0.0,0.0,0.0,0.0,0.0,0.294,0.0,0.333,0.326,0.333,0.0,0.0,0.0,0.0
문승원,2023,3.0,40.2,0.0,6.0,34.7,11.7,0.0,4.4,0.0,0.0,0.333,0.328,0.0,0.438,0.275,0.317,0.0,0.556,0.0,0.0
문승원,2024,0.0,49.6,0.0,6.9,34.9,2.7,0.0,5.4,0.0,0.0,0.0,0.311,0.0,0.273,0.23,0.25,0.0,0.444,0.0,0.0
김택형,2020,0.0,64.7,0.0,0.2,33.5,1.6,0.0,0.0,0.0,0.0,0.0,0.309,0.0,0.0,0.222,0.5,0.0,0.0,0.0,0.0
김택형,2021,0.1,60.8,0.0,0.1,25.9,0.5,0.0,12.5,0.1,0.0,0.0,0.274,0.0,0.0,0.104,1.0,0.0,0.259,0.0,0.0
김택형,2022,0.0,57.3,0.0,0.0,28.8,0.0,0.0,13.9,0.0,0.0,0.0,0.302,0.0,0.0,0.123,0.0,0.0,0.241,0.0,0.0
김택형,2024,0.0,70.8,0.0,0.0,27.7,0.0,0.0,1.5,0.0,0.0,0.0,0.3,0.0,0.0,0.444,0.0,0.0,0.0,0.0,0.0
박종훈,2020,0.2,28.5,0.0,40.0,0.0,6.3,24.9,0.0,0.0,0.0,0.0,0.298,0.0,0.206,1.0,0.256,0.254,0.0,0.0,0.0
박종훈,2021,0.0,13.6,0.0,30.2,0.0,7.3,48.9,0.0,0.0,0.0,0.0,0.13,0.0,0.214,0.0,0.077,0.239,0.0,0.0,0.0
박종훈,2022,0.0,3.0,0.0,22.9,0.0,2.8,71.2,0.0,0.0,0.0,0.0,0.0,0.0,0.233,0.0,0.091,0.318,0.0,0.0,0.0
박종훈,2023,0.0,3.5,0.0,30.2,0.0,1.1,64.7,0.0,0.0,0.0,0.0,0.4,0.0,0.165,0.0,0.0,0.306,0.0,0.0,0.0
박종훈,2024,17.4,39.4,0.0,42.3,0.0,0.8,0.0,0.0,0.0,0.0,0.5,0.364,0.0,0.157,0.0,0.5,0.0,0.0,0.0,0.0
백승건,2020,0.2,57.0,0.0,7.1,22.5,13.2,0.0,0.0,0.0,0.0,1.0,0.277,0.0,0.375,0.346,0.286,0.0,0.0,0.0,0.0
백승건,2023,0.0,41.6,0.0,3.8,34.5,20.1,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.261,0.32,0.0,0.0,0.0,0.0
백승건,2024,0.0,52.2,0.0,0.0,43.8,3.4,0.0,0.0,0.0,0.0,0.0,0.423,0.0,0.0,0.133,0.0,0.0,0.0,0.0,0.0
윤태현,2022,0.0,43.4,0.0,11.3,18.9,0.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
이건욱,2020,0.0,58.4,0.0,3.3,25.8,12.5,0.0,0.0,0.0,0.0,0.0,0.249,0.0,0.273,0.204,0.219,0.0,0.0,0.0,0.0
이건욱,2021,0.0,66.9,0.0,6.0,19.4,7.7,0.0,0.0,0.0,0.0,0.0,0.387,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0
이건욱,2022,0.0,58.6,0.0,4.3,24.3,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
이건욱,2023,0.0,57.8,0.0,0.6,27.5,13.5,0.0,0.0,0.0,0.0,0.0,0.266,0.0,0.0,0.229,0.091,0.0,0.0,0.0,0.0
이건욱,2024,0.0,60.0,9.2,3.8,17.3,1.8,0.0,7.9,0.0,0.0,0.0,0.317,0.615,0.667,0.381,1.0,0.0,0.222,0.0,0.0
조병현,2021,0.0,56.1,0.0,8.8,33.1,2.0,0.0,0.0,0.0,0.0,0.0,0.263,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
조병현,2024,0.0,62.9,0.6,9.3,0.4,0.0,0.0,26.7,0.0,0.0,0.0,0.197,0.0,0.4,1.0,0.0,0.0,0.146,0.0,0.0
장지훈,2021,0.2,41.6,0.0,0.0,16.7,37.2,4.2,0.0,0.0,0.0,0.0,0.294,0.0,0.0,0.163,0.276,0.3,0.0,0.0,0.0
장지훈,2022,0.0,40.8,0.0,1.1,15.1,33.4,9.2,0.0,0.0,0.0,0.0,0.321,0.0,0.0,0.138,0.25,0.318,0.0,0.0,0.0
