선수명,연도,투심_구사율,포심_구사율,커터_구사율,커브_구사율,슬라_구사율,첸접_구사율,싱커_구사율,포크_구사율,너클_구사율,기타_구사율,투심_피안타율,포심_피안타율,커터_피안타율,커브_피안타율,슬라_피안타율,첸접_피안타율,싱커_피안타율,포크_피안타율,너클_피안타율,기타_피안타율
최지강,2022,0.0,57.1,0.0,1.8,28.6,12.5,0.0,0.0,0.0,0.0,0.0,0.667,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
최지강,2023,0.0,46.4,0.0,0.0,42.4,11.3,0.0,0.0,0.0,0.0,0.0,0.259,0.0,0.0,0.195,0.1,0.0,0.0,0.0,0.0
최지강,2024,47.8,3.8,0.2,0.0,40.8,7.3,0.0,0.0,0.0,0.0,0.282,0.125,0.0,0.0,0.235,0.261,0.0,0.0,0.0,0.0
최원준,2020,0.0,54.7,0.0,5.6,21.7,17.9,0.0,0.0,0.0,0.0,0.0,0.303,0.0,0.321,0.225,0.241,0.0,0.0,0.0,0.0
최원준,2021,0.0,58.1,0.0,2.4,27.2,12.4,0.0,0.0,0.0,0.0,0.0,0.244,0.0,0.294,0.299,0.247,0.0,0.0,0.0,0.0
최원준,2022,0.0,51.8,0.0,3.2,33.6,6.4,0.0,4.9,0.0,0.0,0.0,0.271,0.0,0.25,0.291,0.375,0.0,0.207,0.0,0.0
최원준,2023,0.0,52.9,0.0,10.0,30.1,5.6,0.0,1.2,0.0,0.0,0.0,0.312,0.0,0.2,0.278,0.316,0.0,0.0,0.0,0.0
최원준,2024,0.0,43.8,0.6,4.1,29.4,1.7,0.0,20.3,0.0,0.0,0.0,0.312,0.0,0.267,0.226,0.25,0.0,0.301,0.0,0.0
김명신,2020,0.0,46.1,0.0,3.0,17.5,0.0,0.0,33.5,0.0,0.0,0.0,0.379,0.0,0.0,0.4,0.0,0.0,0.217,0.0,0.0
김명신,2021,0.0,48.9,0.0,4.9,25.9,1.5,0.0,18.8,0.0,0.0,0.0,0.297,0.0,0.333,0.239,0.4,0.0,0.269,0.0,0.0
김명신,2022,0.0,48.4,0.0,3.8,16.9,0.0,0.0,30.9,0.0,0.0,0.0,0.259,0.0,0.2,0.308,0.0,0.0,0.207,0.0,0.0
김명신,2023,0.0,48.8,0.0,13.4,14.6,0.0,0.0,23.2,0.0,0.0,0.0,0.254,0.0,0.196,0.244,0.0,0.0,0.261,0.0,0.0
김명신,2024,0.0,45.2,0.0,16.5,17.1,0.2,0.0,20.9,0.0,0.0,0.0,0.42,0.0,0.292,0.467,1.0,0.0,0.424,0.0,0.0
김택연,2024,0.0,75.1,0.0,2.1,19.5,1.3,0.0,2.0,0.0,0.0,0.0,0.207,0.0,0.0,0.26,0.4,0.0,0.0,0.0,0.0
고효준,2020,0.0,64.9,0.0,5.5,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.189,0.0,0.333,0.273,0.0,0.0,0.0,0.0,0.0
고효준,2021,0.0,71.1,0.0,2.2,22.2,0.0,0.0,4.4,0.0,0.0,0.0,0.333,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
고효준,2022,0.0,35.4,0.0,6.6,53.9,0.3,0.0,3.8,0.0,0.0,0.0,0.255,0.0,0.143,0.238,1.0,0.0,0.143,0.0,0.0
고효준,2023,0.0,45.5,0.0,0.8,52.0,0.1,0.0,1.6,0.0,0.0,0.0,0.178,0.0,0.5,0.265,0.0,0.0,0.4,0.0,0.0
고효준,2024,0.0,53.1,0.0,5.8,39.4,0.4,0.0,1.2,0.0,0.0,0.0,0.227,0.0,0.5,0.306,0.0,0.0,0.333,0.0,0.0
이영하,2020,0.0,54.5,0.9,3.6,34.3,0.0,0.0,6.7,0.0,0.0,0.0,0.295,0.5,0.5,0.263,0.0,0.0,0.148,0.0,0.0
이영하,2021,0.0,62.6,0.0,1.1,29.8,0.6,0.0,5.9,0.0,0.0,0.0,0.313,0.0,0.5,0.234,0.0,0.0,0.045,0.0,0.0
이영하,2022,0.0,45.4,0.0,2.6,39.0,0.0,0.0,13.0,0.0,0.0,0.0,0.337,0.0,0.444,0.237,0.0,0.0,0.222,0.0,0.0
이영하,2023,0.0,49.3,0.0,2.7,37.3,0.0,0.0,10.6,0.0,0.0,0.0,0.349,0.0,0.0,0.167,0.0,0.0,0.125,0.0,0.0
이영하,2024,0.1,43.4,0.0,3.1,38.0,0.0,0.0,14.1,0.0,0.0,0.0,0.26,0.0,0.0,0.243,0.0,0.0,0.175,0.0,0.5
박치국,2020,0.0,60.6,0.0,6.7,13.9,18.9,0.0,0.0,0.0,0.0,0.0,0.275,0.0,0.25,0.278,0.064,0.0,0.0,0.0,0.0
박치국,2021,0.0,56.8,0.0,0.6,13.9,28.4,0.3,0.0,0.0,0.0,0.0,0.341,0.0,0.0,0.083,0.238,0.0,0.0,0.0,0.0
박치국,2022,0.0,60.3,0.0,15.6,11.1,13.1,0.0,0.0,0.0,0.0,0.0,0.208,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0
박치국,2023,0.0,49.2,0.0,7.2,17.0,26.7,0.0,0.0,0.0,0.0,0.0,0.262,0.0,0.1,0.286,0.259,0.0,0.0,0.0,0.0
박치국,2024,5.6,53.2,0.0,10.8,18.7,11.7,0.0,0.0,0.0,0.0,0.167,0.325,0.0,0.4,0.265,0.412,0.0,0.0,0.0,0.0
박정수,2020,0.0,40.2,0.0,40.2,3.6,16.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.25,0.0,0.2,0.0,0.0,0.0,0.0
박정수,2021,0.7,30.4,0.0,12.7,30.1,26.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.133,0.25,0.154,0.0,0.0,0.0,0.0
박정수,2022,0.0,35.6,0.0,25.2,24.6,13.9,0.3,0.3,0.0,0.0,0.0,0.273,0.0,0.05,0.4,0.2,0.0,0.0,0.0,0.0
박정수,2023,0.0,37.9,0.0,20.1,21.3,20.3,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.229,0.29,0.2,0.0,0.0,0.0,0.0
박정수,2024,0.0,30.1,0.0,24.5,25.0,20.4,0.0,0.0,0.0,0.0,0.0,0.436,0.0,0.2,0.29,0.278,0.0,0.0,0.0,0.0
박신지,2020,0.0,65.7,0.0,9.0,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.636,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
박신지,2022,0.0,48.8,0.0,7.3,24.9,18.9,0.0,0.0,0.0,0.0,0.0,0.351,0.0,0.2,0.31,0.313,0.0,0.0,0.0,0.0
박신지,2023,0.0,44.7,0.0,4.1,28.3,22.7,0.0,0.0,0.0,0.0,0.0,0.413,0.0,0.0,0.231,0.368,0.0,0.0,0.0,0.0
박신지,2024,0.0,44.7,0.0,7.5,36.0,11.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.357,0.0,0.0,0.0,0.0,0.0
