선수명,연도,투심_구사율,포심_구사율,커터_구사율,커브_구사율,슬라_구사율,첸접_구사율,싱커_구사율,포크_구사율,너클_구사율,기타_구사율,투심_피안타율,포심_피안타율,커터_피안타율,커브_피안타율,슬라_피안타율,첸접_피안타율,싱커_피안타율,포크_피안타율,너클_피안타율,기타_피안타율
김대우,2020,0.1,44.4,0,2.7,45.2,0,7.5,0,0,0,0,0.314,0,0.5,0.275,0,0.412,0,0,0
김대우,2021,0,35.5,0,0.1,53.6,0,10.7,0,0,0,0,0.307,0,0,0.284,0,0.48,0,0,0
김대우,2022,0,39,0,61,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0
김대우,2023,0.5,31,0,11.4,34.3,0.1,22.5,0,0,0,0,0.165,0,0.174,0.292,0,0.449,0,0,1
김대우,2024,25.7,20.8,0,36.5,16.3,0.6,0,0,0,0,0.175,0.353,0,0.25,0.5,0,0,0,0,0
원태인,2020,0,50.3,0.1,6.6,19.2,23.8,0,0,0,0,0,0.317,1,0.321,0.275,0.225,0,0,0,0
원태인,2021,0.1,46.2,0,6.9,17.2,29.5,0,0,0,0,0,0.308,0,0.306,0.198,0.185,0,0,0,0
원태인,2022,0.1,43,0,6.1,24.4,26.3,0,0,0,0,0,0.33,0,0.368,0.241,0.199,0,0,0,0
원태인,2023,0,41.3,2.5,4.4,26,25.8,0,0,0,0,0,0.305,0.091,0.133,0.295,0.208,0,0,0,0
원태인,2024,0,44.8,4.1,4,22.7,24.1,0,0,0,0,0,0.249,0.2,0.476,0.235,0.218,0,0,0,0.5
양현,2020,0.1,0.1,0,44.5,0,0,55.2,0,0,0,0,0,0,0.196,0,0,0.322,0,0,0
양현,2021,0,0,0,40.6,0,1,58.4,0,0,0,0,0,0,0.25,0,1,0.336,0,0,0
양현,2022,0,0,0,55,0,0,45,0,0,0,0,0,0,0.222,0,0,0.313,0,0,0
양현,2023,0,0,0,42.2,0,0.1,57.4,0,0,0,0,0,0,0.325,0,0,0.375,0,0,0
양현,2024,50.8,0,0,49.2,0,0,0,0,0,0,0.471,0,0,0.227,0,0,0,0,0,0
이승현_좌,2021,0,63.7,0,14.9,20.8,0.5,0,0,0,0,0,0.309,0,0.182,0.158,0,0,0,0,0
이승현_좌,2022,0,57.5,0,13.9,28.5,0.1,0,0,0,0,0,0.309,0,0.148,0.153,0,0,0,0,0
이승현_좌,2023,0,59.7,0,11.9,28.1,0.1,0,0,0,0,0,0.22,0,0.423,0.217,0,0,0,0,0
이승현_좌,2024,0,42.1,7.9,11.5,27.3,11.1,0,0,0,0,0,0.254,0.192,0.135,0.306,0.375,0,0,0,0
오승환,2020,0,52.3,0,4.6,33.4,5.6,0,4.2,0,0,0,0.284,0,0.25,0.194,0.111,0,0.333,0,0
오승환,2021,0,50.2,0,6,31.1,3.1,0,9.6,0,0,0,0.261,0,0.5,0.205,0.25,0,0.16,0,0
오승환,2022,0.2,48.6,0,4.7,30.1,11.7,0,4.7,0,0,1,0.275,0,0.167,0.26,0.296,0,0,0,0
오승환,2023,0.6,45.9,0,10.2,27.2,6.3,0,9.7,0,0,0,0.333,0,0.154,0.217,0.267,0,0.034,0,0
오승환,2024,1.7,42.8,0,9,31.7,0.7,0,13.8,0,0,0.333,0.402,0,0.238,0.321,0,0,0.211,0,0
홍원표,2020,0,58.3,0,4.2,29.2,8.3,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
홍원표,2023,0,57.1,0,14.3,16.1,0,0,12.5,0,0,0,0,0,0.5,0,0,0,0.2,0,0
홍원표,2024,0,40.2,0,9.8,44.6,2.7,0,0,0,0,0,0.333,0,0,0.222,0,0,0,0,0
후라도,2023,26.4,26.7,1.6,13.5,14.9,16.5,0,0,0,0,0.246,0.259,0.313,0.238,0.224,0.189,0,0,0,0
후라도,2024,21,32.6,1.6,8.6,16.4,19.5,0,0,0,0,0.32,0.273,0.364,0.228,0.234,0.185,0,0,0,0
박주혁,2022,0,69.3,0,7.1,21.3,2.4,0,0,0,0,0,0.238,0,0,0,0,0,0,0,0
최충연,2022,0.1,55.3,0,3.4,37.3,0.6,0,3.3,0,0,0,0.305,0,0,0.171,0,0,0.6,0,0
최충연,2023,0.6,51.7,0,2.9,29.3,0,0,14.9,0,0,0,0.35,0,0,0.182,0,0,0.333,0,0
최성훈,2020,0.4,48.4,0,4.3,45.7,1.3,0,0,0,0,0,0.241,0,0.2,0.333,0,0,0,0,0
최성훈,2021,1.1,50.6,0,3.3,44.9,0.2,0,0,0,0,0,0.259,0,0.167,0.261,0,0,0,0,0
최성훈,2022,1.4,41.9,0,3.3,53.4,0,0,0,0,0,0.667,0.292,0,0.2,0.097,0,0,0,0,0
최성훈,2023,3,34.8,0,3,59.1,0,0,0,0,0,1,0.714,0,0,0.143,0,0,0,0,0
최성훈,2024,4.4,33.7,0,1.9,60,0,0,0,0,0,1,0.2,0,0,0.313,0,0,0,0,0
이재희,2021,0,46.7,4.9,10.5,26.2,11.5,0,0.3,0,0,0,0.333,0.375,0.143,0.292,0.111,0,0,0,0
이재희,2023,0,37.1,0,0,50,12.9,0,0,0,0,0,0.125,0,0,0.176,0,0,0,0,0
황동재,2020,0,48,0,18,4,0,0,30,0,0,0,1,0,0.667,0,0,0,0.5,0,0
황동재,2022,0,48.1,0,1.4,19.9,0,0,30.4,0,0,0,0.347,0,0,0.325,0,0,0.301,0,0
황동재,2023,0,48.5,0,4.2,18,0,0,29.3,0,0,0,0.323,0,0,0.269,0,0,0.333,0,0
황동재,2024,0.8,45.7,0,2.5,33.7,0,0,17.1,0,0,0.667,0.247,0,0,0.255,0,0,0.208,0,0
김재윤,2020,0,68.3,0,0,18.5,0,0,13.3,0,0,0,0.263,0,0,0.364,0,0,0.147,0,0
김재윤,2021,0,58.7,0,0,24.1,0,0,17.1,0,0,0,0.234,0,0,0.242,0,0,0.213,0,0
김재윤,2022,0.2,63.4,0,0,25,0,0,11.1,0,0,0,0.193,0,0,0.134,0,0,0.282,0,0
김재윤,2023,0,71.2,0,0.3,18.7,0,0,9.6,0,0,0,0.209,0,1,0.275,0,0,0.235,0,0
김재윤,2024,0,57.2,0,0.4,25.2,0,0,17.2,0,0,0,0.272,0,0,0.164,0,0,0.212,0,0
양창섭,2020,0,52.4,0,7.6,35.2,1.9,0,2.9,0,0,0,0.3,0,0,0.222,0,0,0.5,0,0
양창섭,2021,0,50.9,0,6,29.7,0,0,13.4,0,0,0,0.425,0,0.5,0.167,0,0,0.111,0,0
양창섭,2022,0,52.1,0,5.2,33.3,0,0,9.4,0,0,0,0.333,0,1,0.25,0,0,0.231,0,0
양창섭,2023,0,59,0,2.9,23.9,8.7,0,5.5,0,0,0,0.352,0,0.4,0.407,0.5,0,0.2,0,0
레예스,2024,13.3,24.9,8,0.2,33.9,19.6,0,0,0,0,0.329,0.338,0.343,0.5,0.194,0.292,0,0,0,0
임창민,2020,0,48.1,0,0.1,25.9,0,0,25.7,0,0,0,0.227,0,0,0.342,0,0,0.244,0,0
임창민,2021,0.3,47.8,0,0.1,29.1,0,0,22.7,0,0,0,0.172,0,0,0.273,0,0,0.293,0,0
임창민,2022,0,45.1,0,0,26.2,0,0,28.5,0,0,0,0.154,0,0,0.37,0,0,0.222,0,0
임창민,2023,0,46.2,0,0,36.4,0,0,17.2,0,0,0,0.264,0,0,0.259,0,0,0.333,0,0
임창민,2024,0,52.8,0,0,28,0.1,0,18.8,0,0,0,0.279,0,0,0.254,0,0,0.317,0,0
송은범,2020,44.6,2,0,6.2,45.1,1.9,0,0.1,0,0,0.315,0.4,0,0.2,0.283,0.333,0,1,0,0
송은범,2021,46.4,0.2,0,8.6,43.1,1.7,0,0,0,0,0.29,0,0,0,0.219,0.5,0,0,0,0
