선수명,연도,투심_구사율,포심_구사율,커터_구사율,커브_구사율,슬라_구사율,첸접_구사율,싱커_구사율,포크_구사율,너클_구사율,기타_구사율,투심_피안타율,포심_피안타율,커터_피안타율,커브_피안타율,슬라_피안타율,첸접_피안타율,싱커_피안타율,포크_피안타율,너클_피안타율,기타_피안타율
배재준,2021,17.5,32.0,0.0,10.8,26.7,3.6,0.0,9.3,0.0,0.0,0.294,0.343,0.0,0.286,0.297,0.375,0.0,0.308,0.0,0.0
배재준,2022,19.4,35.0,0.0,8.3,24.0,0.0,0.0,12.5,0.0,0.0,0.353,0.2,0.0,0.0,0.16,0.0,0.0,0.222,0.0,0.0
배재준,2023,0.0,43.5,0.0,8.7,43.5,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
백승현,2021,0.0,61.1,0.0,0.0,37.8,0.0,0.0,1.1,0.0,0.0,0.0,0.205,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
백승현,2022,0.0,72.8,0.0,0.0,22.3,0.0,0.0,4.9,0.0,0.0,0.0,0.31,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0
백승현,2023,0.0,59.1,0.0,0.0,31.5,0.0,0.0,9.4,0.0,0.0,0.0,0.205,0.0,0.0,0.16,0.0,0.0,0.333,0.0,0.0
백승현,2024,0.0,62.7,0.0,0.0,22.4,0.0,0.0,14.9,0.0,0.0,0.0,0.295,0.0,0.0,0.32,0.0,0.0,0.368,0.0,0.0
임찬규,2020,0.0,40.5,0.0,23.5,1.6,34.3,0.0,0.0,0.0,0.0,0.0,0.261,0.0,0.171,0.25,0.285,0.0,0.0,0.0,0.0
임찬규,2021,0.0,46.1,0.0,17.6,15.7,20.6,0.0,0.0,0.0,0.0,0.0,0.233,0.0,0.197,0.288,0.186,0.0,0.0,0.0,0.0
임찬규,2022,0.2,44.7,0.0,18.6,12.2,24.2,0.0,0.0,0.0,0.0,1.0,0.294,0.0,0.221,0.327,0.274,0.0,0.0,0.0,0.0
임찬규,2023,0.0,39.0,0.0,23.4,5.0,32.5,0.0,0.0,0.0,0.0,0.0,0.261,0.0,0.234,0.32,0.246,0.0,0.0,0.0,0.0
임찬규,2024,0.0,36.5,6.5,28.3,0.0,28.4,0.0,0.0,0.0,0.0,0.0,0.319,0.471,0.233,0.0,0.243,0.0,0.0,0.0,0.0
김진성,2020,0.0,54.2,0.0,0.0,8.9,0.0,0.0,36.9,0.0,0.0,0.0,0.212,0.0,0.0,0.308,0.0,0.0,0.246,0.0,0.0
김진성,2021,0.0,49.0,0.0,0.0,11.8,0.0,0.0,38.9,0.0,0.0,0.0,0.341,0.0,0.0,0.278,0.0,0.0,0.192,0.0,0.0
