선수명,연도,투심_구사율,포심_구사율,커터_구사율,커브_구사율,슬라_구사율,첸접_구사율,싱커_구사율,포크_구사율,너클_구사율,기타_구사율,투심_피안타율,포심_피안타율,커터_피안타율,커브_피안타율,슬라_피안타율,첸접_피안타율,싱커_피안타율,포크_피안타율,너클_피안타율,기타_피안타율
조영건,2020,0.0,60.6,0.0,4.5,28.9,0.1,0.0,5.9,0.0,0.0,0.0,0.298,0.0,0.143,0.273,0.0,0.0,0.0,0.0,0.0
조영건,2021,0.0,64.0,0.0,4.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
조영건,2023,0.0,48.5,0.0,4.0,32.7,0.0,0.0,14.9,0.0,0.0,0.0,0.333,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
조영건,2024,0.0,56.3,0.0,9.0,21.7,0.0,0.0,13.1,0.0,0.0,0.0,0.326,0.0,0.273,0.318,0.0,0.0,0.19,0.0,0.0
하영민,2022,4.9,47.7,0.0,9.4,26.8,9.9,0.0,0.7,0.0,0.0,0.364,0.275,0.0,0.25,0.14,0.2,0.0,0.333,0.0,0.0
하영민,2023,0.5,33.5,0.0,18.0,42.0,5.8,0.0,0.1,0.0,0.0,0.0,0.421,0.0,0.231,0.218,0.25,0.0,0.0,0.0,0.0
하영민,2024,0.0,36.3,0.0,13.3,28.0,0.0,0.0,22.3,0.0,0.0,0.0,0.383,0.0,0.203,0.251,0.0,0.0,0.187,0.0,0.0
주승우,2022,0.0,74.3,0.0,2.0,17.8,5.0,0.0,1.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
주승우,2023,0.0,57.3,0.0,9.2,11.5,0.0,0.0,22.0,0.0,0.0,0.0,0.35,0.0,0.5,0.333,0.0,0.0,0.176,0.0,0.0
주승우,2024,25.0,40.3,0.0,0.1,19.6,0.0,0.0,15.0,0.0,0.0,0.289,0.243,0.0,0.0,0.273,0.0,0.0,0.216,0.0,0.0
김선기,2020,0.0,65.0,0.0,8.7,24.6,0.3,0.0,1.4,0.0,0.0,0.0,0.235,0.0,0.125,0.176,0.0,0.0,1.0,0.0,0.0
김선기,2021,0.0,58.4,0.0,9.3,29.9,2.1,0.0,0.1,0.0,0.0,0.0,0.345,0.0,0.214,0.186,0.0,0.0,0.0,0.0,0.0
김선기,2022,0.0,50.8,0.0,5.9,39.2,3.9,0.0,0.0,0.0,0.0,0.0,0.315,0.0,0.364,0.226,0.0,0.0,0.0,0.0,0.0
김선기,2023,0.3,40.2,0.0,12.6,43.6,1.3,0.0,2.0,0.0,0.0,0.0,0.364,0.0,0.385,0.261,0.0,0.0,0.0,0.0,0.0
