PlayerName,Year,Team,Date,Opp,Role,Dec,ERA,WHIP,IP,NP,R,ER,H,HR,SO,BB,HB,GS,Venue,Stadium,Time,Temp
고영표,2024,KT,2024-09-28,vs. Kiwoom,RP,W,1.8,0.2,5,48,1,1,1,0,4,0,0,,Home,수원 KT 위즈파크,17:00,26.4
고영표,2024,KT,2024-09-21,vs. SSG,SP,L,3.0,1.33,6,86,2,2,6,2,4,2,0,54.0,Home,수원 KT 위즈파크,17:00,23.4
고영표,2024,KT,2024-09-14,@ Doosan,SP,L,1.5,0.83,6,86,2,1,4,0,4,1,0,61.0,Away,잠실 야구장,17:00,31.7
고영표,2024,KT,2024-09-06,@ NC,SP,W,4.5,1.33,6,94,3,3,8,0,5,0,3,46.0,Away,창원 NC 파크,18:30,28.7
고영표,2024,KT,2024-08-29,@ LG,SP,,9.64,2.14,4 ⅔,100,5,5,9,0,7,1,1,31.0,Away,잠실 야구장,18:30,31.7
고영표,2024,KT,2024-08-23,@ SSG,SP,W,4.5,1.67,6,95,3,3,10,0,9,0,1,48.0,Away,인천 SSG 랜더스필드,18:30,30.1
고영표,2024,KT,2024-08-17,vs. Doosan,SP,L,3.6,1.8,5,83,2,2,9,0,6,0,2,45.0,Home,수원 KT 위즈파크,18:00,32.0
고영표,2024,KT,2024-08-11,vs. Lotte,SP,L,18.0,3.25,4,92,8,8,12,2,2,1,0,7.0,Home,수원 KT 위즈파크,17:00,33.0
고영표,2024,KT,2024-08-06,@ Kia,SP,L,1.42,1.11,6 ⅓,93,2,1,5,0,2,2,0,57.0,Away,광주 기아 챔피언스 필드,18:30,32.6
고영표,2024,KT,2024-07-31,vs. Hanwha,SP,L,7.2,2.2,5,95,7,4,11,2,4,0,1,26.0,Home,수원 KT 위즈파크,18:30,32.7
고영표,2024,KT,2024-07-25,vs. SSG,SP,W,1.29,0.86,7,94,1,1,6,0,4,0,2,63.0,Home,수원 KT 위즈파크,18:30,33.3
고영표,2024,KT,2024-07-18,@ Kiwoom,SP,,9.0,2.6,5,93,5,5,11,0,2,2,0,25.0,Away,고척 스카이돔,18:30,25.5
고영표,2024,KT,2024-07-12,@ Lotte,SP,,6.35,2.47,5 ⅔,96,4,4,12,0,6,2,1,32.0,Away,사직 야구장,18:30,27.3
고영표,2024,KT,2024-06-30,vs. Samsung,SP,,0.0,1.26,6 ⅓,93,1,0,6,0,5,2,0,62.0,Home,수원 KT 위즈파크,17:00,26.3
고영표,2024,KT,2024-06-25,@ SSG,SP,W,0.0,0.29,7,83,0,0,2,0,5,0,0,78.0,Away,인천 SSG 랜더스필드,18:30,25.3
고영표,2024,KT,2024-06-19,vs. Lotte,SP,L,10.8,1.8,5,89,6,6,9,0,4,0,0,29.0,Home,수원 KT 위즈파크,18:30,32.0
고영표,2024,KT,2024-04-02,vs. Kia,SP,W,0.0,1.17,6,85,0,0,7,0,4,0,0,62.0,Home,수원 KT 위즈파크,18:30,19.8
고영표,2024,KT,2024-03-27,vs. Doosan,SP,L,20.25,3.5,4,86,9,9,13,0,2,1,0,1.0,Home,수원 KT 위즈파크,18:30,12.2
고영표,2023,KT,2023-10-03,vs. Kia,SP,,1.8,0.6,5,57,1,1,3,0,3,0,0,60.0,Home,수원 KT 위즈파크,18:30,21.0
고영표,2023,KT,2023-09-24,@ Kia,SP,,0.0,1.14,7,90,0,0,6,0,2,2,0,65.0,Away,광주 기아 챔피언스 필드,14:00,26.7
고영표,2023,KT,2023-09-19,vs. Samsung,SP,W,1.5,1.83,6,101,1,1,9,0,4,2,0,52.0,Home,수원 KT 위즈파크,18:30,26.6
고영표,2023,KT,2023-09-13,@ NC,SP,W,3.0,1.67,6,111,2,2,9,0,7,1,0,52.0,Away,창원 NC 파크,18:30,28.9
고영표,2023,KT,2023-09-07,vs. LG,SP,L,9.0,1.83,6,103,6,6,10,1,3,1,0,30.0,Home,수원 KT 위즈파크,18:30,28.3
고영표,2023,KT,2023-09-01,@ Kiwoom,SP,L,10.8,2.0,5,81,6,6,9,1,3,1,0,27.0,Away,고척 스카이돔,18:30,25.5
고영표,2023,KT,2023-08-24,vs. Kia,SP,,1.29,1.0,7,99,2,1,6,0,5,1,1,62.0,Home,수원 KT 위즈파크,18:30,30.0
고영표,2023,KT,2023-08-12,vs. NC,SP,,3.86,2.0,7,106,3,3,13,0,1,1,1,38.0,Home,수원 KT 위즈파크,18:00,27.7
고영표,2023,KT,2023-08-06,@ Doosan,SP,W,1.29,1.0,7,103,1,1,6,0,5,1,0,65.0,Away,잠실 야구장,17:00,30.3
고영표,2023,KT,2023-08-01,vs. SSG,SP,W,0.0,0.75,8,97,0,0,6,0,4,0,0,74.0,Home,수원 KT 위즈파크,18:30,32.8
고영표,2023,KT,2023-07-26,vs. LG,SP,,1.29,0.57,7,97,1,1,4,0,4,0,1,68.0,Home,수원 KT 위즈파크,18:30,29.0
고영표,2023,KT,2023-07-13,@ Kiwoom,SP,W,0.0,0.71,7,87,0,0,5,0,9,0,0,76.0,Away,고척 스카이돔,18:30,25.5
고영표,2023,KT,2023-07-08,vs. Kia,SP,L,3.86,0.86,7,88,3,3,6,1,2,0,0,55.0,Home,수원 KT 위즈파크,18:00,29.5
고영표,2023,KT,2023-07-02,vs. NC,SP,W,0.0,1.05,6 ⅔,98,0,0,7,0,7,0,1,66.0,Home,수원 KT 위즈파크,17:00,31.2
고영표,2023,KT,2023-06-27,@ Hanwha,SP,L,4.5,1.17,6,92,3,3,6,0,7,1,1,53.0,Away,대전 한화생명 볼파크,18:30,29.2
고영표,2023,KT,2023-06-21,vs. Lotte,SP,W,0.0,0.57,7,92,1,0,4,0,5,0,0,72.0,Home,수원 KT 위즈파크,18:30,24.5
고영표,2023,KT,2023-06-15,@ SSG,SP,W,3.86,1.0,7,98,3,3,7,1,4,0,0,55.0,Away,인천 SSG 랜더스필드,18:30,24.7
고영표,2023,KT,2023-06-06,@ Lotte,SP,W,1.29,0.71,7,87,1,1,4,0,3,1,0,67.0,Away,사직 야구장,18:30,21.9
고영표,2023,KT,2023-05-30,@ Kia,SP,L,9.0,2.5,2,36,3,2,4,0,3,1,1,39.0,Away,광주 기아 챔피언스 필드,18:30,22.5
고영표,2023,KT,2023-05-24,vs. Kiwoom,SP,W,0.0,0.57,7,88,0,0,4,0,5,0,0,74.0,Home,수원 KT 위즈파크,18:30,22.5
고영표,2023,KT,2023-05-18,@ LG,SP,L,15.43,3.21,4 ⅔,82,8,8,12,0,3,3,0,8.0,Away,잠실 야구장,18:30,22.5
고영표,2023,KT,2023-05-12,vs. Lotte,SP,,1.13,0.63,8,97,1,1,5,0,5,0,0,73.0,Home,수원 KT 위즈파크,18:30,22.3
고영표,2023,KT,2023-04-29,vs. Samsung,SP,,2.57,1.43,7,104,2,2,9,0,2,1,0,52.0,Home,수원 KT 위즈파크,17:00,11.7
고영표,2023,KT,2023-04-23,@ Doosan,SP,,1.29,1.0,7,95,1,1,7,0,3,0,0,62.0,Away,잠실 야구장,14:00,22.0
고영표,2023,KT,2023-04-18,vs. SSG,SP,W,2.57,1.29,7,91,2,2,7,0,4,2,2,55.0,Home,수원 KT 위즈파크,18:30,17.3
고영표,2023,KT,2023-04-12,@ NC,SP,L,7.94,1.41,5 ⅔,85,5,5,8,2,6,0,1,38.0,Away,창원 NC 파크,18:30,16.0
고영표,2023,KT,2023-04-07,@ Lotte,SP,W,1.29,0.57,7,80,1,1,4,1,4,0,0,69.0,Away,사직 야구장,18:30,16.9
