PlayerName,Year,Team,Date,Opp,Role,Dec,ERA,WHIP,IP,NP,R,ER,H,HR,SO,BB,HB,GS,Venue,Stadium,Time,Temp
이형범,2024,Kia,2024-08-23,@ NC,RP,,94.5,9.0,0 ⅔,27,7,7,5,0,0,1,1,,Away,창원 NC 파크,18:30,32.7
이형범,2024,Kia,2024-08-11,vs. Samsung,RP,L,0.0,,0,5,1,1,1,1,0,0,0,,Home,광주 기아 챔피언스 필드,17:00,32.2
이형범,2024,Kia,2024-07-30,vs. Doosan,RP,,4.5,2.0,2,38,1,1,3,1,3,1,1,,Home,광주 기아 챔피언스 필드,18:30,32.1
이형범,2024,Kia,2024-07-25,vs. NC,RP,,0.0,1.5,2,41,0,0,2,0,1,1,0,,Home,광주 기아 챔피언스 필드,18:30,31.7
이형범,2024,Kia,2024-07-21,@ Hanwha,RP,,0.0,0.0,0 ⅔,9,0,0,0,0,1,0,0,,Away,대전 한화생명 볼파크,17:00,32.4
이형범,2024,Kia,2024-07-20,@ Hanwha,RP,,0.0,0.0,0 ⅓,3,0,0,0,0,1,0,0,,Away,대전 한화생명 볼파크,18:00,31.9
이형범,2024,Kia,2024-07-18,vs. Samsung,RP,H,0.0,3.0,0 ⅓,5,0,0,1,0,0,0,0,,Home,광주 기아 챔피언스 필드,18:30,29.2
이형범,2024,Kia,2024-07-17,vs. Samsung,RP,,0.0,3.0,0 ⅔,18,0,0,1,0,0,1,0,,Home,광주 기아 챔피언스 필드,18:30,30.1
이형범,2024,Kia,2024-07-13,vs. SSG,RP,,0.0,3.0,1 ⅓,27,3,0,4,0,0,0,0,,Home,광주 기아 챔피언스 필드,18:00,29.3
이형범,2024,Kia,2024-07-12,vs. SSG,RP,,0.0,1.5,2,31,0,0,3,0,0,0,0,,Home,광주 기아 챔피언스 필드,18:30,30.6
이형범,2024,Kia,2024-05-12,vs. SSG,RP,,13.5,2.25,1 ⅓,19,2,2,1,0,0,2,1,,Home,광주 기아 챔피언스 필드,14:00,22.6
이형범,2024,Kia,2024-05-10,vs. SSG,RP,,0.0,1.0,1,18,0,0,1,0,2,0,0,,Home,광주 기아 챔피언스 필드,18:30,22.0
이형범,2024,Kia,2024-04-11,vs. LG,RP,,13.5,4.5,0 ⅔,20,2,1,2,0,0,1,0,,Home,광주 기아 챔피언스 필드,18:30,19.5
이형범,2024,Kia,2024-04-06,vs. Samsung,RP,,0.0,,0,4,0,0,0,0,0,0,2,,Home,광주 기아 챔피언스 필드,17:00,19.2
이형범,2024,Kia,2024-04-05,vs. Samsung,RP,H,9.0,2.0,1,16,1,1,2,0,0,0,0,,Home,광주 기아 챔피언스 필드,18:30,16.5
이형범,2024,Kia,2024-04-02,@ KT,RP,,0.0,0.0,1,15,0,0,0,0,1,0,0,,Away,수원 KT 위즈파크,18:30,19.8
이형범,2023,Doosan,2023-09-06,vs. Kia,RP,,13.5,3.0,0 ⅔,18,1,1,2,0,1,0,0,,Home,잠실 야구장,18:30,30.4
이형범,2023,Doosan,2023-08-11,@ Hanwha,RP,,27.0,3.0,1,25,3,3,1,1,0,2,0,,Away,대전 한화생명 볼파크,18:30,28.1
이형범,2023,Doosan,2023-08-05,vs. KT,RP,,0.0,,0,13,3,3,3,0,0,0,0,,Home,잠실 야구장,18:00,34.3
이형범,2023,Doosan,2023-08-01,@ Hanwha,RP,,9.0,2.0,1,20,2,1,1,0,0,1,1,,Away,대전 한화생명 볼파크,18:30,32.9
이형범,2023,Doosan,2023-07-30,vs. LG,RP,,0.0,0.67,3,33,0,0,2,0,1,0,1,,Home,잠실 야구장,17:00,33.6
이형범,2023,Doosan,2023-06-18,@ LG,RP,,10.13,2.63,2 ⅔,38,4,3,7,1,1,0,0,,Away,잠실 야구장,17:00,30.8
이형범,2023,Doosan,2023-06-17,@ LG,RP,,0.0,1.0,1,14,0,0,0,0,0,1,0,,Away,잠실 야구장,17:00,27.7
