PlayerName,Year,Team,Date,Opp,Role,Dec,ERA,WHIP,IP,NP,R,ER,H,HR,SO,BB,HB,GS,Venue,Stadium,Time,Temp
최지강,2024,Doosan,2024-09-10,@ Kiwoom,RP,,18.0,2.0,1,20,2,2,2,1,1,0,0,,Away,고척 스카이돔,18:30,25.5
최지강,2024,Doosan,2024-09-07,@ KT,RP,,0.0,0.0,1,7,0,0,0,0,0,0,0,,Away,수원 KT 위즈파크,17:00,30.0
최지강,2024,Doosan,2024-09-04,@ Samsung,RP,,18.0,3.0,1,19,2,2,3,0,1,0,0,,Away,대구 삼성 라이온즈 파크,18:30,28.5
최지강,2024,Doosan,2024-09-01,vs. Lotte,RP,,0.0,3.0,0 ⅔,12,0,0,0,0,0,2,0,,Home,잠실 야구장,14:00,30.2
최지강,2024,Doosan,2024-08-27,@ NC,RP,H,27.0,6.0,0 ⅓,10,1,1,2,0,1,0,0,,Away,창원 NC 파크,18:30,30.2
최지강,2024,Doosan,2024-08-25,vs. Hanwha,RP,,0.0,1.5,0 ⅔,16,0,0,1,0,0,0,0,,Home,잠실 야구장,17:00,32.5
최지강,2024,Doosan,2024-08-24,vs. Hanwha,RP,,0.0,1.5,0 ⅔,12,0,0,0,0,0,1,0,,Home,잠실 야구장,18:00,31.2
최지강,2024,Doosan,2024-08-21,@ Samsung,RP,H,0.0,0.0,1,11,0,0,0,0,1,0,0,,Away,대구 삼성 라이온즈 파크,18:30,31.9
최지강,2024,Doosan,2024-08-20,@ Samsung,RP,,0.0,1.0,1,16,0,0,1,0,2,0,0,,Away,대구 삼성 라이온즈 파크,18:30,31.4
최지강,2024,Doosan,2024-08-18,@ KT,RP,,6.75,0.75,1 ⅓,18,1,1,1,1,2,0,0,,Away,수원 KT 위즈파크,17:00,29.9
최지강,2024,Doosan,2024-07-13,vs. Samsung,RP,H,0.0,1.0,1,17,0,0,1,0,0,0,0,,Home,잠실 야구장,18:00,31.5
최지강,2024,Doosan,2024-07-10,@ KT,RP,,0.0,0.5,2,29,0,0,1,0,3,0,0,,Away,수원 KT 위즈파크,18:30,29.1
최지강,2024,Doosan,2024-07-03,vs. Lotte,RP,W,5.4,2.4,1 ⅔,34,1,1,2,0,1,2,0,,Home,잠실 야구장,18:30,26.9
