PlayerName,Year,Team,Date,Opp,Role,Dec,ERA,WHIP,IP,NP,R,ER,H,HR,SO,BB,HB,GS,Venue,Stadium,Time,Temp
김진욱,2024,Lotte,2024-09-24,@ KT,SP,,2.08,1.62,4 ⅓,82,1,1,7,0,6,0,0,51.0,Away,수원 KT 위즈파크,18:30,23.7
김진욱,2024,Lotte,2024-09-18,vs. LG,SP,,0.0,1.0,6,103,0,0,3,0,7,3,0,70.0,Home,사직 야구장,18:30,31.3
김진욱,2024,Lotte,2024-09-12,@ Kia,SP,L,10.38,2.31,4 ⅓,93,6,5,8,0,4,2,0,27.0,Away,광주 기아 챔피언스 필드,18:30,31.8
김진욱,2024,Lotte,2024-09-06,vs. Samsung,SP,L,6.75,2.25,4,91,3,3,6,0,5,3,0,40.0,Home,사직 야구장,18:30,29.1
김진욱,2024,Lotte,2024-08-31,@ Doosan,SP,,5.79,1.07,4 ⅔,78,4,3,3,1,7,2,1,48.0,Away,잠실 야구장,18:00,30.8
김진욱,2024,Lotte,2024-08-25,@ Samsung,SP,L,17.18,2.45,3 ⅔,93,7,7,4,1,5,5,2,23.0,Away,대구 삼성 라이온즈 파크,17:00,32.3
김진욱,2024,Lotte,2024-08-14,@ Doosan,SP,W,1.8,1.6,5,102,1,1,3,0,3,5,0,55.0,Away,잠실 야구장,18:30,30.0
김진욱,2024,Lotte,2024-08-07,vs. NC,SP,,15.43,3.0,2 ⅓,60,4,4,4,1,3,3,0,33.0,Home,사직 야구장,18:30,32.7
김진욱,2024,Lotte,2024-07-31,@ SSG,SP,,9.0,1.75,4,91,5,4,5,0,4,2,0,36.0,Away,인천 SSG 랜더스필드,18:30,31.8
김진욱,2024,Lotte,2024-07-25,vs. LG,SP,,5.4,1.4,5,96,3,3,6,1,6,1,0,48.0,Home,사직 야구장,18:30,31.0
김진욱,2024,Lotte,2024-07-19,@ Samsung,SP,W,3.0,1.0,6,99,2,2,3,1,7,3,0,62.0,Away,대구 삼성 라이온즈 파크,18:30,28.3
김진욱,2024,Lotte,2024-07-13,vs. KT,SP,,1.69,1.13,5 ⅓,90,1,1,5,1,6,1,0,59.0,Home,사직 야구장,18:00,27.2
김진욱,2024,Lotte,2024-07-04,@ Doosan,RP,,0.0,,0,14,1,1,2,0,0,1,0,,Away,잠실 야구장,18:30,30.0
김진욱,2024,Lotte,2024-06-26,vs. Kia,SP,,9.82,2.73,3 ⅔,84,4,4,7,1,3,3,0,31.0,Home,사직 야구장,18:30,25.2
김진욱,2024,Lotte,2024-06-20,@ KT,SP,,8.44,1.69,5 ⅓,103,5,5,8,4,5,1,0,36.0,Away,수원 KT 위즈파크,18:30,29.6
김진욱,2024,Lotte,2024-06-12,vs. Kiwoom,SP,W,0.0,1.11,6 ⅓,95,1,0,5,0,8,2,0,67.0,Home,사직 야구장,18:30,25.3
김진욱,2024,Lotte,2024-06-06,@ Kia,SP,,3.38,1.31,5 ⅓,97,2,2,2,1,1,5,0,52.0,Away,광주 기아 챔피언스 필드,18:30,25.3
김진욱,2024,Lotte,2024-05-31,vs. NC,SP,W,1.8,0.8,5,91,1,1,3,1,2,1,0,58.0,Home,사직 야구장,18:30,21.8
김진욱,2024,Lotte,2024-05-25,vs. Samsung,SP,,6.23,1.38,4 ⅓,68,3,3,5,0,5,1,0,45.0,Home,사직 야구장,17:00,21.3
김진욱,2023,Lotte,2023-10-02,vs. Samsung,RP,,27.0,3.0,1,27,3,3,2,1,0,1,0,,Home,사직 야구장,18:30,21.3
김진욱,2023,Lotte,2023-09-13,@ Kia,RP,,0.0,,0,0,0,0,0,0,0,0,0,,Away,광주 기아 챔피언스 필드,18:30,27.2
김진욱,2023,Lotte,2023-09-12,vs. NC,RP,,0.0,1.5,0 ⅔,18,0,0,1,0,1,0,1,,Home,사직 야구장,18:30,28.7
김진욱,2023,Lotte,2023-09-10,@ NC,RP,,0.0,0.0,0 ⅓,4,0,0,0,0,0,0,0,,Away,창원 NC 파크,14:00,28.4
