PlayerName,Year,Team,Date,Opp,Role,Dec,ERA,WHIP,IP,NP,R,ER,H,HR,SO,BB,HB,GS,Venue,Stadium,Time,Temp
이호성,2024,Samsung,2024-09-19,@ KT,SP,,9.0,3.0,2,51,3,2,4,1,0,2,0,36.0,Away,수원 KT 위즈파크,18:30,32.1
이호성,2024,Samsung,2024-08-17,@ NC,SP,,6.75,2.63,2 ⅔,67,2,2,6,1,2,1,0,39.0,Away,창원 NC 파크,18:00,31.1
이호성,2024,Samsung,2024-06-21,vs. Doosan,RP,,54.0,9.0,0 ⅓,11,2,2,3,0,0,0,0,,Home,대구 삼성 라이온즈 파크,18:30,26.4
이호성,2024,Samsung,2024-06-18,vs. SSG,RP,,5.4,3.6,1 ⅔,50,1,1,1,0,0,5,0,,Home,대구 삼성 라이온즈 파크,18:30,26.3
이호성,2024,Samsung,2024-06-13,vs. LG,SP,W,3.38,0.94,5 ⅓,81,2,2,3,0,3,2,0,55.0,Home,대구 삼성 라이온즈 파크,18:30,27.1
이호성,2024,Samsung,2024-06-06,@ SSG,SP,L,11.57,1.71,2 ⅓,43,3,3,2,0,3,2,0,42.0,Away,인천 SSG 랜더스필드,18:30,23.5
이호성,2024,Samsung,2024-05-31,vs. Hanwha,RP,,5.4,1.2,1 ⅔,22,1,1,2,1,0,0,0,,Home,대구 삼성 라이온즈 파크,18:30,21.8
이호성,2024,Samsung,2024-05-29,vs. Kiwoom,RP,,0.0,1.0,2,35,0,0,2,0,0,0,1,,Home,대구 삼성 라이온즈 파크,18:30,21.3
이호성,2024,Samsung,2024-05-25,@ Lotte,SP,,15.43,3.86,2 ⅓,61,4,4,9,0,1,0,0,24.0,Away,사직 야구장,17:00,21.3
이호성,2024,Samsung,2024-05-19,vs. Hanwha,SP,L,38.57,5.57,2 ⅓,87,10,10,8,4,2,5,0,-2.0,Home,대구 삼성 라이온즈 파크,14:00,24.4
이호성,2024,Samsung,2024-05-11,@ NC,SP,,4.15,1.15,4 ⅓,78,2,2,4,0,4,1,0,50.0,Away,창원 NC 파크,17:00,21.5
이호성,2024,Samsung,2024-05-01,@ Doosan,SP,W,1.59,1.06,5 ⅔,89,2,1,5,1,2,1,0,54.0,Away,잠실 야구장,18:30,23.1
이호성,2024,Samsung,2024-04-25,vs. LG,SP,L,4.91,2.45,3 ⅔,92,2,2,7,1,5,2,0,42.0,Home,대구 삼성 라이온즈 파크,18:30,17.6
이호성,2024,Samsung,2024-04-19,@ Hanwha,SP,L,3.38,2.25,2 ⅔,57,1,1,4,0,1,2,0,45.0,Away,대전 한화생명 볼파크,18:30,23.6
이호성,2024,Samsung,2024-04-13,vs. NC,SP,,3.0,1.0,3,53,1,1,3,0,3,0,1,51.0,Home,대구 삼성 라이온즈 파크,17:00,21.0
이호성,2024,Samsung,2024-04-07,@ Kia,SP,,9.0,2.0,3,75,3,3,3,0,2,3,0,40.0,Away,광주 기아 챔피언스 필드,14:00,24.5
이호성,2023,Samsung,2023-10-06,@ KT,SP,W,1.8,1.6,5,96,1,1,4,1,6,4,0,57.0,Away,수원 KT 위즈파크,18:30,17.6
이호성,2023,Samsung,2023-10-01,@ Lotte,SP,,3.6,1.2,5,78,2,2,4,0,1,2,0,50.0,Away,사직 야구장,14:00,25.3
이호성,2023,Samsung,2023-04-12,vs. SSG,RP,,6.0,1.0,3,46,2,2,1,0,2,2,0,,Home,대구 삼성 라이온즈 파크,18:30,15.2
이호성,2023,Samsung,2023-04-06,vs. Hanwha,RP,,0.0,1.0,3,45,0,0,1,0,2,2,0,,Home,대구 삼성 라이온즈 파크,18:30,13.8
이호성,2023,Samsung,2023-04-01,vs. NC,RP,,0.0,1.0,1,7,0,0,1,0,0,0,0,,Home,대구 삼성 라이온즈 파크,14:00,21.3
최원태,2024,LG,2024-09-25,vs. Hanwha,SP,L,4.5,1.33,6,101,3,3,6,0,3,2,0,49.0,Home,잠실 야구장,18:30,26.4
최원태,2024,LG,2024-09-19,@ Lotte,RP,W,6.75,1.69,5 ⅓,87,4,4,8,1,5,1,1,,Away,사직 야구장,18:30,32.4
최원태,2024,LG,2024-09-11,vs. Kiwoom,SP,,6.35,1.76,5 ⅔,103,4,4,7,0,5,3,0,41.0,Home,잠실 야구장,18:30,30.6
최원태,2024,LG,2024-09-05,vs. SSG,SP,L,3.6,1.6,5,101,4,2,6,0,5,2,0,46.0,Home,잠실 야구장,18:30,28.6
최원태,2024,LG,2024-08-28,vs. KT,SP,,1.29,0.71,7,95,1,1,4,0,8,1,0,72.0,Home,잠실 야구장,18:30,31.7
최원태,2024,LG,2024-08-22,vs. SSG,SP,W,1.5,1.17,6,93,3,1,6,0,4,1,0,55.0,Home,잠실 야구장,18:30,30.5
최원태,2024,LG,2024-08-16,vs. Kia,SP,,0.0,0.71,7,83,0,0,3,0,5,2,0,74.0,Home,잠실 야구장,18:30,33.0
최원태,2024,LG,2024-08-10,vs. NC,SP,W,1.8,1.6,5,94,1,1,5,0,5,3,0,55.0,Home,잠실 야구장,18:00,33.0
최원태,2024,LG,2024-08-03,@ Lotte,SP,,5.4,2.0,5,83,3,3,8,1,4,2,0,41.0,Away,사직 야구장,18:00,33.0
최원태,2024,LG,2024-07-28,vs. Hanwha,SP,L,18.0,3.0,3,57,6,6,7,2,1,2,0,20.0,Home,잠실 야구장,17:00,31.7
최원태,2024,LG,2024-07-25,@ Lotte,SP,,108.0,9.0,0 ⅓,13,4,4,3,0,0,0,1,28.0,Away,사직 야구장,18:30,31.0
최원태,2024,LG,2024-07-12,@ Hanwha,SP,L,5.4,1.6,5,82,3,3,5,0,0,3,0,42.0,Away,대전 한화생명 볼파크,18:30,30.4
최원태,2024,LG,2024-06-05,vs. Kiwoom,SP,,3.6,2.0,5,95,2,2,6,1,5,4,1,47.0,Home,잠실 야구장,18:30,26.2
최원태,2024,LG,2024-05-30,@ SSG,SP,L,4.5,1.33,6,89,4,3,6,1,3,2,0,47.0,Away,인천 SSG 랜더스필드,18:30,21.3
최원태,2024,LG,2024-05-24,vs. NC,SP,W,4.5,1.67,6,92,3,3,6,1,3,4,0,47.0,Home,잠실 야구장,18:30,24.2
최원태,2024,LG,2024-05-18,@ KT,SP,W,3.0,1.33,6,101,2,2,5,1,4,3,1,54.0,Away,수원 KT 위즈파크,17:00,24.1
최원태,2024,LG,2024-05-07,vs. SSG,SP,L,5.79,2.57,4 ⅔,99,3,3,7,0,6,5,0,39.0,Home,잠실 야구장,18:30,14.5
최원태,2024,LG,2024-05-01,@ NC,SP,W,1.29,0.71,7,92,1,1,4,0,2,1,0,66.0,Away,창원 NC 파크,18:30,17.0
최원태,2024,LG,2024-04-25,@ Samsung,SP,W,0.0,0.67,6,97,0,0,2,0,3,2,0,69.0,Away,대구 삼성 라이온즈 파크,18:30,17.6
최원태,2024,LG,2024-04-19,@ SSG,SP,W,1.5,0.83,6,91,1,1,2,0,5,3,0,66.0,Away,인천 SSG 랜더스필드,18:30,17.3
최원태,2024,LG,2024-04-13,@ Doosan,SP,L,8.31,2.31,4 ⅓,87,4,4,7,0,6,3,0,36.0,Away,잠실 야구장,17:00,26.2
최원태,2024,LG,2024-04-07,vs. KT,SP,W,7.2,1.6,5,98,4,4,6,1,8,2,0,45.0,Home,잠실 야구장,14:00,22.0
최원태,2024,LG,2024-04-02,vs. NC,SP,,6.35,0.88,5 ⅔,101,4,4,4,1,10,1,0,54.0,Home,잠실 야구장,18:30,20.0
최원태,2024,LG,2024-03-27,vs. Samsung,SP,,1.93,1.71,4 ⅔,83,2,1,3,0,3,5,1,49.0,Home,잠실 야구장,18:30,13.1
최원태,2023,LG,2023-09-30,@ Doosan,SP,L,3.86,1.93,4 ⅔,99,2,2,5,1,3,4,0,45.0,Away,잠실 야구장,17:00,23.9
최원태,2023,LG,2023-09-24,vs. Hanwha,SP,W,1.29,1.0,7,92,1,1,6,1,8,1,0,68.0,Home,잠실 야구장,14:00,24.5
