PlayerName,Year,Team,Date,Opp,Role,Dec,ERA,WHIP,IP,NP,R,ER,H,HR,SO,BB,HB,GS,Venue,Stadium,Time,Temp
배재준,2023,LG,2023-05-10,vs. Kiwoom,RP,,18.0,3.0,1,23,2,2,2,0,0,1,0,,Home,잠실 야구장,18:30,24.6
배재준,2022,LG,2022-10-11,vs. KT,RP,,0.0,0.0,0 ⅔,9,0,0,0,0,2,0,0,,Home,잠실 야구장,18:30,14.4
배재준,2022,LG,2022-10-01,vs. NC,SP,L,9.0,2.5,2,32,2,2,3,0,0,2,0,40.0,Home,잠실 야구장,17:00,25.1
배재준,2022,LG,2022-09-25,@ SSG,RP,,0.0,0.0,1,9,0,0,0,0,0,0,0,,Away,인천 SSG 랜더스필드,14:00,22.5
배재준,2022,LG,2022-09-22,vs. Lotte,RP,,0.0,2.0,1,26,0,0,1,0,2,1,0,,Home,잠실 야구장,18:30,22.7
배재준,2022,LG,2022-09-21,@ Kia,RP,,0.0,0.0,1,9,0,0,0,0,1,0,0,,Away,광주 기아 챔피언스 필드,18:30,22.1
배재준,2022,LG,2022-09-14,@ Doosan,RP,,0.0,1.2,1 ⅔,31,0,0,1,0,1,1,0,,Away,잠실 야구장,18:30,24.7
배재준,2022,LG,2022-09-10,@ Samsung,RP,,0.0,0.0,1,14,0,0,0,0,0,0,1,,Away,대구 삼성 라이온즈 파크,17:00,24.8
배재준,2022,LG,2022-09-06,vs. SSG,RP,,0.0,0.0,1,10,0,0,0,0,0,0,0,,Home,잠실 야구장,18:30,25.2
배재준,2022,LG,2022-08-14,@ NC,RP,,0.0,1.5,1 ⅓,22,0,0,2,0,0,0,0,,Away,창원 NC 파크,17:00,31.9
배재준,2022,LG,2022-08-06,vs. Kiwoom,RP,,0.0,0.0,2,19,0,0,0,0,0,0,0,,Home,잠실 야구장,18:00,32.3
배재준,2022,LG,2022-07-30,vs. KT,SP,,0.0,1.0,4,85,0,0,0,0,4,4,0,62.0,Home,잠실 야구장,18:00,33.0
배재준,2022,LG,2022-07-24,@ NC,SP,,0.0,2.0,2,39,0,0,3,0,2,1,0,51.0,Away,창원 NC 파크,17:00,30.3
배재준,2022,LG,2022-05-25,vs. Kiwoom,RP,,9.82,1.64,3 ⅔,74,4,4,5,0,3,1,1,,Home,잠실 야구장,18:30,22.5
