PlayerName,Height,Weight,BirthYear
배재준,188cm,85kg,1994
백승현,183cm,90kg,1995
임찬규,185cm,80kg,1992
김진성,186cm,90kg,1985
김유영,180cm,83kg,1994
이우찬,185cm,97kg,1992
박명근,174cm,75kg,2004
손주영,191cm,95kg,1998
송승기,181cm,90kg,2002
함덕주,181cm,78kg,1995
김대현,188cm,100kg,1997
정우영,193cm,99kg,1999
이상영,193cm,95kg,2000
김영준,185cm,90kg,1999
이믿음,188cm,80kg,2000
이종준,191cm,93kg,2001
김진수,179cm,82kg,1998
진우영,188cm,97kg,2001
정지헌,180cm,85kg,2003
이지강,183cm,85kg,1999
유영찬,185cm,90kg,1997
성동현,189cm,108kg,1999
장현식,181cm,91kg,1995
최채흥,186cm,97kg,1995
김강률,187cm,95kg,1988
에르난데스,185cm,97kg,1995
김주온,187cm,89kg,1996
심창민,185cm,86kg,1993
우강훈,183cm,88kg,2002
임준형,180cm,87kg,2000
허준혁,180cm,85kg,1999
