PlayerName,Height,Weight,BirthYear
백승건,183cm,85kg,2000
윤태현,189cm,93kg,2003
이건욱,182cm,85kg,1995
조병현,182cm,90kg,2002
장지훈,177cm,78kg,1998
서진용,184cm,88kg,1992
송영진,185cm,90kg,2004
김광현,188cm,88kg,1988
최민준,178cm,83kg,1999
앤더슨,194cm,83kg,1994
한두솔,177cm,86kg,1997
노경은,187cm,100kg,1984
김건우,185cm,88kg,2002
최현석,185cm,90kg,2003
김민,185cm,88kg,1999
문승원,180cm,88kg,1989
김택형,185cm,90kg,1996
이승훈,186cm,81kg,2004
안현서,185cm,83kg,2004
박종훈,186cm,90kg,1991
정동윤,193cm,103kg,1997
화이트,190cm,95kg,1994
박시후,182cm,88kg,2001
신지환,180cm,81kg,2006
최수호,183cm,78kg,2000
임성준,183cm,93kg,2001
전영준,190cm,100kg,2002
박기호,184cm,80kg,2005
천범석,183cm,86kg,2006
이로운,185cm,105kg,2004
김현재,177cm,78kg,2006
이도우,191cm,96kg,2006
조요한,191cm,102kg,2000
박성빈,187cm,92kg,2003
한지헌,183cm,86kg,2004
도재현,193cm,103kg,2001
김준영,178cm,83kg,2003
