PlayerName,Height,Weight,BirthYear
조상우,186cm,97kg,1994
최지민,185cm,100kg,2003
황동하,183cm,96kg,2002
임기영,184cm,86kg,1993
장재혁,180cm,86kg,2001
전상현,182cm,88kg,1996
정해영,189cm,98kg,2001
김대유,187cm,92kg,1991
김도현,183cm,87kg,2000
김현수,185cm,90kg,2000
김건국,183cm,86kg,1988
김기훈,184cm,93kg,2000
김민재,188cm,85kg,2003
김민주,182cm,85kg,2002
김사윤,182cm,90kg,1994
김승현,180cm,105kg,1992
곽도규,185cm,90kg,2004
이의리,185cm,90kg,2002
이형범,181cm,80kg,1994
이준영,177cm,85kg,1992
네일,193cm,83kg,1993
올러,193cm,102kg,1994
박준표,181cm,93kg,1992
양현종,183cm,91kg,1988
유승철,184cm,87kg,1998
윤중현,180cm,84kg,1995
윤영철,187cm,87kg,2004
유지성,189cm,94kg,2000
