PlayerName,Height,Weight,BirthYear
반즈,189cm,91kg,1995
최준용,185cm,85kg,2001
한현희,182cm,98kg,1993
홍민기,185cm,85kg,2001
현도훈,188cm,95kg,1993
정철원,192cm,95kg,1999
정현수,180cm,84kg,2001
정우준,180cm,82kg,2000
진해수,187cm,85kg,1986
진승현,184cm,108kg,2003
김도규,192cm,118kg,1998
김강현,177cm,84kg,1995
김진욱,185cm,90kg,2002
김상수,180cm,88kg,1988
김원중,192cm,96kg,1993
구승민,182cm,86kg,1990
이민석,189cm,95kg,2003
나균안,186cm,109kg,1998
박진,182cm,106kg,1999
박진형,181cm,77kg,1994
박세웅,182cm,85kg,1995
박시영,181cm,92kg,1989
심재민,182cm,92kg,1994
송재영,181cm,84kg,2002
윤성빈,197cm,90kg,1999
