PlayerName,Height,Weight,BirthYear
이호성,184cm,87kg,2004
최원태,184cm,104kg,1997
육선엽,190cm,90kg,2005
최지광,173cm,85kg,1998
이상민,180cm,85kg,1990
김대우,183cm,85kg,1988
원태인,183cm,92kg,2000
양현,189cm,104kg,1992
이승현 (우),181cm,92kg,1991
오승환,178cm,93kg,1982
이재익,180cm,76kg,1994
김태훈,187cm,101kg,1992
이승민,174cm,79kg,2000
백정현,184cm,80kg,1987
최하늘,190cm,99kg,1999
권현우,190cm,93kg,2006
양창섭,182cm,85kg,1999
레예스,198cm,113kg,1996
김대호,185cm,100kg,2001
임창민,183cm,94kg,1985
송은범,182cm,93kg,1984
김무신,185cm,95kg,1999
정민성,184cm,98kg,2005
최충연,190cm,85kg,1997
최성훈,178cm,75kg,1989
배찬승,180cm,85kg,2006
이승현 (좌),183cm,102kg,2002
이재희,187cm,100kg,2001
황동재,191cm,97kg,2001
김재윤,185cm,91kg,1990
홍원표,183cm,86kg,2001
후라도,188cm,109kg,1996
