PlayerName,Height,Weight,BirthYear
조동욱,190cm,82kg,2004
한승혁,185cm,100kg,1993
김범수,181cm,92kg,1995
김종수,180cm,88kg,1994
김서현,188cm,86kg,2004
이상규,185cm,77kg,1996
문동주,188cm,97kg,2003
박상원,187cm,98kg,1994
류현진,190cm,113kg,1987
엄상백,187cm,72kg,1996
와이스,193cm,95kg,1996
윤대경,179cm,81kg,1994
김기중,186cm,96kg,2002
이충호,182cm,82kg,1994
이민우,185cm,104kg,1993
장시환,184cm,97kg,1987
황준서,185cm,78kg,2005
장민재,184cm,106kg,1990
배민서,184cm,90kg,1999
장지수,179cm,80kg,2000
이태양,192cm,97kg,1990
김민우,186cm,123kg,1995
배동현,183cm,83kg,1998
김도빈,190cm,95kg,2001
박성웅,178cm,109kg,1999
주현상,177cm,92kg,1992
김승일,183cm,85kg,2001
박준영,190cm,103kg,2003
