선수명,연도,날짜,상대팀,전체구속,2Seam,4Seam,Cutter,Curve,Slider,Changeup,Sinker,Forkball,Knuckle,Other
곽도규,2024,2024-03-23,키움,140.2,143.2,,,,125.0,,,,,
곽도규,2024,2024-03-27,롯데,138.5,143.1,145.0,,122.0,129.7,,,,,
곽도규,2024,2024-03-29,두산,142.4,144.5,,,,134.0,,,,,
곽도규,2024,2024-03-31,두산,139.4,144.0,,,,132.5,,,,,
곽도규,2024,2024-04-03,KT,133.6,142.5,,,120.0,129.1,,,,,
곽도규,2024,2024-04-05,삼성,140.2,143.3,146.5,,,132.2,,,,,
곽도규,2024,2024-04-06,삼성,139.8,143.8,145.0,,121.0,131.5,,,,,
곽도규,2024,2024-04-09,LG,139.4,145.4,,,123.0,131.7,126.5,,,,
곽도규,2024,2024-04-10,LG,141.5,142.3,,,,132.0,,,,,
곽도규,2024,2024-04-12,한화,136.5,142.5,,,122.0,130.0,123.5,,,,
곽도규,2024,2024-04-13,한화,137.2,142.3,,,122.0,132.0,123.0,,,,
곽도규,2024,2024-04-16,SSG,134.9,139.5,,,,130.2,,,,,
곽도규,2024,2024-04-17,SSG,135.6,143.2,,,123.2,131.5,,,,,
곽도규,2024,2024-04-21,NC,139.8,143.9,,,,133.9,122.0,,,,
곽도규,2024,2024-04-23,키움,140.8,142.8,,,,133.3,,,,,
곽도규,2024,2024-04-26,LG,139.3,142.4,,,,131.5,,,,,
곽도규,2024,2024-04-28,LG,138.7,141.8,,,,131.0,,,,,
곽도규,2024,2024-05-02,KT,140.4,143.6,,,,132.5,,,,,
곽도규,2024,2024-05-03,한화,137.1,144.1,,,124.0,133.2,,,,,
곽도규,2024,2024-05-08,삼성,138.8,141.2,,,,129.0,,,,,
곽도규,2024,2024-05-09,삼성,136.1,140.6,,,121.0,130.0,126.0,,,,
곽도규,2024,2024-05-12,SSG,142.2,145.5,,,121.0,135.0,,,,,
곽도규,2024,2024-05-15,두산,137.1,144.1,,,124.0,133.0,,,124.5,,
곽도규,2024,2024-05-16,두산,138.9,144.6,,,,128.8,,,,,
곽도규,2024,2024-05-18,NC,136.1,142.6,,,,131.0,,,125.4,,
곽도규,2024,2024-05-21,롯데,136.7,142.3,,,123.0,132.0,,,123.0,,
곽도규,2024,2024-05-23,롯데,134.5,143.0,,,123.0,129.5,,,,,
