선수명,연도,날짜,상대팀,전체구속,2Seam,4Seam,Cutter,Curve,Slider,Changeup,Sinker,Forkball,Knuckle,Other
고영표,2024,2024-03-27,두산,123.5,,132.3,,112.4,,115.5,,,,
고영표,2024,2024-04-02,KIA,122.8,135.3,,,114.4,125.0,117.7,,,,113.0
고영표,2024,2024-06-19,롯데,123.0,135.0,136.0,,114.8,125.5,118.1,,,,
고영표,2024,2024-06-25,SSG,124.3,136.3,138.0,,116.2,126.5,118.0,,,,
고영표,2024,2024-06-30,삼성,123.7,133.5,,,113.5,125.1,116.7,,,,
고영표,2024,2024-07-12,롯데,121.7,133.1,133.7,,114.0,123.5,115.3,,,,
고영표,2024,2024-07-18,키움,120.8,131.8,135.0,,112.2,124.3,115.3,,,,
고영표,2024,2024-07-25,SSG,123.0,133.0,134.0,,113.8,122.8,118.9,,,,
고영표,2024,2024-07-31,한화,124.1,133.7,133.0,,113.8,123.4,115.0,,,,
고영표,2024,2024-08-06,KIA,127.2,133.5,137.6,,117.5,123.2,118.3,,,,
고영표,2024,2024-08-11,롯데,123.2,132.7,133.2,,116.7,,116.9,,,,
고영표,2024,2024-08-17,두산,122.8,131.1,133.8,,114.2,127.0,116.8,,,,
고영표,2024,2024-08-23,SSG,124.2,132.8,134.8,,115.2,124.7,117.2,,,,
고영표,2024,2024-08-29,LG,124.3,133.7,132.8,,114.5,,115.4,,,,
고영표,2024,2024-09-06,NC,125.4,133.3,134.7,,116.6,128.4,117.4,,,,
고영표,2024,2024-09-14,두산,127.4,134.7,136.3,,116.6,127.5,118.1,,,,
고영표,2024,2024-09-21,SSG,124.5,132.5,133.6,,112.6,125.5,116.1,,,,
고영표,2024,2024-09-28,키움,123.6,133.6,135.5,,113.6,,114.4,,,,
고영표,2024,2024-10-03,두산,123.1,136.0,137.0,,,,115.7,,,,
고영표,2024,2024-10-05,LG,121.6,133.2,135.7,,,,114.7,,,,
고영표,2024,2024-10-09,LG,122.5,134.2,136.0,,,,114.8,,,,
고영표,2024,2024-10-11,LG,127.6,135.2,135.8,,,125.5,116.0,,,,
고영표,2023,2023-04-02,LG,128.3,,,,,,118.8,137.8,,,
고영표,2023,2023-04-07,롯데,124.8,,,,113.5,123.0,117.9,136.0,,,
고영표,2023,2023-04-12,NC,124.6,,,,113.5,,115.8,134.7,,,
고영표,2023,2023-04-18,SSG,124.2,,,,114.8,,117.6,135.3,,,
고영표,2023,2023-04-23,두산,125.6,,,,114.5,119.0,117.8,135.0,,,
고영표,2023,2023-04-29,삼성,123.5,,,,112.7,,114.6,131.3,,,
고영표,2023,2023-05-12,롯데,124.7,,,,114.0,120.6,115.1,133.7,,,
고영표,2023,2023-05-18,LG,128.7,,,,115.4,,118.0,135.4,,,
고영표,2023,2023-05-24,키움,125.5,,,,111.2,123.8,116.5,133.7,,,
고영표,2023,2023-05-30,KIA,126.5,,,,112.7,,117.5,135.4,,,
고영표,2023,2023-06-06,롯데,124.0,,,,113.6,124.3,117.8,135.5,,,
고영표,2023,2023-06-15,SSG,125.9,,,,113.8,124.0,116.9,135.2,,,
고영표,2023,2023-06-21,롯데,119.2,,131.4,,110.5,,113.2,129.6,,,
고영표,2023,2023-06-27,한화,121.9,,136.0,,113.9,123.0,117.1,134.7,,,
고영표,2023,2023-07-02,NC,125.9,,136.2,,115.5,,118.4,137.1,,,
고영표,2023,2023-07-08,KIA,121.8,,132.2,,110.8,118.5,115.2,,,,
고영표,2023,2023-07-13,키움,123.2,,133.7,,112.6,,116.3,,,,
고영표,2023,2023-07-26,LG,123.8,,133.4,,111.5,123.0,114.3,131.8,,,
고영표,2023,2023-08-01,SSG,125.8,,135.7,,114.1,124.5,116.4,,,,
고영표,2023,2023-08-06,두산,124.1,,136.4,,114.7,126.0,115.6,,,,
고영표,2023,2023-08-12,NC,124.6,,133.0,,113.1,125.8,115.5,,,,
고영표,2023,2023-08-24,KIA,125.0,,133.3,,111.8,120.0,114.5,,,,
고영표,2023,2023-09-01,키움,124.6,,135.6,,113.3,,116.1,,,,
고영표,2023,2023-09-07,LG,122.6,,133.3,,112.4,127.2,114.6,,,,
고영표,2023,2023-09-13,NC,122.7,,134.8,,112.8,126.3,116.2,,,,
고영표,2023,2023-09-19,삼성,125.7,,136.9,,115.2,128.2,117.9,135.0,,,
고영표,2023,2023-09-24,KIA,126.4,,135.6,,114.9,126.0,119.0,,,,
고영표,2023,2023-10-03,KIA,129.0,139.7,138.0,,116.1,126.0,119.5,,,,
고영표,2023,2023-11-02,NC,123.6,,134.7,,113.5,121.0,116.6,,,,
고영표,2023,2023-11-07,LG,123.3,,132.3,,110.8,,112.9,131.5,,,
고영표,2023,2023-11-13,LG,122.2,,130.8,,114.5,,114.0,,,,
고영표,2022,2022-04-06,SSG,122.5,,135.6,,112.7,124.4,117.4,134.9,,,
고영표,2022,2022-04-12,두산,125.1,,,,114.7,125.2,119.5,137.8,,,
고영표,2022,2022-04-19,LG,129.5,,139.0,,115.8,131.0,120.4,139.5,,,
고영표,2022,2022-04-24,NC,126.1,,,,114.8,130.5,119.9,138.6,,,
고영표,2022,2022-04-30,키움,125.8,,,,114.2,123.0,120.0,137.1,,,
고영표,2022,2022-05-06,두산,127.0,,,,114.6,129.0,120.1,138.3,,,
고영표,2022,2022-05-13,키움,123.1,,,,111.6,125.5,116.0,133.8,,,
고영표,2022,2022-05-19,LG,123.5,,,,111.3,,117.3,134.3,,,
고영표,2022,2022-05-25,NC,127.7,,,,116.5,129.4,119.7,139.3,,,
고영표,2022,2022-05-31,SSG,128.2,,,,116.8,130.5,120.8,139.5,,,
고영표,2022,2022-06-05,KIA,123.2,,,,113.0,125.1,117.0,135.8,,,
고영표,2022,2022-06-11,롯데,124.5,,,,113.7,,119.5,136.5,,,
고영표,2022,2022-06-17,두산,125.5,,,,114.7,127.2,120.2,137.9,,,
고영표,2022,2022-06-24,LG,125.0,,,,115.6,124.0,119.9,136.6,,,
고영표,2022,2022-07-01,두산,124.6,,138.0,,114.5,125.0,119.4,136.7,,,
고영표,2022,2022-07-14,삼성,123.2,,,,112.6,,117.5,133.6,,,
고영표,2022,2022-07-23,한화,125.0,,,,114.1,,118.8,137.0,,,
고영표,2022,2022-07-29,LG,127.5,,,,116.2,,122.5,137.9,,,
고영표,2022,2022-08-05,한화,123.9,,,,112.8,124.7,119.0,134.2,,,
고영표,2022,2022-08-12,SSG,124.0,,,,115.5,128.5,119.4,136.7,,,
고영표,2022,2022-08-24,두산,126.8,,,,116.6,,121.6,139.0,,,
고영표,2022,2022-08-31,두산,124.9,,,,112.9,124.0,117.5,134.4,,,
고영표,2022,2022-09-06,한화,127.9,,,,116.2,128.8,121.8,138.3,,,
고영표,2022,2022-09-11,키움,125.1,,,,113.4,126.0,118.0,135.3,,,
고영표,2022,2022-09-17,롯데,127.0,,,,115.3,127.4,118.7,137.3,,,
고영표,2022,2022-09-23,삼성,128.3,,,,116.2,128.3,120.1,137.9,,,
고영표,2022,2022-10-05,삼성,122.6,,,,112.5,124.0,115.2,133.2,,,
고영표,2022,2022-10-11,LG,128.5,,,,115.1,124.0,118.2,136.4,,,
고영표,2022,2022-10-19,키움,128.5,,,,114.8,,118.5,136.2,,,
고영표,2021,2021-04-07,LG,125.8,,134.8,,114.2,,117.8,,,,
고영표,2021,2021-04-13,두산,123.2,,136.1,,114.3,,117.0,,,,
고영표,2021,2021-04-18,키움,126.2,,137.3,,115.3,,119.6,,,,
고영표,2021,2021-04-24,롯데,124.8,,136.3,,114.6,,118.5,,,,
고영표,2021,2021-04-30,KIA,126.0,,136.5,,114.4,,117.4,,,,
고영표,2021,2021-05-06,키움,124.2,,135.8,,115.0,,118.5,,,,
고영표,2021,2021-05-12,삼성,121.6,,135.2,,112.9,,115.8,,,,
고영표,2021,2021-05-26,SSG,124.4,,134.7,,114.4,126.1,116.0,,,,
고영표,2021,2021-06-01,LG,123.1,,136.4,,114.4,125.2,117.1,,,,
고영표,2021,2021-06-08,SSG,126.0,,137.6,,116.0,127.1,118.4,,,,
고영표,2021,2021-06-16,NC,127.0,,137.1,,115.5,128.2,118.6,,,,
고영표,2021,2021-06-23,KIA,125.3,,138.4,,115.8,126.5,119.2,,,,
고영표,2021,2021-06-30,LG,128.4,,139.6,,117.2,130.3,120.4,139.0,,,
고영표,2021,2021-07-09,KIA,130.3,139.0,139.2,,117.0,131.2,121.2,138.8,,,
고영표,2021,2021-08-15,삼성,128.6,,136.6,,115.1,130.0,117.9,138.3,,,
고영표,2021,2021-08-22,롯데,128.5,,139.2,,116.8,129.7,119.7,138.8,,,
고영표,2021,2021-08-27,SSG,124.6,,138.0,,115.2,131.2,119.1,137.6,,,
고영표,2021,2021-09-04,LG,129.8,,,,116.1,130.0,121.1,139.1,,,
고영표,2021,2021-09-12,SSG,125.9,,136.1,,112.8,126.9,116.4,134.5,,,
고영표,2021,2021-09-18,NC,129.6,,139.6,,115.5,127.8,120.4,,,,
고영표,2021,2021-09-25,LG,127.1,,138.7,,115.2,130.0,120.0,,,,
고영표,2021,2021-10-01,롯데,127.5,,,,114.3,129.4,118.9,137.5,,,
고영표,2021,2021-10-09,LG,124.9,,139.4,,114.1,128.0,119.4,137.6,,,
고영표,2021,2021-10-22,삼성,126.2,,137.0,,112.6,127.4,118.5,137.1,,,
고영표,2021,2021-10-28,NC,125.0,,,,114.5,127.4,119.0,136.8,,,
고영표,2021,2021-10-30,SSG,127.9,,139.7,,115.4,,119.9,137.2,,,
고영표,2021,2021-11-15,두산,129.4,,,,115.0,,121.0,139.4,,,
고영표,2021,2021-11-17,두산,124.6,,,,113.0,128.0,114.5,136.5,,,
고영표,2021,2021-11-18,두산,123.3,,,,113.0,127.0,119.7,137.5,,,
김민수,2024,2024-03-24,삼성,133.9,,140.8,,,125.0,126.5,,,,
김민수,2024,2024-03-26,두산,130.3,,140.5,,124.0,127.0,125.6,,126.5,,
김민수,2024,2024-03-28,두산,132.9,,140.0,,,124.9,125.7,,,,
김민수,2024,2024-04-02,KIA,135.3,,139.3,,,125.5,126.5,,,,
김민수,2024,2024-04-05,LG,130.4,,140.2,,,124.1,124.8,,,,
김민수,2024,2024-04-06,LG,134.0,,140.1,,,123.3,127.1,,,,
김민수,2024,2024-04-09,NC,131.1,,140.2,,123.0,125.3,127.4,,,,
김민수,2024,2024-04-11,NC,130.6,,140.8,,118.0,126.4,126.8,,,,
김민수,2024,2024-04-12,SSG,129.6,,138.7,,122.0,125.5,125.7,,,,
김민수,2024,2024-04-16,키움,132.8,,140.2,,,125.5,128.8,,,,
김민수,2024,2024-04-17,키움,138.5,,140.4,,,,128.5,,,,
김민수,2024,2024-04-19,롯데,131.2,,140.2,,,127.0,128.2,,,,
김민수,2024,2024-04-21,롯데,133.8,,139.6,,,127.5,129.5,,,,
김민수,2024,2024-04-23,한화,133.9,,140.4,,122.5,126.0,127.5,,,,
김민수,2024,2024-04-26,SSG,130.6,,141.5,,,127.6,127.4,,,,
김민수,2024,2024-04-27,SSG,130.7,,138.5,,,125.0,127.2,,,,
김민수,2024,2024-05-02,KIA,136.0,,144.0,,,128.5,130.0,,,,
김민수,2024,2024-05-04,키움,130.0,,138.7,,122.0,124.3,127.0,,,,
김민수,2024,2024-05-08,NC,130.1,,141.2,,120.0,126.0,126.8,,,,
김민수,2024,2024-05-09,NC,134.9,,139.9,,,126.8,127.0,,,,
김민수,2024,2024-05-12,두산,133.0,,141.6,,118.0,124.5,127.0,,,,
김민수,2024,2024-05-14,롯데,131.7,,140.2,,,123.2,126.5,,,,
김민수,2024,2024-05-16,롯데,132.8,,138.7,,113.0,121.0,125.7,,,,
김민수,2024,2024-05-18,LG,129.6,,141.2,,115.0,125.1,129.3,,,,
김민수,2024,2024-05-19,LG,131.5,,139.0,,,123.0,126.0,,,,
김민수,2024,2024-05-21,삼성,131.0,,140.0,,,127.0,126.4,,,,
김민수,2024,2024-05-23,삼성,130.0,,137.3,,,123.3,124.0,,,,
김민수,2024,2024-05-24,키움,131.3,,143.0,,,123.7,129.3,,,,
김민수,2024,2024-05-31,KIA,134.7,,142.1,,,128.2,128.0,,,,
김민수,2024,2024-06-01,KIA,131.6,,143.1,,,126.4,126.4,,,,
