선수명,연도,날짜,상대팀,전체구속,2Seam,4Seam,Cutter,Curve,Slider,Changeup,Sinker,Forkball,Knuckle,Other
고효준,2024,2024-03-23,롯데,133.6,,142.6,,121.0,129.8,,,,,
고효준,2024,2024-03-24,롯데,136.1,,141.5,,,129.2,,,,,
고효준,2024,2024-03-30,삼성,131.1,,137.5,,,126.9,,,,,
고효준,2024,2024-03-31,삼성,133.8,,138.6,,,123.2,,,,,
고효준,2024,2024-04-02,두산,135.7,,142.3,,,130.0,,,,,
고효준,2024,2024-04-03,두산,134.5,,142.5,,122.2,130.2,,,,,
고효준,2024,2024-04-06,NC,135.3,,141.4,,119.5,129.4,,,,,
고효준,2024,2024-04-09,키움,135.3,,142.0,,123.0,129.3,,,,,
고효준,2024,2024-04-10,키움,131.9,,140.8,,121.0,127.0,,,,,
고효준,2024,2024-04-13,KT,133.3,,139.8,,,128.7,,,,,
고효준,2024,2024-04-14,KT,136.6,,141.7,,122.5,129.3,,,125.5,,
고효준,2024,2024-04-16,KIA,136.5,,141.7,,121.0,130.4,,,,,
고효준,2024,2024-04-18,KIA,138.0,,143.2,,122.0,131.2,,,,,
고효준,2024,2024-04-21,LG,138.7,,143.0,,,130.7,,,123.0,,
고효준,2024,2024-04-25,롯데,133.9,,142.2,,,128.1,,,127.0,,
고효준,2024,2024-04-30,한화,133.4,,140.2,,,129.7,125.0,,,,
고효준,2024,2024-05-02,한화,134.4,,141.9,,,128.5,,,,,
고효준,2024,2024-05-04,NC,137.0,,143.0,,,126.9,,,127.0,,
고효준,2024,2024-06-04,삼성,133.0,,141.8,,121.7,129.2,,,,,
고효준,2024,2024-06-05,삼성,137.2,,141.4,,121.0,127.8,,,,,
고효준,2024,2024-06-07,롯데,132.5,,140.4,,120.7,128.9,,,,,
고효준,2024,2024-06-09,롯데,136.6,,139.9,,,129.0,,,,,
고효준,2024,2024-06-11,KIA,137.9,,144.2,,,130.9,,,,,
고효준,2024,2024-06-12,KIA,138.5,,143.3,,,132.5,,,,,
고효준,2024,2024-06-25,KT,137.5,,143.0,,,130.4,,,,,
고효준,2024,2024-06-27,KT,132.4,,142.0,,,127.3,129.0,,124.0,,
고효준,2023,2023-04-01,KIA,138.2,,143.6,,,129.6,,,,,
고효준,2023,2023-04-07,한화,130.6,,144.0,,,128.9,,,,,
고효준,2023,2023-04-08,한화,129.2,,144.0,,122.5,129.0,,,,,
고효준,2023,2023-04-09,한화,131.7,,142.0,,122.0,128.4,,,,,
고효준,2023,2023-04-11,삼성,130.0,,141.0,,,128.4,,,,,
고효준,2023,2023-04-13,삼성,130.5,,139.8,,,125.1,,,,,
고효준,2023,2023-04-15,NC,132.5,,142.0,,,129.3,,,,,
고효준,2023,2023-04-16,NC,135.1,,141.3,,121.0,128.1,,,,,
고효준,2023,2023-04-27,LG,140.8,,144.1,,,131.0,,,,,
고효준,2023,2023-04-30,두산,138.5,,144.3,,,131.4,,,,,
고효준,2023,2023-05-02,KT,136.9,,142.6,,,128.5,,,,,
고효준,2023,2023-05-04,KT,139.3,,144.4,,,130.4,,,,,
고효준,2023,2023-05-07,키움,137.6,,143.3,,124.0,130.3,,,127.5,,
고효준,2023,2023-05-10,KIA,137.2,,145.5,,,132.4,,,,,
고효준,2023,2023-05-11,KIA,139.2,,145.2,,,132.0,,,,,
고효준,2023,2023-05-13,한화,137.5,,143.4,,,129.9,,,,,
고효준,2023,2023-05-14,한화,140.3,,144.7,,,131.2,,,,,
고효준,2023,2023-05-17,NC,141.3,,143.9,,,130.5,,,,,
고효준,2023,2023-05-20,롯데,133.7,,142.3,,,130.0,,,,,
고효준,2023,2023-05-21,롯데,136.0,,143.0,,,129.0,,,,,
고효준,2023,2023-05-24,LG,138.8,,143.8,,,132.5,,,,,
고효준,2023,2023-05-26,두산,140.8,,145.3,,,132.6,,,,,
