선수명,연도,날짜,상대팀,전체구속,2Seam,4Seam,Cutter,Curve,Slider,Changeup,Sinker,Forkball,Knuckle,Other
김건우,2022,2022-06-09,NC,134.7,,145.1,,118.0,129.8,126.1,,,,
김건우,2022,2022-07-06,롯데,136.1,,138.7,,,130.0,122.5,,,,
김건우,2021,2021-09-05,키움,139.5,,142.7,,117.0,133.5,123.3,,,,
김건우,2021,2021-09-11,KT,137.0,,142.0,,,132.0,122.6,,,,
김건우,2021,2021-10-17,롯데,142.3,,145.7,,,132.0,,,,,
김건우,2021,2021-10-19,KIA,139.4,,144.8,,119.0,133.9,130.0,,,,
김건우,2021,2021-10-24,삼성,139.2,,143.8,,,134.2,125.1,,,,
김건우,2021,2021-10-30,KT,145.0,,145.6,,,134.0,,,,,
김광현,2024,2024-03-23,롯데,136.0,,145.1,,108.5,131.8,,,129.2,,
김광현,2024,2024-03-29,삼성,132.6,,140.9,,112.4,129.0,,,125.7,,
김광현,2024,2024-04-04,두산,134.1,,144.8,,113.3,135.6,,,129.2,,
김광현,2024,2024-04-10,키움,134.0,,145.9,,111.5,133.7,,,125.5,,
김광현,2024,2024-04-16,KIA,134.8,,144.9,,112.8,133.5,,,128.4,,
김광현,2024,2024-04-21,LG,136.5,,145.9,,114.2,132.8,,,127.9,,
김광현,2024,2024-04-27,KT,133.5,,144.6,,115.8,132.9,,,129.0,,
김광현,2024,2024-05-03,NC,135.7,,143.8,,113.2,132.7,,,126.8,,
김광현,2024,2024-05-09,LG,131.3,,143.1,,113.8,133.0,,,124.1,,
김광현,2024,2024-05-16,삼성,135.0,,143.3,,113.7,133.2,,,126.1,,
김광현,2024,2024-05-22,두산,129.5,,143.1,,113.2,132.1,,,125.1,,
김광현,2024,2024-05-28,LG,132.9,,142.2,,112.1,131.7,,,126.8,,
김광현,2024,2024-06-09,롯데,131.4,,142.8,,112.8,130.3,,,125.3,,
김광현,2024,2024-06-15,한화,130.5,,141.4,,110.5,132.0,,,124.6,,
김광현,2024,2024-06-22,NC,128.8,,143.1,,109.2,130.5,,,127.5,,
김광현,2024,2024-06-28,두산,129.4,,143.1,,112.3,130.5,,,126.7,,
김광현,2024,2024-07-04,NC,130.6,,145.3,,113.1,134.8,128.0,,127.9,,
