선수명,연도,날짜,상대팀,전체구속,2Seam,4Seam,Cutter,Curve,Slider,Changeup,Sinker,Forkball,Knuckle,Other
김강률,2024,2024-04-28,한화,137.3,,143.9,,116.0,132.7,,,134.0,,
김강률,2024,2024-04-30,삼성,140.4,,146.4,,121.0,129.8,,,136.0,,
김강률,2024,2024-05-02,삼성,137.7,,144.6,,118.0,133.0,,,133.0,,
김강률,2024,2024-05-03,LG,140.7,,144.6,,116.0,133.0,,,135.5,,
김강률,2024,2024-05-08,키움,133.3,,145.5,,116.0,131.0,,,,,
김강률,2024,2024-05-09,키움,136.6,,142.1,,119.0,129.7,,,,,
김강률,2024,2024-05-12,KT,137.8,,142.4,,,129.3,,,,,
김강률,2024,2024-05-14,KIA,136.3,,144.5,,116.8,133.1,,,,,
김강률,2024,2024-05-16,KIA,137.7,,144.3,,117.0,131.7,,,,,
김강률,2024,2024-05-17,롯데,137.1,,143.3,,117.5,134.5,,,131.5,,
김강률,2024,2024-05-22,SSG,133.5,,144.7,,117.0,133.0,,,,,
김강률,2024,2024-05-26,KIA,135.8,,144.1,,113.0,131.6,,,130.0,,
김강률,2024,2024-05-28,KT,140.9,,144.0,,,130.3,,,135.0,,
김강률,2024,2024-05-29,KT,136.8,,143.7,,121.3,131.3,,,131.0,,
김강률,2024,2024-06-01,LG,136.9,,144.1,,114.0,129.5,,,133.0,,
김강률,2024,2024-06-02,LG,134.6,,143.9,,118.3,130.8,,,134.0,,
김강률,2024,2024-06-04,NC,140.9,,145.4,,119.0,131.8,,,,,
김강률,2024,2024-06-05,NC,137.6,,143.9,,117.5,134.0,,,,,
김강률,2024,2024-06-08,KIA,131.9,,140.8,,115.5,129.5,,,134.0,,
김강률,2024,2024-06-12,한화,136.3,,141.4,,116.5,125.0,,,,,
김강률,2024,2024-06-15,키움,130.3,,144.0,,117.0,130.0,,,,,
김강률,2024,2024-06-16,키움,135.7,,143.8,,118.2,131.6,,,133.2,,
김강률,2024,2024-06-18,NC,142.8,,145.2,,,132.0,,,,,
