선수명,연도,날짜,상대팀,전체구속,2Seam,4Seam,Cutter,Curve,Slider,Changeup,Sinker,Forkball,Knuckle,Other
김선기,2024,2024-03-27,NC,137.5,141.8,142.3,,121.3,129.9,,,,,
김선기,2024,2024-04-02,삼성,137.2,140.7,141.5,,121.0,128.5,,,,,
김선기,2024,2024-04-07,한화,136.2,139.9,141.0,,116.3,128.7,,,128.7,,
김선기,2024,2024-04-13,롯데,133.8,139.9,140.7,,118.2,129.1,,,129.7,,
김선기,2024,2024-04-19,두산,136.8,142.0,142.3,,117.0,129.9,,,132.0,,
김선기,2024,2024-04-25,KIA,135.1,142.0,140.7,,119.0,131.2,,,,,
김선기,2024,2024-05-12,한화,133.3,139.6,141.0,,123.5,131.4,131.0,,130.0,,
김선기,2024,2024-05-18,SSG,133.9,141.5,142.0,,122.0,131.8,,,,,
김선기,2024,2024-05-19,SSG,135.9,140.0,140.3,,120.0,130.0,,,,,
김선기,2024,2024-05-24,KT,135.4,141.0,142.5,,123.0,133.8,,,132.3,,
김선기,2024,2024-05-30,삼성,135.2,141.2,142.4,,122.0,130.2,,,129.7,,
김선기,2024,2024-06-01,SSG,136.2,,142.0,,122.6,131.7,,,,,
김선기,2024,2024-06-04,LG,138.4,,142.6,,,129.6,,,128.5,,
김선기,2024,2024-06-06,LG,138.0,141.8,142.2,,,128.7,,,128.0,,
김선기,2024,2024-06-08,삼성,133.2,,141.9,,121.0,129.7,,,125.3,,
김선기,2024,2024-06-13,롯데,136.3,141.2,141.4,,121.0,129.1,,,,,
김선기,2024,2024-06-18,한화,133.4,140.0,140.2,,119.0,128.1,,,133.0,,
김선기,2024,2024-06-20,한화,129.5,138.0,140.3,,117.5,128.4,,,126.0,,
김선기,2024,2024-06-25,NC,134.3,,142.2,,,130.0,,,132.3,,
김선기,2024,2024-06-28,KIA,137.2,,144.3,,120.3,134.1,,,130.0,,
김선기,2024,2024-07-12,NC,138.5,,143.6,,123.2,132.5,,,134.4,,
김선기,2024,2024-07-19,SSG,137.2,,143.0,,121.4,132.9,,,131.0,,
김선기,2024,2024-07-30,NC,136.6,141.0,142.5,,124.5,133.0,,,,,
김선기,2024,2024-08-02,두산,139.1,143.0,143.2,,,135.0,,,127.0,,
김선기,2024,2024-08-03,두산,138.2,141.1,142.3,,123.0,131.4,,,,,
김선기,2024,2024-08-10,한화,135.7,140.9,141.6,,118.7,130.6,,,128.5,,
김선기,2024,2024-08-15,KIA,135.2,,143.0,,120.5,132.8,,,,,
김선기,2024,2024-08-16,롯데,133.3,142.0,142.7,,120.6,130.4,,,128.0,,
김선기,2024,2024-08-20,KT,134.8,141.0,142.2,,121.8,132.0,,,129.5,,
김선기,2024,2024-08-22,KT,136.1,,143.6,,123.3,132.4,,,,,
김선기,2024,2024-08-23,LG,138.4,141.0,141.9,,,132.3,,,130.0,,
김선기,2024,2024-08-28,삼성,132.7,141.4,142.8,,120.5,129.7,,,128.0,,
김선기,2024,2024-09-05,NC,139.2,144.0,144.4,,124.0,131.5,,,132.0,,
김선기,2024,2024-09-07,KIA,133.2,,143.1,,120.0,130.6,,,129.2,,
김선기,2024,2024-09-11,LG,136.2,143.9,144.0,,122.0,132.6,,,130.0,,
김선기,2024,2024-09-15,KIA,137.2,,143.5,,124.0,132.6,,,,,
김선기,2024,2024-09-16,두산,136.5,141.2,142.9,,121.5,131.1,,,133.0,,
김선기,2024,2024-09-19,SSG,135.9,,143.5,,122.3,133.5,,,,,
김선기,2024,2024-09-25,삼성,135.6,142.7,141.8,,120.0,131.0,,,128.0,,
김선기,2024,2024-09-26,LG,135.5,,143.6,,121.3,134.4,,,130.0,,
김선기,2024,2024-09-28,KT,136.9,141.5,142.9,,119.0,131.1,,,128.0,,
김선기,2024,2024-09-30,SSG,136.8,,144.2,,122.7,131.6,,,,,
김선기,2023,2023-06-06,LG,137.5,,144.9,,121.8,132.4,132.0,,,,
김선기,2023,2023-06-08,LG,135.6,145.0,145.0,,123.0,134.0,,,,,
김선기,2023,2023-06-11,KT,133.6,,142.3,,122.5,128.5,,,,,
김선기,2023,2023-06-15,KIA,132.8,,144.4,,114.0,129.3,130.0,,,,
김선기,2023,2023-06-18,한화,132.8,,145.5,,119.0,131.6,,,,,
김선기,2023,2023-06-20,삼성,136.3,,144.8,,121.0,132.9,,,,,
김선기,2023,2023-06-25,두산,132.7,,143.8,,119.8,130.5,,,,,
김선기,2023,2023-07-07,두산,136.3,,145.6,,124.0,132.6,,,,,
김선기,2023,2023-07-09,두산,135.4,145.0,144.0,,,128.8,,,,,
