horizon,score_decile,n,mean_re24_allowed_per_bf,positive_re24_rate
next_appearance,1,703,-0.05549327880512091,0.3186344238975818
next_appearance,2,628,-0.05447819426751592,0.321656050955414
next_appearance,3,558,-0.062007772401433695,0.2777777777777778
next_appearance,4,538,-0.07571337360594796,0.2695167286245353
next_appearance,5,507,-0.04664484220907298,0.3333333333333333
next_appearance,6,551,-0.07214284754990925,0.2849364791288566
next_appearance,7,600,-0.06543106500000001,0.31333333333333335
next_appearance,8,634,-0.053543411671924286,0.2823343848580442
next_appearance,9,671,-0.062116217585693,0.30700447093889716
next_appearance,10,777,-0.05970834105534105,0.30373230373230375
same_appearance,1,728,-0.25480038873626376,0.03983516483516483
same_appearance,2,646,-0.18054745510835912,0.08204334365325078
same_appearance,3,575,-0.1731183895652174,0.0817391304347826
same_appearance,4,553,-0.14398897649186257,0.12839059674502712
same_appearance,5,520,-0.11283906538461538,0.18846153846153846
same_appearance,6,573,-0.10017146596858638,0.19022687609075042
same_appearance,7,621,-0.07018574557165862,0.286634460547504
same_appearance,8,663,-0.014621165912518856,0.40271493212669685
same_appearance,9,703,0.06272639118065433,0.5561877667140825
same_appearance,10,807,0.2797799950433705,0.8550185873605948
